result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,type
26:11.00,"10,000m",Africa,,UGA,Valencia,ESP,2020-10-07,Joshua Cheptegei,1996,Male,Outdoor,AR
26:38.76,"10,000m",Asia,,QAT,Bruxelles,BEL,2003-09-05,Abdullah Ahmad Hassan,1981,Male,Outdoor,AR
26:46.57,"10,000m",Europe,,GBR,Eugene,USA,2011-06-03,Mo Farah,1983,Male,Outdoor,AR
26:44.36,"10,000m",NACAC,,USA,Eugene,USA,2014-05-30,Galen Rupp,1986,Male,Outdoor,AR
27:09.57,"10,000m",Oceania,,AUS,San Juan Capistrano,USA,2024-03-16,Jack Rayner,1995,Male,Outdoor,AR
27:28.12,"10,000m",South America,,BRA,Neerpelt,BEL,2007-06-02,Marílson dos Santos,1977,Male,Outdoor,AR
39:51.2,"10,000m Race Walk",Africa,,ETH,Addis Ababa,ETH,2023-05-20,Misganaw Wakuma,2004,Male,Outdoor,AR
38:25.42,"10,000m Race Walk",NACAC,,CAN,Canberra,AUS,2024-01-28,Evan Dunfee,1990,Male,Outdoor,AR
2:11.96,1000m,Africa,,KEN,Rieti,ITA,1999-09-05,Noah Ngeny,1978,Male,Outdoor,AR
2:14.72,1000m,Asia,,BRN,Stockholm,SWE,2008-07-22,Youssef Saad Kamel,1981,Male,Outdoor,AR
2:12.18,1000m,Europe,,GBR,Oslo,NOR,1981-07-11,Sebastian Coe,1956,Male,Outdoor,AR
2:16.09,1000m,Oceania,,AUS,Ostrava,CZE,2014-06-17,Jeff Riseley,1986,Male,Outdoor,AR
2:14.09,1000m,South America,,BRA,Nice,FRA,1984-08-20,Joaquim Cruz,1963,Male,Outdoor,AR
6:06:07,100km,Asia,,JPN,Yubetsu,JPN,2023-06-25,Jumpei Yamaguchi,1997,Male,Outdoor,AR
6:05:35,100km,Europe,,LTU,Kaunas,LTU,2023-05-14,Aleksandr Sorokin,1981,Male,Outdoor,AR
9.77,100m,Africa,1.2,KEN,Nairobi,KEN,2021-09-18,Ferdinand Omanyala,1996,Male,Outdoor,AR
9.83,100m,Asia,0.9,CHN,Tokyo,JPN,2021-08-01,Su Bingtian,1989,Male,Outdoor,AR
9.80,100m,Europe,0.1,ITA,Tokyo,JPN,2021-08-01,Lamont Marcell Jacobs,1994,Male,Outdoor,AR
9.58,100m,NACAC,0.9,JAM,Berlin,GER,2009-08-16,Usain Bolt,1986,Male,Outdoor,AR
9.93,100m,Oceania,1.8,AUS,Mito,JPN,2003-05-05,Patrick Johnson,1972,Male,Outdoor,AR
9.89,100m,South America,0.8,SUR,São Paulo,BRA,2023-07-28,Issam Asinga,2004,Male,Outdoor,AR
26:24,"10km, Road",Africa,,KEN,Valencia,ESP,2020-01-12,Rhonex Kipruto,1999,Male,Outdoor,AR
26:57,"10km, Road",Asia,,BRN,Valencia,ESP,2024-01-14,Birhanu Balew,1996,Male,Outdoor,AR
27:07,"10km, Road",Europe,,FRA,Lille,FRA,2024-03-17,Jimmy Gressier,1997,Male,Outdoor,AR
27:41,"10km, Road",NACAC,,MEX,Phoenix,USA,1986-03-01,Arturo Barrios,1963,Male,Outdoor,AR
27:28,"10km, Road",Oceania,,NZL,Berlin,GER,2016-10-09,Zane Robertson,1989,Male,Outdoor,AR
27:28,"10km, Road",Oceania,,NZL,New Orleans,USA,2018-03-31,Jake Robertson,1989,Male,Outdoor,AR
27:48,"10km, Road",South America,,BRA,Udine,ITA,2007-10-14,Marílson dos Santos,1977,Male,Outdoor,AR
13.11,110m Hurdles,Africa,1.8,RSA,Praha,CZE,2017-06-05,Antonio Alkana,1990,Male,Outdoor,AR
12.88,110m Hurdles,Asia,1.1,CHN,Lausanne,SUI,2006-07-11,Liu Xiang,1983,Male,Outdoor,AR
12.91,110m Hurdles,Europe,0.5,GBR,Stuttgart,GER,1993-08-20,Colin Jackson,1967,Male,Outdoor,AR
12.80,110m Hurdles,NACAC,0.3,USA,Bruxelles,BEL,2012-09-07,Aries Merritt,1985,Male,Outdoor,AR
13.29,110m Hurdles,Oceania,0.6,AUS,Göteborg,SWE,1995-08-11,Kyle Vander-Kuyp,1971,Male,Outdoor,AR
13.17,110m Hurdles,South America,0.4,BRA,Río de Janeiro,BRA,2022-06-23,Rafael Henrique Pereira,1997,Male,Outdoor,AR
3:26.00,1500m,Africa,,MAR,Roma,ITA,1998-07-14,Hicham El Guerrouj,1974,Male,Outdoor,AR
3:29.14,1500m,Asia,,BRN,Roma,ITA,2006-07-14,Rashid Ramzi,1980,Male,Outdoor,AR
3:27.14,1500m,Europe,,NOR,Chorzów,POL,2023-07-16,Jakob Ingebrigtsen,2000,Male,Outdoor,AR
3:29.02,1500m,NACAC,,USA,Oslo,NOR,2023-06-15,Yared Nuguse,1999,Male,Outdoor,AR
3:29.41,1500m,Oceania,,AUS,Oslo,NOR,2023-06-15,Olli Hoare,1997,Male,Outdoor,AR
3:33.25,1500m,South America,,BRA,Rieti,ITA,2005-08-28,Hudson de Souza,1977,Male,Outdoor,AR
57:48.7,"20,000m",Asia,,JPN,Odawara,JPN,1985-05-11,Toshihiko Seko,1956,Male,Outdoor,AR
1:02:17.8,"20,000m",South America,,BRA,São Paulo,BRA,1976-11-27,Eloy Schleder,1951,Male,Outdoor,AR
1:22:51.84,"20,000m Race Walk",Africa,,TUN,Leutkirch,TUN,1994-09-08,Hatem Ghoula,1973,Male,Outdoor,AR
1:18:03.3,"20,000m Race Walk",Asia,,CHN,Beijing,CHN,1994-04-07,Bu Lingtang,1970,Male,Outdoor,AR
