result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
2:14.20,1000m,Africa,,DJI,Stockholm/G,SWE,2016-02-17,Ayanleh Souleiman,1992,men,Indoor
2:14.96,1000m,Europe,,DEN,Birmingham,GBR,2000-02-20,Wilson Kipketer,1972,men,Indoor
2:14.74,1000m,NACAC,,CAN,Brighton MA,USA,2024-02-04,Marco Arop,1998,men,Indoor
2:16.95,1000m,Oceania,,AUS,Boston MA,USA,2024-02-10,Jack Anstey,1997,men,Indoor
10.42,100m,South America,,BRA,Tampere,FIN,2006-02-04,Vicente de Lima,1977,men,Indoor
3:31.04,1500m,Africa,,ETH,Birmingham,GBR,2019-02-16,Samuel Tefera,1999,men,Indoor
3:36.28,1500m,Asia,,BRN,Stockholm/G,SWE,2007-02-20,Bilal Mansour Ali,1988,men,Indoor
3:30.60,1500m,Europe,,NOR,Liévin,FRA,2022-02-17,Jakob Ingebrigtsen,2000,men,Indoor
3:32.35,1500m,Oceania,,AUS,Staten Island NY,USA,2021-02-13,Olli Hoare,1997,men,Indoor
3:38.03,1500m,South America,,ARG,Sabadell,ESP,2022-02-08,Federico Bruno,1993,men,Indoor
5:09.61,2000m,South America,,ARG,Bordeaux,FRA,2013-01-26,Federico Bruno,1993,men,Indoor
19.92,200m,Africa,,NAM,Liévin,FRA,1996-02-18,Frank Fredericks,1967,men,Indoor
20.63,200m,Asia,,JPN,Maebashi,JPN,1999-03-05,Koji Ito,1970,men,Indoor
20.25,200m,Europe,,GBR,Liévin,FRA,1995-02-19,Linford Christie,1960,men,Indoor
20.02,200m,NACAC,,USA,College Station TX,USA,2018-03-10,Elijah Hall-Thompson,1994,men,Indoor
20.71,200m,Oceania,,AUS,Toronto,CAN,1993-03-14,Damien Marsh,1971,men,Indoor
20.65,200m,South America,,BRA,Sindelfingen,FRG,1989-02-26,Robson Caetano da Silva,1964,men,Indoor
7:23.81,3000m,Africa,,ETH,Liévin,FRA,2023-02-15,Lamecha Girma,2000,men,Indoor
7:31.77,3000m,Asia,,BRN,Liévin,FRA,2022-02-17,Birhanu Balew,1996,men,Indoor
7:24.68,3000m,Europe,,ESP,Liévin,FRA,2023-02-15,Mohamed Katir,1998,men,Indoor
7:28.23,3000m,NACAC,,USA,Boston MA,USA,2023-01-27,Yared Nuguse,1999,men,Indoor
7:34.50,3000m,Oceania,,AUS,Boston MA,USA,2008-01-26,Craig Mottram,1980,men,Indoor
7:49.46,3000m,South America,,COL,Sevilla,ESP,1991-03-10,Jacinto Navarrete,1962,men,Indoor
32.19,300m,South America,,BRA,Karlsruhe,GER,1989-02-24,Robson Caetano da Silva,1964,men,Indoor
1:22.11,4 x 200m,Europe,,GBR,Glasgow,GBR,1991-03-03,Great Britain,,men,Indoor
1:22.71,4 x 200m,NACAC,,USA,Glasgow,GBR,1991-03-03,United States,,men,Indoor
3:07.95,4 x 400m,Africa,,NGR,Sopot,POL,2014-03-08,Nigeria,,men,Indoor
3:05.90,4 x 400m,Asia,,JPN,Maebashi,JPN,1999-03-06,Japan,,men,Indoor
3:01.77,4 x 400m,Europe,,POL,Birmingham,GBR,2018-03-04,Poland,,men,Indoor
3:01.39,4 x 400m,NACAC,,USA,College Station TX,USA,2018-03-10,United States,,men,Indoor
3:08.49,4 x 400m,Oceania,,AUS,Sevilla,ESP,1991-03-10,Australia,,men,Indoor
3:10.50,4 x 400m,South America,,BRA,Paris,FRA,1997-03-08,Brazil,,men,Indoor
7:17.8,4 x 800m,Europe,,URS,Sofia,BUL,1971-03-14,Soviet Union,,men,Indoor
7:11.30,4 x 800m,NACAC,,USA,Boston MA,USA,2018-02-25,United States,,men,Indoor
45.18,400m,Africa,,UGA,Lubbock TX,USA,2024-02-23,Eugene Omalla,2000,men,Indoor
45.39,400m,Asia,,QAT,Stockholm/G,SWE,2015-02-19,Abdalelah Haroun,1997,men,Indoor
45.05,400m,Europe,,GER,Sindelfingen,FRG,1988-02-05,Thomas Schönlebe,1965,men,Indoor
45.05,400m,Europe,,NOR,Glasgow,GBR,2019-03-02,Karsten Warholm,1996,men,Indoor
44.49,400m,NACAC,,CAN,Fayetteville AR,USA,2024-02-24,Chris Morales Williams,2004,men,Indoor
45.44,400m,Oceania,,AUS,Clemson SC,USA,2018-02-23,Steven Solomon,1993,men,Indoor
46.07,400m,South America,,COL,Birmingham AL,USA,2019-03-09,Alejandro Perlaza,1994,men,Indoor
49.87,400m Hurdles,Europe,,ESP,Nerja,ESP,2023-04-15,Jesus David Delgado,1999,men,Indoor
12:49.60,5000m,Africa,,ETH,Birmingham,GBR,2004-02-20,Kenenisa Bekele,1982,men,Indoor
