result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
26:11.00,"10,000m",Africa,,UGA,Valencia,ESP,2020-10-07,Joshua Cheptegei,1996,men,Outdoor
26:38.76,"10,000m",Asia,,QAT,Bruxelles,BEL,2003-09-05,Abdullah Ahmad Hassan,1981,men,Outdoor
26:46.57,"10,000m",Europe,,GBR,Eugene OR,USA,2011-06-03,Mo Farah,1983,men,Outdoor
26:44.36,"10,000m",NACAC,,USA,Eugene OR,USA,2014-05-30,Galen Rupp,1986,men,Outdoor
27:15.35,"10,000m",Oceania,,AUS,San Juan Capistrano CA,USA,2022-03-06,Jack Rayner,1995,men,Outdoor
27:28.12,"10,000m",South America,,BRA,Neerpelt,BEL,2007-06-02,Marílson dos Santos,1977,men,Outdoor
39:51.2,"10,000m Race Walk",Africa,,ETH,Addis Ababa,ETH,2023-05-20,Misganaw Wakuma,2004,men,Outdoor
38:25.42,"10,000m Race Walk",NACAC,,CAN,Canberra,AUS,2024-01-28,Evan Dunfee,1990,men,Outdoor
2:11.96,1000m,Africa,,KEN,Rieti,ITA,1999-09-05,Noah Ngeny,1978,men,Outdoor
2:14.72,1000m,Asia,,BRN,Stockholm/S,SWE,2008-07-22,Youssef Saad Kamel,1981,men,Outdoor
2:12.18,1000m,Europe,,GBR,Oslo,NOR,1981-07-11,Sebastian Coe,1956,men,Outdoor
2:16.09,1000m,Oceania,,AUS,Ostrava,CZE,2014-06-17,Jeff Riseley,1986,men,Outdoor
2:14.09,1000m,South America,,BRA,Nice,FRA,1984-08-20,Joaquim Cruz,1963,men,Outdoor
6:23:15,100km,Asia,,JPN,Tokyo,JPN,2023-05-21,Haruki Okayama,1994,men,Outdoor
6:06:07,100km,Asia,,JPN,Yubetsu,JPN,2023-06-25,Jumpei Yamaguchi,1997,men,Outdoor
6:39:38,100km,Asia,,JPN,Bengaluru,IND,2023-07-30,Toru Somiya,1980,men,Outdoor
6:05:35,100km,Europe,,LTU,Kaunas,LTU,2023-05-14,Aleksandr Sorokin,1981,men,Outdoor
6:08:24,100km,Europe,,RUS,Nizhniy Novgorod,RUS,2023-10-01,Nikolay Volkov,1985,men,Outdoor
9.77,100m,Africa,+1.2,KEN,Nairobi,KEN,2021-09-18,Ferdinand Omanyala,1996,men,Outdoor
9.83,100m,Asia,+0.9,CHN,Tokyo,JPN,2021-08-01,Su Bingtian,1989,men,Outdoor
9.80,100m,Europe,+0.1,ITA,Tokyo,JPN,2021-08-01,Lamont Marcell Jacobs,1994,men,Outdoor
9.58,100m,NACAC,+0.9,JAM,Berlin,GER,2009-08-16,Usain Bolt,1986,men,Outdoor
9.93,100m,Oceania,+1.8,AUS,Mito,JPN,2003-05-05,Patrick Johnson,1972,men,Outdoor
9.89,100m,South America,+0.8,SUR,São Paulo,BRA,2023-07-28,Issam Asinga,2004,men,Outdoor
26:24,"10km, Road",Africa,,KEN,Valencia,ESP,2020-01-12,Rhonex Kipruto,1999,men,Outdoor
26:57,"10km, Road",Asia,,BRN,Valencia,ESP,2024-01-14,Birhanu Balew,1996,men,Outdoor
27:13,"10km, Road",Europe,,SUI,Valencia,ESP,2020-01-12,Julien Wanders,1996,men,Outdoor
27:41,"10km, Road",NACAC,,MEX,Phoenix AZ,USA,1986-03-01,Arturo Barrios,1963,men,Outdoor
27:28,"10km, Road",Oceania,,NZL,Berlin,GER,2016-10-09,Zane Robertson,1989,men,Outdoor
27:28,"10km, Road",Oceania,,NZL,New Orleans LA,USA,2018-03-31,Jake Robertson,1989,men,Outdoor
27:48,"10km, Road",South America,,BRA,Udine,ITA,2007-10-14,Marílson dos Santos,1977,men,Outdoor
13.11,110m Hurdles,Africa,+1.8,RSA,Praha,CZE,2017-06-05,Antonio Alkana,1990,men,Outdoor
12.88,110m Hurdles,Asia,+1.1,CHN,Lausanne,SUI,2006-07-11,Liu Xiang,1983,men,Outdoor
12.91,110m Hurdles,Europe,+0.5,GBR,Stuttgart,GER,1993-08-20,Colin Jackson,1967,men,Outdoor
12.80,110m Hurdles,NACAC,+0.3,USA,Bruxelles,BEL,2012-09-07,Aries Merritt,1985,men,Outdoor
13.29,110m Hurdles,Oceania,+0.6,AUS,Göteborg/U,SWE,1995-08-11,Kyle Vander-Kuyp,1971,men,Outdoor
13.17,110m Hurdles,South America,+0.4,BRA,Río de Janeiro,BRA,2022-06-23,Rafael Henrique Pereira,1997,men,Outdoor
3:26.00,1500m,Africa,,MAR,Roma,ITA,1998-07-14,Hicham El Guerrouj,1974,men,Outdoor
3:29.14,1500m,Asia,,BRN,Roma,ITA,2006-07-14,Rashid Ramzi,1980,men,Outdoor
3:27.14,1500m,Europe,,NOR,Chorzów,POL,2023-07-16,Jakob Ingebrigtsen,2000,men,Outdoor
3:29.02,1500m,NACAC,,USA,Oslo,NOR,2023-06-15,Yared Nuguse,1999,men,Outdoor
3:29.41,1500m,Oceania,,AUS,Oslo,NOR,2023-06-15,Olli Hoare,1997,men,Outdoor
3:33.25,1500m,South America,,BRA,Rieti,ITA,2005-08-28,Hudson de Souza,1977,men,Outdoor
:57:48.7,"20,000m",Asia,,JPN,Odawara,JPN,1985-05-11,Toshihiko Seko,1956,men,Outdoor
1:02:17.8,"20,000m",South America,,BRA,São Paulo,BRA,1976-11-27,Eloy Schleder,1951,men,Outdoor
1:22:51.84,"20,000m Race Walk",Africa,,TUN,Leutkirch,TUN,1994-09-08,Hatem Ghoula,1973,men,Outdoor
1:18:03.3,"20,000m Race Walk",Asia,,CHN,Beijing,CHN,1994-04-07,Bu Lingtang,1970,men,Outdoor
1:18:35.2,"20,000m Race Walk",Europe,,SWE,Bergen,NOR,1992-05-15,Stefan Johansson,1967,men,Outdoor
1:17:25.6,"20,000m Race Walk",NACAC,,MEX,Bergen,NOR,1994-05-07,Bernardo Segura,1970,men,Outdoor
1:19:48.1,"20,000m Race Walk",Oceania,,AUS,Brisbane,AUS,2001-09-04,Nathan Deakes,1977,men,Outdoor
1:20:13.68,"20,000m Race Walk",South America,,BRA,Braganca Paulista,BRA,2021-04-25,Caio Bonfim,1991,men,Outdoor
4:44.79,2000m,Africa,,MAR,Berlin,GER,1999-09-07,Hicham El Guerrouj,1974,men,Outdoor
4:55.57,2000m,Asia,,QAT,Roma,ITA,1995-06-08,Mohamed Ahmed Suleiman,1969,men,Outdoor
4:43.13,2000m,Europe,,NOR,Bruxelles,BEL,2023-09-08,Jakob Ingebrigtsen,2000,men,Outdoor
4:51.54,2000m,NACAC,,CAN,Bruxelles,BEL,2023-09-08,Charles Philibert-Thiboutot,1990,men,Outdoor
4:48.77,2000m,Oceania,,AUS,Bruxelles,BEL,2023-09-08,Stewart McSweyn,1995,men,Outdoor
5:03.34,2000m,South America,,BRA,Manaus,BRA,2002-04-06,Hudson de Souza,1977,men,Outdoor
19.50,200m,Africa,+1.6,BOT,London,GBR,2023-07-23,Letsile Tebogo,2003,men,Outdoor
19.88,200m,Asia,+0.9,CHN,London,GBR,2019-07-21,Xie Zhenye,1993,men,Outdoor
19.72,200m,Europe,+1.8,ITA,Ciudad de México,MEX,1979-09-12,Pietro Mennea,1952,men,Outdoor
19.19,200m,NACAC,-0.3,JAM,Berlin,GER,2009-08-20,Usain Bolt,1986,men,Outdoor
20.06,200m,Oceania,+0.9,AUS,Ciudad de México,MEX,1968-10-16,Peter Norman,1942,men,Outdoor
19.81,200m,South America,-0.3,PAN,Berlin,GER,2009-08-20,Alonso Edward,1989,men,Outdoor
1:19:02,20km Race Walk,Africa,,TUN,Eisenhüttenstadt,GER,1997-05-10,Hatem Ghoula,1973,men,Outdoor
1:18:34,20km Race Walk,Africa,,KEN,Budapest,HUN,2023-08-19,Samuel Gathimba,1987,men,Outdoor
1:16:36,20km Race Walk,Asia,,JPN,Nomi,JPN,2015-03-15,Yusuke Suzuki,1988,men,Outdoor
1:17:02,20km Race Walk,Europe,,FRA,Arles,FRA,2015-03-08,Yohann Diniz,1978,men,Outdoor
1:17:46,20km Race Walk,NACAC,,GUA,Eisenhüttenstadt,GER,1999-05-08,Julio Martínez,1973,men,Outdoor
1:17:33,20km Race Walk,Oceania,,AUS,Cixi,CHN,2005-04-23,Nathan Deakes,1977,men,Outdoor
1:17:21,20km Race Walk,South America,,ECU,Saint-Denis,FRA,2003-08-23,Jefferson Pérez,1974,men,Outdoor
1:13:55.8,"25,000m",Asia,,JPN,Christchurch,NZL,1981-03-22,Toshihiko Seko,1956,men,Outdoor
1:29:18.8,"30,000m",Asia,,JPN,Christchurch,NZL,1981-03-22,Toshihiko Seko,1956,men,Outdoor
2:19:21.31,"30,000m Race Walk",Africa,,TUN,Reims,FRA,2011-03-12,Hatem Ghoula,1973,men,Outdoor
2:01:44.1,"30,000m Race Walk",Europe,,ITA,Cuneo,ITA,1992-10-04,Maurizio Damilano,1957,men,Outdoor
7:20.67,3000m,Africa,,KEN,Rieti,ITA,1996-09-01,Daniel Komen,1976,men,Outdoor
7:30.76,3000m,Asia,,QAT,Doha,QAT,2005-05-13,Jamal Bilal Salem,1978,men,Outdoor
7:23.63,3000m,Europe,,NOR,Eugene OR,USA,2023-09-17,Jakob Ingebrigtsen,2000,men,Outdoor
7:25.47,3000m,NACAC,,USA,Eugene OR,USA,2023-09-17,Grant Fisher,1997,men,Outdoor
7:28.02,3000m,Oceania,,AUS,Roma,ITA,2020-09-17,Stewart McSweyn,1995,men,Outdoor
7:37.15,3000m,South America,,URU,Zagreb,CRO,2023-09-10,Santiago Catrofe,1999,men,Outdoor
7:52.11,3000m Steeplechase,Africa,,ETH,Paris,FRA,2023-06-09,Lamecha Girma,2000,men,Outdoor
7:53.63,3000m Steeplechase,Asia,,QAT,Bruxelles,BEL,2004-09-03,Saif Saeed Shaheen,1982,men,Outdoor
8:00.09,3000m Steeplechase,Europe,,FRA,Saint-Denis,FRA,2013-07-06,Mahiedine Mekhissi-Benabbad,1985,men,Outdoor
8:00.45,3000m Steeplechase,NACAC,,USA,Saint-Denis,FRA,2015-07-04,Evan Jager,1989,men,Outdoor
8:13.26,3000m Steeplechase,Oceania,,NZL,Monaco,MON,2023-07-21,George Beamish,1996,men,Outdoor
8:14.41,3000m Steeplechase,South America,,BRA,Mar del Plata,ARG,1995-03-22,Wander Moura,1969,men,Outdoor
30.69,300m,Africa,,BOT,Pretoria,RSA,2024-02-17,Letsile Tebogo,2003,men,Outdoor
2:31:15,35km Race Walk,Africa,,RSA,Eugene OR,USA,2022-07-24,Wayne Snyman,1985,men,Outdoor
2:22:55,35km Race Walk,Asia,,CHN,Huangshan,CHN,2023-03-04,He Xianghong,1998,men,Outdoor
3:20:22,35km Race Walk,Asia,,IND,Hyderabad,IND,2023-09-28,Manjit Singh,1996,men,Outdoor
2:23:14,35km Race Walk,Europe,,ITA,Eugene OR,USA,2022-07-24,Massimo Stano,1992,men,Outdoor
2:25:02,35km Race Walk,NACAC,,CAN,Eugene OR,USA,2022-07-24,Evan Dunfee,1990,men,Outdoor
2:24:37,35km Race Walk,South America,,ECU,Eugene OR,USA,2022-07-24,Brian Pintado,1995,men,Outdoor
2:24:34,35km Race Walk,South America,,ECU,Budapest,HUN,2023-08-24,Brian Pintado,1995,men,Outdoor
37.65,4 x 100m,Africa,,RSA,Doha,QAT,2019-10-04,South Africa,,men,Outdoor
37.43,4 x 100m,Asia,,JPN,Doha,QAT,2019-10-05,Japan,,men,Outdoor
37.36,4 x 100m,Europe,,GBR,Doha,QAT,2019-10-05,Great Britain,,men,Outdoor
36.84,4 x 100m,NACAC,,JAM,London,GBR,2012-08-11,Jamaica,,men,Outdoor
38.17,4 x 100m,Oceania,,AUS,Göteborg/U,SWE,1995-08-12,Australia,,men,Outdoor
38.17,4 x 100m,Oceania,,AUS,London,GBR,2012-08-10,Australia,,men,Outdoor
37.72,4 x 100m,South America,,BRA,Doha,QAT,2019-10-05,Brazil,,men,Outdoor
14:36.23,4 x 1500m,Africa,,KEN,Bruxelles,BEL,2009-09-04,Kenya,,men,Outdoor
15:10.77,4 x 1500m,Asia,,QAT,Nassau,BAH,2014-05-25,Qatar,,men,Outdoor
14:38.8,4 x 1500m,Europe,,GER,Köln,GER,1977-08-17,Germany,,men,Outdoor
14:46.04,4 x 1500m,Oceania,,AUS,Nassau,BAH,2014-05-25,Australia,,men,Outdoor
1:20.42,4 x 200m,Africa,,RSA,Yokohama,JPN,2019-05-12,South Africa,,men,Outdoor
1:20.83,4 x 200m,Asia,,CHN,Xi'an,CHN,2021-09-23,China,,men,Outdoor
1:20.83,4 x 200m,Asia,,CHN,Xi'an,CHN,2021-09-23,China,,men,Outdoor
1:20.66,4 x 200m,Europe,,FRA,Nassau,BAH,2014-05-24,France,,men,Outdoor
1:23.04,4 x 200m,Oceania,,AUS,Sydney,AUS,1998-12-06,Australia,,men,Outdoor
1:24.42,4 x 200m,South America,,GUY,Philadelphia PA,USA,2015-04-25,Guyana,,men,Outdoor
2:57.27,4 x 400m,Africa,,BOT,Tokyo,JPN,2021-08-07,Botswana,,men,Outdoor
2:59.05,4 x 400m,Asia,,IND,Budapest,HUN,2023-08-26,India,,men,Outdoor
