result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
26:11.00,,UGA,Valencia,ESP,2020-10-07,Joshua Cheptegei,1996.0,Male,Outdoor,AR,10K,4
26:38.76,,QAT,Bruxelles,BEL,2003-09-05,Abdullah Ahmad Hassan,1981.0,Male,Outdoor,AR,10K,5
26:46.57,,GBR,Eugene OR,USA,2011-06-03,Mo Farah,1983.0,Male,Outdoor,AR,10K,1
26:44.36,,USA,Eugene OR,USA,2014-05-30,Galen Rupp,1986.0,Male,Outdoor,AR,10K,2
27:15.35,,AUS,San Juan Capistrano CA,USA,2022-03-06,Jack Rayner,1995.0,Male,Outdoor,AR,10K,6
27:28.12,,BRA,Neerpelt,BEL,2007-06-02,Marílson dos Santos,1977.0,Male,Outdoor,AR,10K,3
39:51.2,,ETH,Addis Ababa,ETH,2023-05-20,Misganaw Wakuma,2004.0,Male,Outdoor,AR,10G,4
38:25.42,,CAN,Canberra,AUS,2024-01-28,Evan Dunfee,1990.0,Male,Outdoor,AR,10G,2
2:11.96,,KEN,Rieti,ITA,1999-09-05,Noah Ngeny,1978.0,Male,Outdoor,AR,1K0,4
2:14.72,,BRN,Stockholm/S,SWE,2008-07-22,Youssef Saad Kamel,1981.0,Male,Outdoor,AR,1K0,5
2:12.18,,GBR,Oslo,NOR,1981-07-11,Sebastian Coe,1956.0,Male,Outdoor,AR,1K0,1
2:16.09,,AUS,Ostrava,CZE,2014-06-17,Jeff Riseley,1986.0,Male,Outdoor,AR,1K0,6
2:14.09,,BRA,Nice,FRA,1984-08-20,Joaquim Cruz,1963.0,Male,Outdoor,AR,1K0,3
9.77,1.2,KEN,Nairobi,KEN,2021-09-18,Ferdinand Omanyala,1996.0,Male,Outdoor,AR,100,4
9.83,0.9,CHN,Tokyo,JPN,2021-08-01,Su Bingtian,1989.0,Male,Outdoor,AR,100,5
9.80,0.1,ITA,Tokyo,JPN,2021-08-01,Lamont Marcell Jacobs,1994.0,Male,Outdoor,AR,100,1
9.58,0.9,JAM,Berlin,GER,2009-08-16,Usain Bolt,1986.0,Male,Outdoor,AR,100,2
9.93,1.8,AUS,Mito,JPN,2003-05-05,Patrick Johnson,1972.0,Male,Outdoor,AR,100,6
9.89,0.8,SUR,São Paulo,BRA,2023-07-28,Issam Asinga,2004.0,Male,Outdoor,AR,100,3
13.11,1.8,RSA,Praha,CZE,2017-06-05,Antonio Alkana,1990.0,Male,Outdoor,AR,11H,4
12.88,1.1,CHN,Lausanne,SUI,2006-07-11,Liu Xiang,1983.0,Male,Outdoor,AR,11H,5
12.91,0.5,GBR,Stuttgart,GER,1993-08-20,Colin Jackson,1967.0,Male,Outdoor,AR,11H,1
12.80,0.3,USA,Bruxelles,BEL,2012-09-07,Aries Merritt,1985.0,Male,Outdoor,AR,11H,2
13.29,0.6,AUS,Göteborg/U,SWE,1995-08-11,Kyle Vander-Kuyp,1971.0,Male,Outdoor,AR,11H,6
13.17,0.4,BRA,Río de Janeiro,BRA,2022-06-23,Rafael Henrique Pereira,1997.0,Male,Outdoor,AR,11H,3
3:26.00,,MAR,Roma,ITA,1998-07-14,Hicham El Guerrouj,1974.0,Male,Outdoor,AR,1K5,4
3:29.14,,BRN,Roma,ITA,2006-07-14,Rashid Ramzi,1980.0,Male,Outdoor,AR,1K5,5
3:27.14,,NOR,Chorzów,POL,2023-07-16,Jakob Ingebrigtsen,2000.0,Male,Outdoor,AR,1K5,1
3:29.02,,USA,Oslo,NOR,2023-06-15,Yared Nuguse,1999.0,Male,Outdoor,AR,1K5,2
3:29.41,,AUS,Oslo,NOR,2023-06-15,Olli Hoare,1997.0,Male,Outdoor,AR,1K5,6
3:33.25,,BRA,Rieti,ITA,2005-08-28,Hudson de Souza,1977.0,Male,Outdoor,AR,1K5,3
4:44.79,,MAR,Berlin,GER,1999-09-07,Hicham El Guerrouj,1974.0,Male,Outdoor,AR,2K0,4
4:55.57,,QAT,Roma,ITA,1995-06-08,Mohamed Ahmed Suleiman,1969.0,Male,Outdoor,AR,2K0,5
4:43.13,,NOR,Bruxelles,BEL,2023-09-08,Jakob Ingebrigtsen,2000.0,Male,Outdoor,AR,2K0,1
4:51.54,,CAN,Bruxelles,BEL,2023-09-08,Charles Philibert-Thiboutot,1990.0,Male,Outdoor,AR,2K0,2
4:48.77,,AUS,Bruxelles,BEL,2023-09-08,Stewart McSweyn,1995.0,Male,Outdoor,AR,2K0,6
5:03.34,,BRA,Manaus,BRA,2002-04-06,Hudson de Souza,1977.0,Male,Outdoor,AR,2K0,3
19.50,1.6,BOT,London,GBR,2023-07-23,Letsile Tebogo,2003.0,Male,Outdoor,AR,200,4
19.88,0.9,CHN,London,GBR,2019-07-21,Xie Zhenye,1993.0,Male,Outdoor,AR,200,5
19.72,1.8,ITA,Ciudad de México,MEX,1979-09-12,Pietro Mennea,1952.0,Male,Outdoor,AR,200,1
19.19,-0.3,JAM,Berlin,GER,2009-08-20,Usain Bolt,1986.0,Male,Outdoor,AR,200,2
20.06,0.9,AUS,Ciudad de México,MEX,1968-10-16,Peter Norman,1942.0,Male,Outdoor,AR,200,6
19.81,-0.3,PAN,Berlin,GER,2009-08-20,Alonso Edward,1989.0,Male,Outdoor,AR,200,3
7:20.67,,KEN,Rieti,ITA,1996-09-01,Daniel Komen,1976.0,Male,Outdoor,AR,3K0,4
7:30.76,,QAT,Doha,QAT,2005-05-13,Jamal Bilal Salem,1978.0,Male,Outdoor,AR,3K0,5
7:23.63,,NOR,Eugene OR,USA,2023-09-17,Jakob Ingebrigtsen,2000.0,Male,Outdoor,AR,3K0,1
7:25.47,,USA,Eugene OR,USA,2023-09-17,Grant Fisher,1997.0,Male,Outdoor,AR,3K0,2
7:28.02,,AUS,Roma,ITA,2020-09-17,Stewart McSweyn,1995.0,Male,Outdoor,AR,3K0,6
7:37.15,,URU,Zagreb,CRO,2023-09-10,Santiago Catrofe,1999.0,Male,Outdoor,AR,3K0,3
7:52.11,,ETH,Paris,FRA,2023-06-09,Lamecha Girma,2000.0,Male,Outdoor,AR,3KH,4
7:53.63,,QAT,Bruxelles,BEL,2004-09-03,Saif Saeed Shaheen,1982.0,Male,Outdoor,AR,3KH,5
8:00.09,,FRA,Saint-Denis,FRA,2013-07-06,Mahiedine Mekhissi-Benabbad,1985.0,Male,Outdoor,AR,3KH,1
