result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
41:22.5,"10,000m Race Walk",Europe,,RUS,Saransk,RUS,2023-09-24,Elvira Khasanova,2000,women,Indoor
2:30.94,1000m,Africa,,MOZ,Stockholm/G,SWE,1999-02-25,Maria Mutola,1972,women,Indoor
2:31.93,1000m,Europe,,GBR,Birmingham,GBR,2017-02-18,Laura Muir,1993,women,Indoor
2:33.75,1000m,NACAC,,CAN,Boston MA,USA,2023-01-28,Lucia Stafford,1998,women,Indoor
2:36.96,1000m,Oceania,,NZL,Boston MA,USA,2000-02-06,Toni Hodgkinson,1971,women,Indoor
2:38.30,1000m,South America,,SUR,Stockholm/G,SWE,1999-02-25,Letitia Vriesde,1964,women,Indoor
3:53.09,1500m,Africa,,ETH,Liévin,FRA,2021-02-09,Gudaf Tsegay,1997,women,Indoor
3:59.79,1500m,Asia,,BRN,Valencia,ESP,2008-03-09,Maryam Jamal,1984,women,Indoor
3:57.91,1500m,Europe,,SWE,Stockholm/G,SWE,2014-02-06,Abeba Aregawi,1990,women,Indoor
3:59.98,1500m,NACAC,,USA,Boston MA,USA,2003-02-01,Regina Jacobs,1963,women,Indoor
4:01.19,1500m,Oceania,,AUS,New York NY,USA,2024-02-11,Jessica Hull,1996,women,Indoor
4:12.95,1500m,South America,,ARG,Sabadell,ESP,2023-01-28,Fedra Aldana Luna,1995,women,Indoor
22.11,200m,Africa,,NGR,Albuquerque NM,USA,2023-03-10,Favour Ofili,2002,women,Indoor
22.99,200m,Asia,,SRI,Lisboa,POR,2001-03-09,Susanthika Jayasinghe,1975,women,Indoor
22.10,200m,Europe,,RUS,Liévin,FRA,1995-02-19,Irina Privalova,1968,women,Indoor
21.87,200m,NACAC,,JAM,Liévin,FRA,1993-02-13,Merlene Ottey,1960,women,Indoor
22.64,200m,Oceania,,AUS,Barcelona,ESP,1995-03-10,Melinda Gainsford-Taylor,1971,women,Indoor
22.64,200m,Oceania,,AUS,Barcelona,ESP,1995-03-11,Melinda Gainsford-Taylor,1971,women,Indoor
23.02,200m,South America,,GUY,Lubbock TX,USA,2019-01-26,Brenessa Thompson,1996,women,Indoor
8:16.60,3000m,Africa,,ETH,Stockholm/G,SWE,2014-02-06,Genzebe Dibaba,1991,women,Indoor
8:39.64,3000m,Asia,,BRN,Val-de-Reuil,FRA,2020-02-14,Winfred Yavi,1999,women,Indoor
8:26.41,3000m,Europe,,GBR,Karlsruhe,GER,2017-02-04,Laura Muir,1993,women,Indoor
8:25.05,3000m,NACAC,,USA,New York NY,USA,2023-02-11,Alicia Monson,1998,women,Indoor
8:24.93,3000m,Oceania,,AUS,Brighton MA,USA,2024-02-04,Jessica Hull,1996,women,Indoor
8:57.59,3000m,South America,,ARG,Val-de-Reuil,FRA,2023-02-04,Fedra Aldana Luna,1995,women,Indoor
11:40.33,3000m Race Walk,Europe,,ROU,Bucureşti,ROU,1999-01-30,Claudia Ştef,1978,women,Indoor
12:20.79,3000m Race Walk,NACAC,,USA,Toronto,CAN,1993-03-12,Debbi Lawrence,1961,women,Indoor
13:24.0,3000m Race Walk,South America,,BOL,Cochabamba,BOL,2023-02-12,Angela Castro,1993,women,Indoor
1:32.41,4 x 200m,Europe,,RUS,Glasgow,GBR,2005-01-29,Russia,,women,Indoor
1:32.67,4 x 200m,NACAC,,USA,New York NY,USA,2018-01-27,United States,,women,Indoor
