result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
29:01.03,"10,000m",Africa,,ETH,Hengelo,NED,2021-06-08,Letesenbet Gidey,1998,women,Outdoor
29:31.78,"10,000m",Asia,,CHN,Beijing,CHN,1993-09-08,Wang Junxia,1973,women,Outdoor
29:06.82,"10,000m",Europe,,NED,Hengelo,NED,2021-06-06,Sifan Hassan,1993,women,Outdoor
30:03.82,"10,000m",NACAC,,USA,San Juan Capistrano CA,USA,2023-03-04,Alicia Monson,1998,women,Outdoor
30:35.54,"10,000m",Oceania,,NZL,Stanford CA,USA,2008-05-04,Kim Smith,1981,women,Outdoor
31:47.76,"10,000m",South America,,BRA,Stuttgart,GER,1993-08-21,Carmen de Oliveira,1965,women,Outdoor
43:50.86,"10,000m Race Walk",Africa,,KEN,Birmingham,GBR,2022-08-06,Emily Ngii,1986,women,Outdoor
44:13.88,"10,000m Race Walk",NACAC,,MEX,Tampere,FIN,2018-07-14,Alegna Gonzalez,1999,women,Outdoor
41:57.22,"10,000m Race Walk",Oceania,,AUS,Seattle WA,USA,1990-07-24,Kerry Saxby-Junna,1961,women,Outdoor
42:02.99,"10,000m Race Walk",South America,,COL,Trujillo2,PER,2018-08-25,Sandra Arenas,1993,women,Outdoor
2:29.15,1000m,Africa,,KEN,Monaco,MON,2020-08-14,Faith Kipyegon,1994,women,Outdoor
2:33.00,1000m,Asia,,CHN,Beijing,CHN,1993-11-09,Qu Yunxia,,women,Outdoor
2:28.98,1000m,Europe,,RUS,Bruxelles,BEL,1996-08-23,Svetlana Masterkova,1968,women,Outdoor
2:31.80,1000m,NACAC,,USA,Brunswick ME,USA,1999-07-03,Regina Jacobs,1963,women,Outdoor
2:34.63,1000m,Oceania,,AUS,Bern,SUI,2023-08-04,Abbey Caldwell,2001,women,Outdoor
2:32.25,1000m,South America,,SUR,Berlin,GER,1991-09-10,Letitia Vriesde,1964,women,Outdoor
9:05:39,100km,Asia,,JPN,Steenwerck,FRA,2023-05-18,Ayumi Tamai,1978,women,Outdoor
7:27:44,100km,Asia,,JPN,Bengaluru,IND,2023-07-30,Miho Nakata,1989,women,Outdoor
10.75,100m,Africa,+0.9,CIV,Oslo,NOR,2023-06-15,Marie Josée Ta Lou,1988,women,Outdoor
10.79,100m,Asia,0.0,CHN,Shanghai,CHN,1997-10-18,Li Xuemei,1977,women,Outdoor
10.73,100m,Europe,+2.0,FRA,Budapest,HUN,1998-08-19,Christine Arron,1973,women,Outdoor
10.49,100m,NACAC,0.0,USA,Indianapolis IN,USA,1988-07-16,Florence Griffith-Joyner,1959,women,Outdoor
10.96,100m,Oceania,+2.0,NZL,La Chaux-de-Fonds,SUI,2023-07-02,Zoe Hobbs,1997,women,Outdoor
10.91,100m,South America,-0.2,BRA,London,GBR,2017-08-06,Rosângela Santos,1990,women,Outdoor
12.12,100m Hurdles,Africa,+0.9,NGR,Eugene OR,USA,2022-07-24,Tobi Amusan,1997,women,Outdoor
12.44,100m Hurdles,Asia,-0.8,KAZ,Luzern,SUI,1995-06-27,Olga Shishigina,1968,women,Outdoor
12.21,100m Hurdles,Europe,+0.7,BUL,Stara Zagora,BUL,1988-08-20,Yordanka Donkova,1961,women,Outdoor
12.20,100m Hurdles,NACAC,+0.3,USA,London,GBR,2016-07-22,Kendra Harrison,1992,women,Outdoor
12.28,100m Hurdles,Oceania,+1.1,AUS,Daegu,KOR,2011-09-03,Sally Pearson,1986,women,Outdoor
12.71,100m Hurdles,South America,+0.1,BRA,Manaus,BRA,2001-05-19,Maurren Higa Maggi,1976,women,Outdoor
46:48,10km Race Walk,Africa,,ALG,Remchi,ALG,1995-04-21,Dounia Kara,1972,women,Outdoor
41:16,10km Race Walk,Asia,,CHN,Eisenhüttenstadt,GER,1999-05-08,Wang Yan,1971,women,Outdoor
41:04,10km Race Walk,Europe,,RUS,Sochi,RUS,1996-04-20,Yelena Nikolayeva,1966,women,Outdoor
42:42,10km Race Walk,NACAC,,MEX,Naumburg,GER,1997-05-25,Maria Graciela Mendoza,1963,women,Outdoor
41:30,10km Race Walk,Oceania,,AUS,Canberra,AUS,1988-08-27,Kerry Saxby-Junna,1961,women,Outdoor
43:03,10km Race Walk,South America,,BRA,Suzhou,CHN,2017-09-25,Erica de Sena,1985,women,Outdoor
28:46,"10km, Road",Africa,,KEN,Valencia,ESP,2024-01-14,Agnes Ngetich,2001,women,Outdoor
29:38,"10km, Road",Asia,,BRN,Génève,SUI,2021-10-03,Kalkidan Gezahegne,1991,women,Outdoor
30:19,"10km, Road",Europe,,GBR,Manchester,GBR,2022-05-22,Eilish McColgan,1990,women,Outdoor
30:52,"10km, Road",NACAC,,USA,Boston MA,USA,2016-06-26,Shalane Flanagan,1981,women,Outdoor
31:17,"10km, Road",Oceania,,AUS,Manchester,GBR,2006-05-21,Benita Willis,1979,women,Outdoor
31:59,"10km, Road",South America,,ARG,Miramar FL,USA,2023-11-19,Florencia Borelli,1992,women,Outdoor
3:49.11,1500m,Africa,,KEN,Firenze,ITA,2023-06-02,Faith Kipyegon,1994,women,Outdoor
3:50.46,1500m,Asia,,CHN,Beijing,CHN,1993-09-11,Qu Yunxia,1972,women,Outdoor
3:51.95,1500m,Europe,,NED,Doha,QAT,2019-10-05,Sifan Hassan,1993,women,Outdoor
3:54.99,1500m,NACAC,,USA,Doha,QAT,2019-10-05,Shelby Houlihan,1993,women,Outdoor
3:56.92,1500m,Oceania,,AUS,Eugene OR,USA,2023-09-16,Linden Hall,1991,women,Outdoor
4:05.67,1500m,South America,,SUR,Tokyo,JPN,1991-08-31,Letitia Vriesde,1964,women,Outdoor
1:05:26.6,"20,000m",Africa,,KEN,Borgholzhausen,GER,2000-09-03,Tegla Loroupe,1973,women,Outdoor
1:06:48.8,"20,000m",Asia,,JPN,Amagasaki,JPN,1993-09-20,Izumi Maki,1968,women,Outdoor
1:36:18.22,"20,000m Race Walk",Africa,,RSA,Durban,RSA,2004-04-17,Nicolene Cronje,1983,women,Outdoor
1:29:32.4,"20,000m Race Walk",Asia,,CHN,Changsha,CHN,2003-10-24,Song Hongjuan,1984,women,Outdoor
1:26:52.3,"20,000m Race Walk",Europe,,RUS,Brisbane,AUS,2001-09-06,Olimpiada Ivanova,1970,women,Outdoor
1:31:53.72,"20,000m Race Walk",NACAC,,GUA,Ciudad de Guatemala,GUA,2014-08-08,Mirna Ortiz,1987,women,Outdoor
1:33:40.2,"20,000m Race Walk",Oceania,,AUS,Brisbane,AUS,2001-09-06,Kerry Saxby-Junna,1961,women,Outdoor
1:29:24.61,"20,000m Race Walk",South America,,ECU,Guayaquil,ECU,2021-05-29,Glenda Estefanía Morejón,2000,women,Outdoor
1:29:07.5,"20,000m Race Walk",South America,,PER,São Paulo,BRA,2023-07-29,María Luz Andia,2000,women,Outdoor
5:21.56,2000m,Africa,,BDI,Zagreb,CRO,2021-09-14,Francine Niyonsaba,1993,women,Outdoor
5:29.65,2000m,Asia,,CHN,Beijing,CHN,1993-09-12,Wang Junxia,1973,women,Outdoor
5:25.36,2000m,Europe,,IRL,Edinburgh,GBR,1994-07-08,Sonia O'Sullivan,1969,women,Outdoor
5:29.41,2000m,NACAC,,USA,Beijing,CHN,1993-12-09,Xi Wang,1971,women,Outdoor
5:59.96,2000m,South America,,BOL,Rivas,ESP,2004-06-10,Niusha Mancilla,1971,women,Outdoor
5:47.42,2000m Steeplechase,Africa,,KEN,Zagreb,CRO,2023-09-10,Beatrice Chepkoech,1991,women,Outdoor
6:09.81,2000m Steeplechase,NACAC,,USA,Birmingham,GBR,2023-07-29,Madie Boreman,1998,women,Outdoor
21.78,200m,Africa,+0.6,NAM,Zürich,SUI,2021-09-09,Christine Mboma,2003,women,Outdoor
22.01,200m,Asia,0.0,CHN,Shanghai,CHN,1997-10-22,Li Xuemei,1977,women,Outdoor
21.63,200m,Europe,+0.2,NED,Beijing,CHN,2015-08-28,Dafne Schippers,1992,women,Outdoor
21.34,200m,NACAC,+1.3,USA,Seoul,KOR,1988-09-29,Florence Griffith-Joyner,1959,women,Outdoor
22.23,200m,Oceania,+0.8,AUS,Stuttgart,GER,1997-07-13,Melinda Gainsford-Taylor,1971,women,Outdoor
22.47,200m,South America,+1.4,BRA,Eugene OR,USA,2022-07-19,Vitoria Cristina Rosa,1996,women,Outdoor
1:30:40,20km Race Walk,Africa,,KEN,Nairobi,KEN,2018-06-06,Grace Njue,1979,women,Outdoor
1:23:49,20km Race Walk,Asia,,CHN,Huangshan,CHN,2021-03-20,Yang Jiayu,1996,women,Outdoor
1:25:08,20km Race Walk,Europe,,RUS,Sochi,RUS,2011-02-26,Vera Sokolova,1987,women,Outdoor
1:26:17,20km Race Walk,NACAC,,MEX,Roma,ITA,2016-05-07,Maria Guadalupe González,1989,women,Outdoor
1:27:27,20km Race Walk,Oceania,,AUS,Adelaide,AUS,2022-02-13,Jemima Montag,1998,women,Outdoor
1:27:16,20km Race Walk,Oceania,,AUS,Budapest,HUN,2023-08-20,Jemima Montag,1998,women,Outdoor
1:27:09,20km Race Walk,Oceania,,AUS,Adelaide,AUS,2024-02-11,Jemima Montag,1998,women,Outdoor
1:25:29,20km Race Walk,South America,,ECU,La Coruña,ESP,2019-06-08,Glenda Estefanía Morejón,2000,women,Outdoor
1:45:50.00,"30,000m",Africa,,KEN,Warstein,GER,2003-06-06,Tegla Loroupe,1973,women,Outdoor
8:06.11,3000m,Asia,,CHN,Beijing,CHN,1993-09-13,Wang Junxia,1973,women,Outdoor
8:18.49,3000m,Europe,,NED,Stanford CA,USA,2019-06-30,Sifan Hassan,1993,women,Outdoor
8:31.81,3000m,Oceania,,AUS,Sydney,AUS,2023-03-11,Jessica Hull,1996,women,Outdoor
8:43.26,3000m,South America,,VEN,Chorzów,POL,2023-07-16,Joselyn Daniely Brea,1994,women,Outdoor
8:44.32,3000m Steeplechase,Africa,,KEN,Monaco,MON,2018-07-20,Beatrice Chepkoech,1991,women,Outdoor
8:50.66,3000m Steeplechase,Asia,,BRN,Eugene OR,USA,2023-09-16,Winfred Yavi,1999,women,Outdoor
8:58.81,3000m Steeplechase,Europe,,RUS,Beijing,CHN,2008-08-17,Gulnara Galkina,1978,women,Outdoor
8:57.77,3000m Steeplechase,NACAC,,USA,Eugene OR,USA,2021-08-21,Courtney Frerichs,1993,women,Outdoor
9:14.28,3000m Steeplechase,Oceania,,AUS,Saint-Denis,FRA,2016-08-27,Genevieve Gregson,1989,women,Outdoor
9:24.38,3000m Steeplechase,South America,,BRA,Watford,GBR,2022-06-11,Tatiane Raquel da Silva,1990,women,Outdoor
3:42:04,35km Race Walk,Africa,,RSA,Cape Town,RSA,2022-01-15,Sandra Steenkamp,1960,women,Outdoor
2:40:37,35km Race Walk,Asia,,CHN,Eugene OR,USA,2022-07-22,Qieyang Shenjie,1990,women,Outdoor
2:40:06,35km Race Walk,Asia,,CHN,Dudince,SVK,2023-03-25,Liu Hong,1987,women,Outdoor
2:38:42,35km Race Walk,Asia,,CHN,Wajima,JPN,2023-04-16,Liu Hong,1987,women,Outdoor
3:43:05,35km Race Walk,Asia,,IND,Raebareli,IND,2023-08-25,Ramandeep Kaur,1999,women,Outdoor
2:39:16,35km Race Walk,Europe,,ESP,Lepe,ESP,2022-01-30,Mária Pérez,1996,women,Outdoor
2:37:11,35km Race Walk,Europe,,RUS,Saransk,RUS,2023-05-20,Klavdiya Afanasyeva,1996,women,Outdoor
2:37:15,35km Race Walk,Europe,,ESP,Podébrady,CZE,2023-05-21,Mária Pérez,1996,women,Outdoor
2:49:29,35km Race Walk,NACAC,,USA,Dudince,SVK,2022-04-23,Robyn Stevens,1983,women,Outdoor
2:53:34,35km Race Walk,Oceania,,AUS,Taicang,CHN,2018-05-05,Claire Woods,1981,women,Outdoor
2:50:23,35km Race Walk,Oceania,,AUS,Wajima,JPN,2023-04-16,Allanah Pitcher,2003,women,Outdoor
2:47:54,35km Race Walk,Oceania,,AUS,Melbourne,AUS,2023-05-21,Rebecca Henderson,2001,women,Outdoor
2:39:16,35km Race Walk,South America,,PER,Eugene OR,USA,2022-07-22,Kimberly García,1993,women,Outdoor
2:37:44,35km Race Walk,South America,,PER,Dudince,SVK,2023-03-25,Kimberly García,1993,women,Outdoor
41.90,4 x 100m,Africa,,CIV,Budapest,HUN,2023-08-25,Ivory Coast,,women,Outdoor
42.23,4 x 100m,Asia,,CHN,Shanghai,CHN,1997-10-23,China,,women,Outdoor
41.37,4 x 100m,Europe,,GER,Canberra,AUS,1985-10-06,Germany,,women,Outdoor
40.82,4 x 100m,NACAC,,USA,London,GBR,2012-08-10,United States,,women,Outdoor
42.99,4 x 100m,Oceania,,AUS,Pietersburg,RSA,2000-03-18,Australia,,women,Outdoor
42.29,4 x 100m,South America,,BRA,Moskva,RUS,2013-08-18,Brazil,,women,Outdoor
16:33.58,4 x 1500m,Africa,,KEN,Nassau,BAH,2014-05-24,Kenya,,women,Outdoor
18:31.18,4 x 1500m,Asia,,JPN,Hitachinaka,JPN,1996-05-26,Japan,,women,Outdoor
17:51.48,4 x 1500m,Europe,,ROU,Nassau,BAH,2014-05-24,Romania,,women,Outdoor
1:30.52,4 x 200m,Africa,,NGR,Nassau,BAH,2015-05-02,Nigeria,,women,Outdoor
