result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
5:18.38,ALG,Verona,ITA,1992-06-17,Azzedine Brahmi,1966,Male,2000S,NR
5:26.60,AUS,Strasbourg,FRA,2007-06-28,Youcef Abdi,1977,Male,2000S,NR
5:37.93,AUT,Duisburg,FRG,1973-08-26,Peter Lindtner,1954,Male,2000S,NR
5:22.24,BEL,Hechtel,BEL,1987-08-08,William Van Dijck,1961,Male,2000S,NR
5:56.20,BIH,Kruševac,SRB,2016-07-02,Belmin Mrkanovic,2000,Male,2000S,NR
5:25.12,BUL,Sofia,BUL,2015-05-20,Mitko Tsenov,1993,Male,2000S,NR
5:33.54,CZE,Palafrugell,ESP,2000-05-27,Michael Nejedlý,1969,Male,2000S,NR
7:13.60,DEN,UNKNOWN,???,2011-07-12,Rolf Køngerskov,1950,Male,2000S,NR
5:29.65,DJI,Goleniow,POL,2018-06-20,Mohamed Ismail Ibrahim,1997,Male,2000S,NR
5:16.92,ESP,Castellón,ESP,2023-06-14,Víctor Ruiz,1993,Male,2000S,NR
5:44.91,EST,Krasnodar,URS,1985-07-15,Rainer Nõlvak,1966,Male,2000S,NR
5:19.96,ETH,Herrera,ESP,2007-05-19,Roba Gari,1982,Male,2000S,NR
5:28.84,FIN,Barcelona,ESP,2004-07-09,Kim Bergdahl,1978,Male,2000S,NR
5:10.68,FRA,Reims,FRA,2010-06-30,Mahiedine Mekhissi-Benabbad,1985,Male,2000S,NR
5:19.86,GBR,London,GBR,1988-08-28,Mark Rowland,1963,Male,2000S,NR
5:25.55,GER,Rovereto,ITA,1998-08-26,Marc Ostendarp,1973,Male,2000S,NR
5:25.01,GRE,Athína,GRE,1980-10-20,Arsenios Tsiminos,1961,Male,2000S,NR
5:24.19,HUN,Formia,ITA,1991-07-08,Béla Vágó,1963,Male,2000S,NR
6:04.76,IND,Kochi,IND,2016-10-29,Aswin Antony,1999,Male,2000S,NR
5:47.10,ISL,La Laguna,ESP,2002-09-14,Sveinn Margeirsson,1978,Male,2000S,NR
5:18.36,ITA,Verona,ITA,1989-09-12,Alessandro Lambruschini,1965,Male,2000S,NR
5:29.11,JPN,Kobe,JPN,2022-04-24,Yasunari Kusu,1993,Male,2000S,NR
5:14.43,KEN,Rovereto,ITA,1990-08-21,Julius Kariuki,1961,Male,2000S,NR
5:14.06,MAR,Zagreb,CRO,2022-09-11,Soufiane El Bakkali,1996,Male,2000S,NR
5:26.08,NED,La Laguna,ESP,2002-09-14,Simon Vroemen,1969,Male,2000S,NR
5:26.18,NOR,Elnesvågen,NOR,1999-05-24,Jim Svenøy,1972,Male,2000S,NR
5:24.06,NZL,Birmingham,GBR,1986-07-19,Peter Renner,1959,Male,2000S,NR
5:20.00,POL,Oslo,NOR,1984-06-28,Krzysztof Wesołowski,1956,Male,2000S,NR
5:25.16,POR,Barcelona,ESP,2004-07-09,Manuel Silva,1978,Male,2000S,NR
5:28.56,PUR,Huelva,ESP,2005-06-07,Alex Greaux,1977,Male,2000S,NR
5:14.53,QAT,Doha,QAT,2005-05-13,Saif Saeed Shaheen,1982,Male,2000S,NR
5:26.46,RSA,Reims,FRA,2010-06-30,Ruben Ramolefi,1978,Male,2000S,NR
5:26.85,RUS,Moskva,RUS,2014-07-17,Nikolay Chavkin,1984,Male,2000S,NR
5:29.95,SLO,Pliezhausen,GER,2006-05-14,Boštjan Buč,1980,Male,2000S,NR
5:37.52,SUD,Doha,QAT,2005-05-13,Mousa Youssef Idriss,1988,Male,2000S,NR
5:26.93,SWE,Zagreb,CRO,2022-09-11,Emil Blomberg,1992,Male,2000S,NR
5:21.13,TUN,Padova,ITA,2000-08-27,Lotfi Turki,1975,Male,2000S,NR
5:53.36,TUR,Istanbul,TUR,2019-07-14,Ibrahim Karateker,2002,Male,2000S,NR
5:27.63,UGA,Tomblaine,FRA,2010-06-25,Simon Ayeko,1987,Male,2000S,NR
5:27.89,UKR,Ostrava,TCH,1989-07-29,Nikolay Matyushenko,1966,Male,2000S,NR
5:48.43,YUG,Murcia,ESP,2001-07-23,Miloš Vučković,1984,Male,2000S,NR
