result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
2:28:46,AFG,Sacramento CA,USA,1990-12-02,Waheed Karim,,Male,Mar,NR
2:57:28,AHO,Curacao,AHO,2007-03-17,Herman Couperus,,Male,Mar,NR
5:06:05,AIA,New York NY,USA,2013-11-03,Vallan Hodge-Richardson,,Male,Mar,NR
2:25:29,ALB,Burgas,BUL,1991-09-29,Remzi Laho,1967,Male,Mar,NR
2:09:54,ALG,Paris,FRA,2002-04-07,Rachid Ziar,1973,Male,Mar,NR
2:14:25,AND,Barcelona,ESP,2003-03-16,Toni Bernadó,1966,Male,Mar,NR
2:11:40,ANG,Berlin,GER,2001-09-30,João N'Tyamba,1968,Male,Mar,NR
2:31:49,ANT,Victoria,CAN,1994-08-28,Cordoy Simon,1967,Male,Mar,NR
2:09:36,ARG,Valencia,ESP,2021-12-05,Joaquín Arbe,1990,Male,Mar,NR
2:20:36,ARM,Uzhgorod,URS,1968-04-04,Ashik Mikhtarian,1950,Male,Mar,NR
2:13:43,ARU,Berchem,GBR,1989-09-10,Kimball Reynierse,1961,Male,Mar,NR
2:25:35,ASA,Seoul,KOR,1988-10-02,Gary Fanelli,1950,Male,Mar,NR
2:07:31,AUS,Fukuoka,JPN,2022-12-04,Brett Robinson,1991,Male,Mar,NR
2:10:06,AUT,London,GBR,2020-10-04,Peter Herzog,1987,Male,Mar,NR
2:11:22,AZE,Dubai,UAE,2013-01-25,Tilahun Aliyev,1990,Male,Mar,NR
2:29:28,BAH,Amsterdam,NED,2019-10-20,Oneil Williams,1983,Male,Mar,NR
2:22:03,BAN,Dhaka,BAN,1987-03-07,Ali Mohamed,,Male,Mar,NR
2:29:40,BAR,Bridgetown,BAR,1988-12-04,Reuben McColin,,Male,Mar,NR
2:07:13,BDI,Zürich,SUI,2022-04-10,Olivier Irabaruta,1990,Male,Mar,NR
2:03:36,BEL,Rotterdam,NED,2021-10-24,Bashir Abdi,1989,Male,Mar,NR
2:24:53,BEN,Parakou,BDI,2012-11-02,Patrice Lompo,1989,Male,Mar,NR
2:21:47,BER,Otsu,JPN,2019-03-10,Tyler Butterfield,1983,Male,Mar,NR
2:36:58,BHU,Punakha,BHU,2020-03-07,Gawa Zangpo,,Male,Mar,NR
2:15:55,BIH,Karl-Marx-Stadt,GER,1975-05-03,Sead Kondo,1951,Male,Mar,NR
2:22:01,BIZ,Birmingham,GBR,2003-02-08,Patrick Fuller,,Male,Mar,NR
2:10:58,BLR,Moskva,URS,1980-05-24,Vladimir Kotov,1958,Male,Mar,NR
2:07:44,BOL,Sevilla,ESP,2023-02-19,Héctor Garibay,1988,Male,Mar,NR
2:14:57,BOT,Bosele,BOT,2004-07-25,John James,,Male,Mar,NR
2:04:51,BRA,Seoul,KOR,2022-04-17,Daniel do Nascimento,1998,Male,Mar,NR
2:04:43,BRN,Valencia,ESP,2018-12-02,El Hassan El Abbassi,1984,Male,Mar,NR
2:41:12,BRU,Kota Kinabalu,MAS,2008-10-14,Sefli Anak Ahar,,Male,Mar,NR
2:11:26,BUL,Sofia,BUL,1997-10-19,Hristo Stefanov,1970,Male,Mar,NR
2:27:20,BUR,Berlin,GER,2022-09-25,Moctare Simpore,1998,Male,Mar,NR
2:18:06,CAF,Saint-Denis,FRA,2003-08-30,Ernest Ndjissipou,1974,Male,Mar,NR
2:23:29,CAM,Paris,FRA,2012-04-15,Bunting Hem,1985,Male,Mar,NR
2:05:36,CAN,Tokyo,JPN,2023-03-05,Cam Levins,1989,Male,Mar,NR
2:34:29,CAY,Sacramento CA,USA,2010-12-05,Jon Rankin,1982,Male,Mar,NR
2:26:01,CGO,Puteaux,FRA,1990-09-16,Bernard Tsati,,Male,Mar,NR
2:18:20,CHA,Valencia,ESP,2023-12-03,Valentin Betoudji,1991,Male,Mar,NR
2:19:34,CHA,La Rochelle,FRA,2015-11-29,Ahmat Abdou-Daoud,1985,Male,Mar,NR
2:08:04,CHI,Sevilla,ESP,2024-02-18,Carlos Díaz,1993,Male,Mar,NR
2:10:26,CHI,Sevilla,ESP,2023-02-19,Carlos Díaz,1993,Male,Mar,NR
2:08:44,CHI,Houston TX,USA,2024-01-14,Hugo Catrileo,1997,Male,Mar,NR
2:07:09,CHN,Fukuoka,JPN,2023-12-03,Yang Shaohui,1992,Male,Mar,NR
2:07:30,CHN,Wuxi,CHN,2023-03-19,He Jie,1998,Male,Mar,NR
2:08:15,CHN,Beijing,CHN,2007-10-21,Ren Longyun,1987,Male,Mar,NR
2:19:21,CIV,Valencia,ESP,2023-12-03,Jonathan Atse-Herrera,1987,Male,Mar,NR
2:19:55,CIV,Ouagadougou,BUR,2019-12-07,Soumaila Traore,1992,Male,Mar,NR
2:15:43,CMR,Douala,CMR,2019-10-27,Justilin Foimi,,Male,Mar,NR
2:08:40,COD,Paris,FRA,1999-04-04,Mwenze Kalombo,1970,Male,Mar,NR
2:51:26,COK,Avarua,COK,1980-03-05,Muriaroa Ngaro,,Male,Mar,NR
2:10:51,COL,Enschede,NED,2021-04-18,Jeisson Alexander Suárez,1991,Male,Mar,NR
2:35:43,COM,St-Paul-Reunion,FRA,1988-09-18,Youssouf Gagou,,Male,Mar,NR
2:11:01,CPV,Sevilla,ESP,2024-02-18,Samuel Freire,1990,Male,Mar,NR
2:18:47,CPV,Rotterdam,NED,2011-04-10,Ruben Sanca,1986,Male,Mar,NR
2:13:23,CRC,Los Angeles CA,USA,1996-03-03,José Luis Molina,1965,Male,Mar,NR
2:17:05,CRO,Bologna,ITA,1992-03-29,Drago Paripovic,1959,Male,Mar,NR
2:10:53,CUB,La Habana,CUB,1994-11-30,Ignacio Alberto Cuba,1962,Male,Mar,NR
2:10:20,CYP,Sevilla,ESP,2023-02-19,Amine Khadiri,1988,Male,Mar,NR
2:11:57,CZE,Hamburg,GER,1993-05-23,Karel David,1964,Male,Mar,NR
2:09:43,DEN,London,GBR,1985-04-21,Henrik Jørgensen,1961,Male,Mar,NR
2:06:43,DJI,Oita,JPN,2023-02-05,Ibrahim Hassan Bouh,1997,Male,Mar,NR
3:13:32,DMA,New York NY,USA,2013-11-03,Calvin Auguiste,,Male,Mar,NR
2:14:28,DOM,Houston TX,USA,2023-01-15,Alvaro Abreu,1991,Male,Mar,NR
2:09:05,ECU,Valencia,ESP,2023-12-03,Segundo Jami,1986,Male,Mar,NR
2:09:49,ECU,Chicago IL,USA,1997-10-19,Silvio Guerra,1968,Male,Mar,NR
2:19:39,EGY,Arish,EGY,1997-12-25,Aissa Reza Abou Daif,1970,Male,Mar,NR
2:04:35,ERI,Amsterdam,NED,2021-10-17,Hizkel Tewelde,1986,Male,Mar,NR
2:26:57,ESA,Tegucigalpa,HON,1990-01-13,Victor Vasquez,,Male,Mar,NR
2:06:25,ESP,Sevilla,ESP,2022-02-20,Ayad Lamdassem,1981,Male,Mar,NR
2:05:48,ESP,Valencia,ESP,2023-12-03,Tariku Novales,1998,Male,Mar,NR
2:08:53,EST,Paris,FRA,2002-04-07,Pavel Loskutov,1969,Male,Mar,NR
2:01:41,ETH,Berlin,GER,2019-09-29,Kenenisa Bekele,1982,Male,Mar,NR
2:23:33,FIJ,Las Vegas NV,USA,1989-04-02,Bineshwar Prasad,1963,Male,Mar,NR
2:10:46,FIN,Rotterdam,NED,2008-04-13,Janne Holmén,1977,Male,Mar,NR
2:05:22,FRA,Paris,FRA,2022-04-03,Morhad Amdouni,1988,Male,Mar,NR
2:18:59,FRA,Paris,FRA,2021-10-17,Sumaa Aboubakar,1992,Male,Mar,NR
2:03:47,FRA,Sevilla,ESP,2024-02-18,Morhad Amdouni,1988,Male,Mar,NR
2:46:08,FSM,Boston MA,USA,2022-04-18,Simeon Jacob,,Male,Mar,NR
2:52:29,FSM,San Antonio TX,USA,1990-07-14,Elias Rodriguez,1964,Male,Mar,NR
2:31:59,GAB,Cannes,FRA,2008-09-11,Jean-Marc Léandro,1969,Male,Mar,NR
2:18:42,GAM,Reggio Emilia,ITA,2019-12-08,Ousman Jaiteh,1990,Male,Mar,NR
2:05:11,GBR,Chicago IL,USA,2018-10-07,Mo Farah,1983,Male,Mar,NR
