result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
3.72,AFG,Bremen,GER,2014-05-29,Said Gilani,1996,Male,PV,NR
3.50,AHO,Sittard,NED,1997-08-31,Ivor Landburg,,Male,PV,NR
3.21,AIA,Cobleskill NY,USA,2002-04-27,Andre Samuel,,Male,PV,NR
5.40,ALB,Athína,GRE,1991-07-07,Sazan Fisheku,1969,Male,PV,NR
5.50,ALG,Zweibrücken,GER,2015-06-14,Hichem Cherabi,1993,Male,PV,NR
4.95,AND,Serravalle,SMR,2017-06-01,Miquel Vilchez,1993,Male,PV,NR
4.05,ANG,Luanda,ANG,1989-06-11,José Francisco,,Male,PV,NR
3.80,ANT,Newham,GBR,1973-06-02,Calvin Greenaway,1948,Male,PV,NR
5.75,ARG,Toronto,CAN,2015-07-21,Germán Chiaraviglio,1987,Male,PV,NR
4.40,ARM,Yerevan,URS,1978-06-15,Onik Khachatryan,,Male,PV,NR
4.40,ARM,Yerevan,URS,1978-06-15,Viktor Sosedov,,Male,PV,NR
3.30,ARU,UNKNOWN,???,1995-01-01,Ericko Pieternella,1980,Male,PV,NR
5.41,ASA,Norman OK,USA,2005-05-28,Makisi Haleck,,Male,PV,NR
6.05,AUS,Edmonton,CAN,2001-08-09,Dmitri Markov,1975,Male,PV,NR
5.77,AUT,Linz,AUT,1991-07-05,Hermann Fehringer,1962,Male,PV,NR
5.00,AZE,Kharkov,URS,1973-05-05,Aleksandr Zyatin,,Male,PV,NR
5.06,BAH,Nassau,BAH,2023-04-09,Brenden Vanderpool,2005,Male,PV,NR
4.35,BAN,Dhaka,BAN,2006-04-29,Humayun Kabir,1979,Male,PV,NR
4.61,BAR,Azusa CA,USA,2023-04-28,Aaron Worrell,1995,Male,PV,NR
4.10,BDI,Bujumbura,BDI,1979-09-09,Pierre Ntibarashira,,Male,PV,NR
4.10,BDI,Bujumbura,BDI,1981-01-01,Venant Rwamaheke,,Male,PV,NR
5.85,BEL,Merzig,GER,2022-06-11,Ben Broeders,1995,Male,PV,NR
3.50,BEN,Dakar,SEN,1957-06-30,John Godonou-Dossou,,Male,PV,NR
3.86,BER,Tuscaloosa AL,USA,1987-05-15,Brooke Onley,,Male,PV,NR
4.92,BIH,Sarajevo,BIH,2023-09-16,Arian Milicija,2005,Male,PV,NR
3.20,BIZ,San Salvador,ESA,1994-01-21,Joel Wade,1971,Male,PV,NR
6.00,BLR,Auckland,NZL,1998-02-20,Dmitri Markov,1975,Male,PV,NR
3.90,BOL,Cochabamba,BOL,1986-08-24,Daniel Araujo,,Male,PV,NR
3.93,BOT,Salôn-de-Provence,FRA,2014-02-07,Calvin Dikomane,1993,Male,PV,NR
6.03,BRA,Río de Janeiro,BRA,2016-08-15,Thiago Braz,1993,Male,PV,NR
4.45,BRN,Manama,BRN,1995-04-16,Ibrahim Jassim Hussein,,Male,PV,NR
4.70,BRU,Singapore,SGP,1995-09-03,Demingo Kapal,,Male,PV,NR
5.82,BUL,Sofia,BUL,2007-06-02,Spas Buhalov,1980,Male,PV,NR
3.85,BUR,Ouagadougou,BUR,1993-02-05,Alassane Neya,,Male,PV,NR
3.80,CAF,Noisy-le-Grand,FRA,1989-04-30,Mickaël Conjungo,1968,Male,PV,NR
3.90,CAM,Phnom Penh,CAM,1968-07-18,Peou Chin,,Male,PV,NR
5.93,CAN,London,GBR,2015-07-25,Shawn Barber,1994,Male,PV,NR
4.25,CGO,Tunis,TUN,1969-06-14,Jean-Prosper Tsondzabéka,1946,Male,PV,NR
3.80,CHA,Brazzaville,CGO,1963-01-01,Hubert Djimtoloum,,Male,PV,NR
5.50,CHI,Tallahassee FL,USA,1992-05-28,Thomas Riether,1964,Male,PV,NR
5.50,CHI,Tallahassee FL,USA,1992-05-28,Tom Riether,1964,Male,PV,NR
5.82,CHN,London,GBR,2017-08-08,Xue Changrui,1991,Male,PV,NR
5.35,CIV,Austin TX,USA,2017-05-26,Rashid Coulibaly,1998,Male,PV,NR
4.60,CMR,Tourcoing,FRA,2015-10-04,David Williams Nzodom Djozing,1999,Male,PV,NR
4.35,COD,Réduit,MRI,2015-01-03,Florent Lomba,1994,Male,PV,NR
3.10,COK,Nouméa,FRA,1987-12-17,Akanoa William,,Male,PV,NR
5.50,COL,Cali,COL,2023-10-21,Walter Viáfara,1992,Male,PV,NR
2.50,COM,L'Etang Sale,FRA,2019-05-05,Attoumane Abdoul-Had,1989,Male,PV,NR
4.70,CPV,Guimarães,POR,2011-02-07,Jose Rosa,,Male,PV,NR
5.20,CRC,San Antonio TX,USA,1998-07-11,Roger Borbon,1973,Male,PV,NR
5.71,CRO,Zagreb,CRO,2018-07-29,Ivan Horvat,1993,Male,PV,NR
5.90,CUB,Daegu,KOR,2011-08-29,Lázaro Borges,1986,Male,PV,NR
5.83,CZE,Praha,CZE,2016-06-22,Jan Kudlička,1988,Male,PV,NR
5.75,DEN,Fort-de-France,FRA,2002-04-27,Piotr Buciarski,1975,Male,PV,NR
2.90,DMA,Bridgetown,BAR,2003-07-19,Andy Baron,,Male,PV,NR
5.18,DOM,Seaside Heights NJ,USA,2016-07-31,Abbey Alcon,1994,Male,PV,NR
5.55,ECU,Goleniow,POL,2019-06-26,José Rodolfo Pacho,1996,Male,PV,NR
5.20,EGY,Marrakech,MAR,2023-06-21,Tamer Ashraf Mohamed,2005,Male,PV,NR
2.60,ERI,Landquart,SUI,2014-05-24,Efrem Samiel,,Male,PV,NR
2.60,ERI,Génève,SUI,2014-05-31,Awet Eyob,,Male,PV,NR
5.35,ESA,Austin TX,USA,2019-03-28,Natán Rivera,1998,Male,PV,NR
5.81,ESP,Barcelona,ESP,2000-09-02,Monxtu Miranda,1976,Male,PV,NR
5.86,EST,Chiari,ITA,1993-09-05,Valeri Bukrejev,1964,Male,PV,NR
4.50,ETH,Addis Ababa,ETH,2018-04-02,Mezegebu Birara,,Male,PV,NR
4.45,FIJ,Manchester,GBR,2002-07-28,Joe Rodan,1977,Male,PV,NR
5.82,FIN,Kuortane,FIN,1993-06-26,Jani Lehtonen,1968,Male,PV,NR
3.85,FSM,Suva,FIJ,2003-10-07,Keitani Graham,,Male,PV,NR
4.50,GAB,Valbonne,FRA,1981-08-08,Sylvain Lindzondzo,,Male,PV,NR
5.57,GAM,Aachen,GER,2022-09-10,Lamin Krubally,1995,Male,PV,NR
5.85,GBR,Manchester,GBR,2020-09-04,Harry Coppell,1996,Male,PV,NR
4.20,GBS,Lisboa,POR,2014-07-16,Emerson Evora,,Male,PV,NR
5.30,GEO,Kharkov,URS,1983-07-17,Sergey Amosov,1957,Male,PV,NR
2.20,GEQ,Sabadell,ESP,2007-09-30,Alfonso Ekwunezi Ikuga,,Male,PV,NR
6.01,GER,Aachen,GER,2012-09-05,Björn Otto,1977,Male,PV,NR
5.40,GHA,Pueblo CO,USA,2013-05-25,Jordan Yamoah,1993,Male,PV,NR
5.91,GRE,Saint-Denis,FRA,2015-07-04,Konstadínos Filippídis,1986,Male,PV,NR
4.92,GRN,Chula Vista CA,USA,2021-04-25,Lindon Victor,1993,Male,PV,NR
5.20,GUA,Queretaro,MEX,2022-04-10,Christiaan Higueros,1998,Male,PV,NR
5.00,GUI,Gulf Shores AL,USA,2017-05-27,Moussa Conde,1996,Male,PV,NR
2.45,GUM,Seattle WA,USA,2008-03-22,Jude Martinez,,Male,PV,NR
4.11,GUY,Ponce,PUR,1967-04-01,Reginald Dash,,Male,PV,NR
4.70,HAI,Macomb MI,USA,2014-04-12,Chandler Polyte,,Male,PV,NR
5.00,HKG,Hongkong,HKG,2022-10-08,Cheung Pui Yin,1993,Male,PV,NR
4.30,HON,Lewisburg PA,USA,2021-04-11,Miguel Negrete,2002,Male,PV,NR
