result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
14.90,AFG,Kaboul,AFG,2016-10-16,Noor Ullah Osmani,1986,Male,SP,NR
15.12,AHO,Willemstad,AHO,1962-12-15,Lambertus Rebel,,Male,SP,NR
8.99,AIA,The Valley,USA,2015-02-14,Tashim Fleming,,Male,SP,NR
18.90,ALB,Szombathely,HUN,2013-06-19,Adriatik Hoxha,1990,Male,SP,NR
19.07,ALG,Saint Maur,USA,1976-06-02,Jean-Marie Djébaili,1947,Male,SP,NR
13.62,AND,Barcelona,ESP,1998-02-17,Àngel Moreno,1975,Male,SP,NR
14.58,ANG,Luanda,ANG,1980-03-22,Hugo Pereira,,Male,SP,NR
15.87,ANT,Sennelager,USA,1969-06-06,Edward Byam,,Male,SP,NR
21.26,ARG,Doha,QAT,2013-05-10,Germán Lauro,1984,Male,SP,NR
18.88,ARM,Yerevan,URS,1960-11-28,Vardan Hovsepyan,1932,Male,SP,NR
13.60,ARU,Willemstad,AHO,2007-06-08,Shane Nedd,,Male,SP,NR
15.09,ASA,Apia,SAM,1983-09-15,Danny Pritchard,,Male,SP,NR
21.35,AUS,Zagreb,CRO,2017-08-28,Damien Birkinhead,1993,Male,SP,NR
20.79,AUT,Linz,AUT,1987-06-13,Klaus Bodenmüller,1962,Male,SP,NR
17.28,AZE,Baku,URS,1961-11-12,Zaur Sadikhov,1936,Male,SP,NR
18.37,BAH,Gulf Shores AL,USA,2018-05-26,Malik Stuart,,Male,SP,NR
15.47,BAN,Dar-es-Salaam,TAN,2016-06-12,Mohamed Ibrahim,,Male,SP,NR
19.05,BAR,Tampa FL,USA,2021-05-15,Triston Gibbons,1999,Male,SP,NR
13.24,BDI,Ngozi,BDI,2014-07-09,Nelly Claude Nsengiyumva,,Male,SP,NR
19.34,BEL,Bruxelles,BEL,1976-05-30,Georges Schroeder,1950,Male,SP,NR
15.90,BEN,Porto Novo,BEN,2009-05-22,Romainio Houndeladji,1990,Male,SP,NR
14.18,BER,Hamilton,CAN,1962-06-22,Charles Trott,,Male,SP,NR
13.11,BHU,Thimphu,BHU,2019-07-20,Phub Gyeltshen,,Male,SP,NR
21.48,BIH,Växjö/A,SWE,2019-08-13,Mesud Pezer,1994,Male,SP,NR
14.49,BIZ,Compton CA,USA,2012-04-27,Khambrell Gomez,,Male,SP,NR
22.09,BLR,Stayki,URS,1984-08-23,Sergey Kasnauskas,1961,Male,SP,NR
19.11,BOL,Santa Cruz BOL,BOL,2016-06-11,Aldo González,1984,Male,SP,NR
13.75,BOT,Gaborone,BOT,2015-05-31,Omphile Phokoje,,Male,SP,NR
22.61,BRA,Stanford CA,USA,2019-06-30,Darlan Romani,1991,Male,SP,NR
21.15,BRN,Radès,TUN,2021-06-16,Abdelrahman Mahmoud,2001,Male,SP,NR
15.43,BRU,Bandar Seri Begawan,BRU,1999-08-09,Lim Chee Wee,1972,Male,SP,NR
21.09,BUL,Ústí Nad Labem,CZE,2013-07-20,Georgi Ivanov,1985,Male,SP,NR
16.99,BUR,Bondoufle,FRA,2023-07-23,Thimotee Lingani,1993,Male,SP,NR
14.44,CAF,Clermont-Ferrand,FRA,1994-05-12,Mickaël Conjungo,1968,Male,SP,NR
14.07,CAM,Hanoi,VIE,2022-05-15,Sim Samedy,1997,Male,SP,NR
22.21,CAN,Calgary,CAN,2011-06-25,Dylan Armstrong,1981,Male,SP,NR
