result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
2:34.60,ALG,Nice,FRA,1999-07-17,Nouriah Mérah-Benida,1970,Female,1000,NR
3:08.69,AND,Basauri,ESP,2014-06-08,Eva Iglesias,1980,Female,1000,NR
2:48.51,ANG,Metz,FRA,2008-07-04,Lilian Silva,1982,Female,1000,NR
2:43.61,ARG,Mar del Plata,ARG,2021-11-20,Mariana Borelli,1992,Female,1000,NR
2:45.2,ARM,Tuapse,URS,1979-09-20,Vera Poghosyan,1960,Female,1000,NR
2:34.63,AUS,Bern,SUI,2023-08-04,Abbey Caldwell,2001,Female,1000,NR
2:34.47,AUT,Bruxelles,BEL,1998-08-28,Stephanie Graf,1973,Female,1000,NR
2:47.65,BDI,Fouesnant,BDI,2002-07-05,Spéciose Gakobwa,1979,Female,1000,NR
2:35.98,BEL,Heusden,BEL,2021-07-03,Elise Vanderelst,1998,Female,1000,NR
2:36.30,BEN,Heusden,BEL,2021-07-03,Noélie Yarigo,1985,Female,1000,NR
2:34.13,BLR,Athína,GRE,1982-09-01,Tetyana Pozdnyakova,1956,Female,1000,NR
2:54.12,BOT,Gaborone,BOT,2010-05-23,Winnie George,,Female,1000,NR
2:33.0,BUL,Sofia,BUL,1978-08-13,Totka Petrova,1956,Female,1000,NR
2:57.1,BUR,Abidjan,CIV,1999-04-29,Sanata Domo,,Female,1000,NR
2:34.14,CAN,Bruxelles,BEL,2002-08-30,Diane Cummins,1974,Female,1000,NR
2:33.00,CHN,Beijing,CHN,1993-11-09,Qu Yunxia,,Female,1000,NR
2:48.64,CIV,Nice,FRA,1982-08-14,Celestine N'Drin,1963,Female,1000,NR
2:45.7,CMR,Abidjan,CIV,1999-04-29,Stéphanie Zanga,,Female,1000,NR
2:53.62,COD,Paris,FRA,2014-07-16,Francine Nzilampa,1982,Female,1000,NR
3:14.8,COK,Suva,FIJ,1979-01-09,Akakaromaki Matepi,,Female,1000,NR
4:04.57,CPV,Fribourg,SUI,2011-09-25,Kleidiana Pereira-Dos Santos,,Female,1000,NR
2:42.45,CRO,Bar,MNE,2011-09-24,Vanja Perišić,1985,Female,1000,NR
2:33.12,CUB,Jerez de la Frontera,ESP,1989-09-13,Ana Fidelia Quirot,1963,Female,1000,NR
2:55.97,CYP,Doha,QAT,2009-12-12,Stella Christoforou,1992,Female,1000,NR
2:35.06,CZE,Nice,FRA,1999-07-17,Ludmila Formanová,1974,Female,1000,NR
2:41.83,DEN,Edegem,BEL,2022-08-28,Stina Troest,1994,Female,1000,NR
3:19.46,DJI,Singapore,SGP,2010-08-19,Saredo Fouad Abdi,,Female,1000,NR
2:49.96,EGY,El Maadi,EGY,2021-05-05,Shahd Mohamed Abdou,2005,Female,1000,NR
2:48.95,ERI,Lerum,SWE,2009-08-09,Meraf Bahta,1989,Female,1000,NR
2:33.06,ESP,Huelva,ESP,2007-09-13,Mayte Martínez,1976,Female,1000,NR
2:41.31,EST,Sopot,POL,2017-08-16,Liina Tšernov,1987,Female,1000,NR
2:34.11,ETH,Pliezhausen,GER,2022-05-08,Habitam Alemu,1997,Female,1000,NR
3:05.48,FIJ,Brisbane,AUS,1999-10-17,Kavita Maharaj,,Female,1000,NR
2:39.14,FIN,Porvoo,FIN,2020-09-02,Sara Lappalainen,1991,Female,1000,NR
2:31.93,FRA,Bruxelles,BEL,1995-08-25,Patricia Djaté-Taillard,1971,Female,1000,NR
3:02.9,GAB,Valbonne,FRA,1981-08-11,Brigitte Ntsamè,,Female,1000,NR
2:30.82,GBR,Monaco,MON,2020-08-14,Laura Muir,1993,Female,1000,NR
3:19.50,GBS,Almería,ESP,2013-04-13,Edna Paulo Gomes,,Female,1000,NR
3:02.64,GEQ,Singapore,SGP,2010-08-19,Marina Ayeme,,Female,1000,NR
2:30.67,GER,Berlin,FRG,1990-08-17,Christine Wachtel,1965,Female,1000,NR
2:57.02,GHA,Dakar,SEN,2010-05-16,Rita Luonab,,Female,1000,NR
3:08.9,GUM,Port Moresby,PNG,1991-09-09,Jen Allred,1961,Female,1000,NR
2:36.6,HUN,Budapest,HUN,1984-07-11,Katalin Szalai,1961,Female,1000,NR
2:45.52,IND,Chennai,IND,2009-05-14,Orchatteri P. Jaisha,1983,Female,1000,NR
2:31.06,IRL,Monaco,MON,2020-08-14,Ciara Mageean,1992,Female,1000,NR
2:36.63,ISL,Hengelo,NED,2015-05-24,Aníta Hinriksdóttir,1996,Female,1000,NR
2:43.99,ISR,Tel Aviv,ISR,2022-02-15,Karawan Halabi,1995,Female,1000,NR
2:33.18,ITA,Formia,ITA,1982-08-28,Gabriella Dorio,1957,Female,1000,NR
2:37.37,JAM,Linz,AUT,2005-08-23,Kenia Sinclair,1980,Female,1000,NR
2:37.33,JPN,Fukagawa,JPN,2022-06-22,Nozomi Tanaka,1999,Female,1000,NR
2:29.15,KEN,Monaco,MON,2020-08-14,Faith Kipyegon,1994,Female,1000,NR
3:56.07,KIR,Bairiki,KIR,2006-06-08,Keerita Taebo,,Female,1000,NR
2:52.78,KOS,Mol,BEL,2023-07-21,Greza Bakraqi,1995,Female,1000,NR
2:39.3,LAT,Riga,URS,1984-08-12,Marita Arente,1957,Female,1000,NR
2:47.68,LBR,Linz,AUT,2007-09-11,Fatimoh Muhammed,1984,Female,1000,NR
2:46.06,LES,Pretoria,RSA,2018-03-08,Tsepang Sello,1997,Female,1000,NR
2:42.09,LIE,Zürich,SUI,1981-08-19,Helen Ritter,1957,Female,1000,NR
2:32.3,LTU,Podolsk,URS,1985-09-12,Laima Baikauskaitė,1956,Female,1000,NR
2:40.09,LUX,Pliezhausen,GER,2018-05-13,Charline Mathias,1992,Female,1000,NR
2:33.15,MAR,Nice,FRA,1999-07-17,Hasna Benhassi,1978,Female,1000,NR
3:01.73,MLI,Nemours,FRA,2014-06-08,Dienabou Diarra,1999,Female,1000,NR
2:57.47,MLT,Marsa,MLT,2021-01-16,Monalisa Camilleri,1991,Female,1000,NR
2:48.94,MNE,Bar,MNE,2011-09-11,Sladjana Perunović,1984,Female,1000,NR
2:29.34,MOZ,Bruxelles,BEL,1995-08-25,Maria Mutola,1972,Female,1000,NR
2:46.34,MRI,Génève,SUI,1988-06-08,Sheila Seebaluck,1964,Female,1000,NR
3:38.36,MTN,Singapore,SGP,2010-08-19,Aichetou Bilal Fall,,Female,1000,NR
2:34.19,NAM,Bruxelles,BEL,2002-08-30,Agnes Samaria,1972,Female,1000,NR
2:34.68,NED,Hengelo,NED,2015-05-24,Sifan Hassan,1993,Female,1000,NR
