result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
9:43.53,AUS,Carson CA,USA,2007-05-20,Georgie Clarke,1984,Female,2M,NR
9:49.93,BEL,Bruxelles,BEL,2007-09-14,Veerle Dejaeghere,1973,Female,2M,NR
9:13.85,BRN,Eugene OR,USA,2014-05-31,Mimi Belete,1988,Female,2M,NR
9:49.33,CHN,Carson CA,USA,2007-05-20,Jin Yuan,1988,Female,2M,NR
10:00.38,ERI,Greensboro NC,USA,2016-06-18,Weini Kelati,1996,Female,2M,NR
8:58.58,ETH,Bruxelles,BEL,2007-09-14,Meseret Defar,1983,Female,2M,NR
9:41.36,FIN,Tornio,FIN,1996-06-09,Annemari Kiekara,1977,Female,2M,NR
9:30.39,FRA,Birmingham,GBR,2014-08-24,Clémence Calvin,1990,Female,2M,NR
9:21.98,GBR,Eugene OR,USA,2021-08-20,Amy-Eloise Neale,1995,Female,2M,NR
9:16.73,GER,Eugene OR,USA,2022-05-27,Konstanze Klosterhalfen,1997,Female,2M,NR
9:19.56,IRL,Cork,IRL,1998-06-27,Sonia O'Sullivan,1969,Female,2M,NR
9:32.99,ITA,Milano,ITA,2022-04-23,Nadia Battocletti,2000,Female,2M,NR
9:35.04,JPN,Cork,IRL,1998-06-27,Yuko Kawakami,1975,Female,2M,NR
9:11.49,KEN,Birmingham,GBR,2014-08-24,Mercy Cherono,1991,Female,2M,NR
9:38.44,MAR,Padova,ITA,1987-09-13,Fatima Hajjami,1966,Female,2M,NR
9:23.52,NED,Birmingham,GBR,2014-08-24,Susan Krumins,1986,Female,2M,NR
9:28.80,POL,Birmingham,GBR,2014-08-24,Renata Pliś,1985,Female,2M,NR
9:22.89,POR,Bruxelles,BEL,2007-09-14,Jessica Augusto,1981,Female,2M,NR
9:48.10,RUS,Aachen,GER,1996-08-25,Yekaterina Podkopayeva,1952,Female,2M,NR
11:21.96,SWE,Gävle,SWE,2003-05-28,Julie Leonard,1959,Female,2M,NR
9:20.25,USA,Eugene OR,USA,2014-05-31,Shannon Rowbury,1984,Female,2M,NR
