result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
20:24,BLR,Hildesheim,GER,2006-08-27,Elena Ginko,1976,Female,5W,NR
32:41,CAF,Bangui,CAF,2009-12-20,Christelle Seregaza,,Female,5W,NR
20:41,CHN,Eisenhüttenstadt,GER,1999-05-08,Liu Hongyu,1975,Female,5W,NR
25:21,CRO,Bydgoszcz,POL,2017-07-16,Ivana Renić,1996,Female,5W,NR
21:04,ESP,Barcelona,ESP,2005-03-06,María Vasco,1975,Female,5W,NR
22:25,EST,Druskininkai,LTU,2019-09-14,Jekaterina Mirotvortseva,2002,Female,5W,NR
22:20,ETH,Roma,ITA,2016-05-07,Aynalem Eshetu,1992,Female,5W,NR
20:53,GER,Hildesheim,GER,2006-08-27,Sabine Krantz,1981,Female,5W,NR
21:12,HUN,Nitra,SVK,2014-09-25,Viktória Madarász,1985,Female,5W,NR
20:11,IRL,Kraków,POL,2003-06-14,Gillian O'Sullivan,1976,Female,5W,NR
22:23,KEN,London,GBR,2017-08-13,Grace Njue Wanjiru,,Female,5W,NR
20:53,LTU,Hildesheim,GER,1989-10-06,Sada Bukšnienė,1967,Female,5W,NR
31:27,NAM,Windhoek,NAM,2006-02-19,Angelique Rall,,Female,5W,NR
19:46,NOR,Hildesheim,GER,2006-08-27,Kjersti Tysse Plätzer,1972,Female,5W,NR
23:04,TPE,Tokyo,JPN,2020-01-01,Chiang Chia-Jou,2002,Female,5W,NR
21:54,TUR,Konya,TUR,2019-04-27,Meryem Bekmez,2000,Female,5W,NR
