result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
3.76,AFG,Kirkkonummi,FIN,2017-07-18,Yalda Amini,1999,Female,LJ,NR
6.13,AHO,Santo Domingo,DOM,2010-07-04,Maruska Eduarda,1991,Female,LJ,NR
6.71,AIA,Berlin,GER,2009-08-23,Shara Proctor,1988,Female,LJ,NR
6.53,ALB,Tirane,ALB,1989-05-20,Vera Bitanji,1969,Female,LJ,NR
6.70,ALG,Rieti,ITA,1999-09-05,Baya Rahouli,1979,Female,LJ,NR
5.75,AND,Andorra,AND,2005-06-02,Montserrat Pujol,1979,Female,LJ,NR
5.84,ANG,Lisboa,POR,2007-07-29,Ungudi Quiawacana,1990,Female,LJ,NR
6.22,ANT,Basseterre,SKN,2014-07-06,Amy Harris,1987,Female,LJ,NR
6.61,ARG,Buenos Aires,ARG,1993-05-23,Andrea Ávila,1970,Female,LJ,NR
6.46,ARM,Kyiv,URS,1976-06-22,Nadezhda Karyakina,,Female,LJ,NR
5.86,ARU,Johnson City TN,USA,2007-05-12,Silvienne Krosendijk,1986,Female,LJ,NR
4.50,ASA,Nikao,COK,2007-10-16,Lela Waetin,,Female,LJ,NR
7.13,AUS,Chula Vista CA,USA,2022-07-09,Brooke Buschkuehl,1993,Female,LJ,NR
7.09,AUT,Sevilla,ESP,1994-06-05,Ljudmila Ninova,1960,Female,LJ,NR
6.41,AZE,Baku,URS,1985-09-22,Galina Tumasova,,Female,LJ,NR
6.83,BAH,Nassau,BAH,2015-06-26,Bianca Stuart,1988,Female,LJ,NR
6.07,BAN,Islamabad,PAK,2004-04-02,Fouzia Huda Jui,1985,Female,LJ,NR
6.80,BAR,Chula Vista CA,USA,2021-05-29,Akela Inatta-Jones,1995,Female,LJ,NR
5.10,BDI,Bujumbura,BDI,1981-01-01,Devote Barajengoye,,Female,LJ,NR
6.86,BEL,Birmingham,GBR,2019-08-18,Nafissatou Thiam,1994,Female,LJ,NR
6.12,BEN,Porto Novo,BEN,2010-07-18,Anne Abossede Okafor,1991,Female,LJ,NR
6.50,BER,Austin TX,USA,2012-03-31,Arantxa King,1989,Female,LJ,NR
5.47,BHU,Phuntsholing,BHU,2003-01-22,Tashi Dema,,Female,LJ,NR
6.07,BIH,Sokolac,BIH,2015-08-08,Tanja Marković Drakulić,1991,Female,LJ,NR
5.97,BIZ,Ciudad de Panamá,PAN,2010-04-16,Tricia Flores,1979,Female,LJ,NR
7.39,BLR,Bryansk,URS,1987-07-18,Yelena Belevskaya,1963,Female,LJ,NR
6.09,BOL,Tarija,BOL,2017-06-04,Valeria Quispe,1997,Female,LJ,NR
6.36,BOT,Harare,ZIM,1998-07-18,Tsoseletso Nkala,1971,Female,LJ,NR
7.26,BRA,Bogotá,COL,1999-06-26,Maurren Higa Maggi,1976,Female,LJ,NR
6.09,BRN,Oran,ALG,2023-07-04,Fatima Moubarak,1999,Female,LJ,NR
5.14,BRU,Kuching,MAS,1962-07-14,Rose Chong,,Female,LJ,NR
7.00,BUL,Sofia,BUL,1986-08-03,Silviya Moneva,1965,Female,LJ,NR
6.94,BUR,Kinshasa,COD,2023-08-02,Marthe Yasmine Koala,1994,Female,LJ,NR
5.65,CAF,Bangui,CAF,1983-05-22,Nicole Tombezogo,1962,Female,LJ,NR
5.85,CAM,Phnom Penh,CAM,1968-07-19,Kim Mom,,Female,LJ,NR
6.99,CAN,Eugene OR,USA,2015-05-29,Christabel Nettey,1991,Female,LJ,NR
5.91,CAY,San José3,CRC,2023-07-22,Ashantae Graham,2003,Female,LJ,NR
6.31,CGO,Albi,FRA,2018-07-07,Marie Mbuya Mala,1994,Female,LJ,NR
5.20,CHA,N'Djamena,CHA,1977-05-02,Mariam Mahamat,,Female,LJ,NR
6.60,CHI,Santiago de Chile,CHI,2012-06-03,Macarena Reyes,1984,Female,LJ,NR
7.01,CHN,Jinan,CHN,1993-06-04,Yao Weili,1965,Female,LJ,NR
6.38,CIV,Des Moines IA,USA,2003-04-26,Patricia Soman-Shunk,1981,Female,LJ,NR
6.65,CMR,Bafoussam,CMR,2018-03-03,Joëlle Sandrine Mbumi,,Female,LJ,NR
5.88,COD,Vénissieux,FRA,1996-07-13,Carine Kanda,1980,Female,LJ,NR
5.37,COK,Dunedin,NZL,1988-06-23,Erin Tierney,1970,Female,LJ,NR
6.93,COL,Ostrava,CZE,2018-09-09,Caterine Ibargüen,1984,Female,LJ,NR
5.60,COM,Nice,FRA,2005-06-26,Fatouma Kari,1983,Female,LJ,NR
5.53,CPV,Praia,CPV,2022-10-09,Michaela Rodrigues,2003,Female,LJ,NR
5.95,CRC,Tegucigalpa,HON,2013-09-26,Ana Maria Porras,1991,Female,LJ,NR
6.68,CRO,Beograd,YUG,1990-06-24,Silvija Mrakovcic,1968,Female,LJ,NR
6.68,CRO,Beograd,YUG,1990-06-24,Silvia Babic,1968,Female,LJ,NR
6.99,CUB,Jena,GER,2000-06-03,Lissette Cuza,1975,Female,LJ,NR
6.80,CYP,Limassol,CYP,1985-03-24,Maroula Teloni,1953,Female,LJ,NR
6.89,CZE,Praha,TCH,1982-09-18,Jarmila Strejcková,1953,Female,LJ,NR
