code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AL;1;50H;M;6.99;;Velesajam Hall;CRO;Indoor;2024-02-03;;Lukas;Cik;CRO;2002;Male
AL;1;40H;W;57.02;;Cougar Athletic Stadium;USA;Outdoor;2024-04-13;;Jessica;Tappin;GBR;1990;Female
AL;1;3KH;M;8:30.47;;Cougar Athletic Stadium;USA;Outdoor;2024-04-11;;Clement;Duigou;FRA;1996;Male
AL;1;60H;W;7.73;;Glasgow Arena;GBR;Indoor;2024-03-03;;Cyréna;Samba-Mayela;FRA;2000;Female
AL;1;100;W;11.04;1.1;Stade Edmard Lama;FRA;Outdoor;2024-04-13;;Gémima;Joseph;FRA;2001;Female
AL;1;DIS;W;66.6;;Estádio Dr. Magalhães Pessoa;POR;Outdoor;2024-03-10;;Irina;Rodrigues;POR;1991;Female
AL;1;2KH;W;6:31.99;;Municipal Stadium;GRE;Outdoor;2024-03-30;;Isavella;Kotsacheili;GRE;1997;Female
AL;1;2KH;W;6:31.99;;Municipal Stadium;GRE;Outdoor;2024-03-30;;Isavella;Kotsacheili;GRE;1997;Female
AL;1;400;W;49.17;;Glasgow Arena;GBR;Indoor;2024-03-02;;Femke;Bol;NED;2000;Female
AL;1;KUG;M;22.37;;Arena Stade Couvert;FRA;Indoor;2024-02-10;;Leonardo;Fabbri;ITA;1997;Male
AL;1;HOC;M;2.33;;Salyut Geraklion Arena;RUS;Indoor;2024-01-28;;Danil;Lysenko;RUS;1997;Male
AL;1;MEI;M;3:48.93;;Armory Track&Field Center;USA;Indoor;2024-02-11;;George;Mills;GBR;1999;Male
AL;1;10K;M;26:52.87;;JSerra Catholic HS;USA;Outdoor;2024-03-16;;Andreas;Almgren;SWE;1995;Male
AL;1;4×2;W;1:35.42;;Quarterback Immobilien Arena;GER;Indoor;2024-02-18;;;;GER;;Female
AL;1;3K0;M;7:30.14;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Josh;Kerr;GBR;1997;Male
AL;1;1K0;M;2:17.17;;Topsporthal Vlaanderen;BEL;Indoor;2024-02-03;;Pieter;Sisk;BEL;1999;Male
AL;1;300;W;35.52;;McArthur Stadium;RSA;Outdoor;2024-01-30;;Natalia;Kaczmarek;POL;1998;Female
AL;1;4×1;M;38.79;;McArthur Stadium;RSA;Outdoor;2024-03-14;;;;DEN;;Male
AL;1;11H;M;13.45;-2.1;WA Sports Centre;AUS;Outdoor;2024-02-25;;Sasha;Zhoya;FRA;2002;Male
AL;1;1K0;W;2:37.57;;Centro de Tecnificación de Atletismo;ESP;Indoor;2024-01-13;;Esther;Guerrero;ESP;1990;Female
AL;1;DRE;W;14.75;;Glasgow Arena;GBR;Indoor;2024-03-03;;Ana;Peleteiro-Compaoré;ESP;1995;Female
AL;1;50M;W;6.39;;Salle du Centre Mondial du Cyclisme;SUI;Indoor;2024-01-20;;Chloé;Rabac;SUI;2005;Female
AL;1;1K5;M;3:33.86;;Armory Track&Field Center;USA;Indoor;2024-02-11;;George;Mills;GBR;1999;Male
AL;1;50H;W;7.04;;GSG9-Halle;AUT;Indoor;2024-01-16;;Karin;Strametz;AUT;1998;Female
