code,type,discipline,result,wind,venue,venueCountry,venueCity,environment,date,name,firstname,lastname,nation,yearOfBirth,sex
AL,2,3K0,7:30.88,,Armory Track&Field Center,USA,"New York, NY",Indoor,2024-02-11,,Grant,Fisher,USA,1997.0,Male
AL,,4×2,1:34.78,,Armory Track&Field Center,USA,"New York, NY",Indoor,2024-02-11,,,,INT,,Female
AL,2,400,44.49,,Randal Tyson Indoor Center,USA,"Fayetteville, AR",Indoor,2024-02-24,,Christopher,Morales-Williams,CAN,2004.0,Male
AL,2,4×1,38.93,,GC Foster College,JAM,Spanish Town,Outdoor,2024-01-20,,,,JAM,,Male
AL,,4×4,3:02.35,,The Track at New Balance,USA,"Boston, MA",Indoor,2024-03-09,,,,INT,,Male
AL,2,4×8,7:26.90,,Gately Indoor TF Center,USA,"Chicago, IL",Indoor,2024-02-24,,,,USA,,Male
AL,2,DRE,16.88,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-02,,Donald,Scott,USA,1992.0,Male
AL,2,5K0,12:51.84,,Boston Univ. Track & Tennis Center,USA,"Boston, MA",Indoor,2024-02-16,,Grant,Fisher,USA,1997.0,Male
AL,2,50M,6.33,,GSG9-Halle,AUT,Wien,Indoor,2024-01-16,,Christania,Williams,JAM,1994.0,Female
AL,2,3KH,11:24.11,,Jack Rose Track,USA,"Long Beach, CA",Outdoor,2024-03-02,,Allison,Montgomery,USA,,Female
AL,2,100,10.14,1.8,Tom Tellez Track,USA,"Houston, TX",Outdoor,2024-03-14,,Josephus,Lyles,USA,1998.0,Male
AL,2,MEI,4:16.41,,Armory Track&Field Center,USA,"New York, NY",Indoor,2024-02-11,,Elle,St. Pierre,USA,1995.0,Female
AL,2,3KH,9:20.13,,Pista UAGM,PUR,Gurabo,Outdoor,2024-02-24,,Paulo,Gomez,PUR,,Male
AL,2,3G,13:55.24,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-16,,Miranda,Melville,USA,1989.0,Female
AL,2,2KH,7:12.40,,National Stadium,JAM,Kingston,Outdoor,2024-02-03,,Sushana,Johnson,JAM,2007.0,Female
AL,2,HAM,59.35,,Tom Tellez Track,USA,"Houston, TX",Outdoor,2024-03-14,,Mikaila,Alexis Martin,USA,1997.0,Female
AL,2,5G,25:52.15,,Unidad Deportiva Agustín Flores,MEX,Puerto Vallarta,Outdoor,2024-02-04,,Naomi,Luis,MEX,,Female
AL,,4×8,8:44.66,,Gately Indoor TF Center,USA,"Chicago, IL",Indoor,2024-02-24,,,,INT,,Female
AL,2,300,32.36,,Clemson Indoor Track & Field Complex,USA,"Clemson, SC",Indoor,2024-01-13,,Brian,Faust,USA,1999.0,Male
AL,2,SPE,80.69,,Kirani James Athletic Stadium,GRN,St. George's,Outdoor,2024-03-03,,Anderson,Peters,GRN,1997.0,Male
AL,2,60M,6.98,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-02,,Julien,Alfred,LCA,2001.0,Female
AL,2,300,35.75,,The Track at New Balance,USA,"Boston, MA",Indoor,2024-02-04,,Gabrielle,Thomas,USA,1996.0,Female
AL,2,600,1:14.03,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-09,,Brandon,Miller,USA,2003.0,Male
AL,2,10H,12.95,1.9,National Stadium,JAM,Kingston,Outdoor,2024-03-03,,Habiba,Harris,JAM,2005.0,Female
AL,2,1K0,2:34.09,,Dempsey Indoor,USA,"Seattle, WA",Indoor,2024-01-26,,Nikki,Hiltz,USA,1994.0,Female
AL,2,60H,7.27,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-16,,Grant,Holloway,USA,1997.0,Male
AL,2,MEI,3:47.83,,Armory Track&Field Center,USA,"New York, NY",Indoor,2024-02-11,,Yared,Nuguse,USA,1999.0,Male
AL,2,40H,50.73,,National Stadium,JAM,Kingston,Outdoor,2024-02-17,,Antonio,Forbes,JAM,2004.0,Male
AL,2,40H,58.02,,National Stadium,JAM,Kingston,Outdoor,2024-03-02,,Kelly,Ann Carr,JAM,2006.0,Female
AL,2,2K0,6:30.37,,Track and Field Centre,CAN,Toronto,Indoor,2024-01-13,,Maria,Linton,CAN,,Female
AL,2,100,11.25,1.0,National Stadium,JAM,Kingston,Outdoor,2024-03-01,,Thieanna,Lee Terrelonge,JAM,2007.0,Female
AL,2,4×2,1:25.65,,Doug Shaw Memorial Stadium,USA,"Myrtle Beach, SC",Outdoor,2024-03-08,,,,USA,,Male
AL,2,800,1:58.27,,Dempsey Indoor,USA,"Seattle, WA",Indoor,2024-02-24,,Nia,Akins,USA,1998.0,Female
AL,2,DIS,63.76,,Pista Carlos Lopes,POR,Torres Vedras,Outdoor,2024-01-20,,Denia,Caballero,CUB,1990.0,Female
AL,2,STA,6.0,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-16,,Christopher,Nilsen,USA,1998.0,Male
AL,2,200,20.21,,Arena Stade Couvert,FRA,Liévin,Indoor,2024-02-10,,Erriyon,Knighton,USA,2004.0,Male
AL,2,200,20.21,,Sports Performance Center,USA,"Lubbock, TX",Indoor,2024-02-24,,Terrence,Jones,BAH,2002.0,Male
AL,2,DIS,67.83,,GC Foster College,JAM,Spanish Town,Outdoor,2024-03-09,,Traves,Smikle,JAM,1992.0,Male
AL,2,WEI,8.4,,The Track at New Balance,USA,"Boston, MA",Indoor,2024-03-08,,Wayne,Pinnock,JAM,2000.0,Male
AL,2,10G,47:21.87,,Unidad Deportiva Agustín Flores,MEX,Puerto Vallarta,Outdoor,2024-02-03,,Maria,Fernanda Santiago,MEX,2004.0,Female
AL,2,50M,5.76,,Field House,CAN,Saskatoon,Indoor,2024-01-26,,JaVaughn,Moore,USA,2000.0,Male
AL,2,KUG,20.22,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-01,,Sarah,Mitton,CAN,1996.0,Female
AL,2,3K0,8:20.87,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-02,,Elle,St. Pierre,USA,1995.0,Female
