code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
NL;GER;5G;M;21:36.52;;Helmut-Körnig-Halle;GER;Indoor;2024-02-24;;Nick;Joel Richardt;GER;2006;Male
NL;GER;DIS;W;67.31;;Helmut-Schön-Sportpark;GER;Outdoor;2024-05-11;;Marike;Steinacker;GER;1992;Female
NL;GER;4×4;X;3:13.85;;The Bahamas National Stadium;BAH;Outdoor;2024-05-05;;;;GER;;Mixed
NL;GER;4×1;MJU20;40.18;;Universitätsstadion Am Biopark;GER;Outdoor;2024-05-25;;;;GER;;Male
NL;GER;200;MJU20;21.06;1.4;Sportanlage an der Kanalstraße;GER;Outdoor;2024-05-19;;Max;Husemann;GER;2005;Male
NL;GER;SPE;M;90.2;;Werferzentrum Brandberge;GER;Outdoor;2024-02-25;;Max;Dehning;GER;2004;Male
NL;GER;WEI;WJU20;6.27;;Werner-von-Linde-Halle;GER;Indoor;2024-02-04;;Nelly;Sohn;GER;;Female
NL;GER;KUG;MJU20;18.55;;Quarterback Immobilien Arena;GER;Indoor;2024-02-16;;Georg;Harpf;GER;2005;Male
NL;GER;KUG;W;20.19;;Glasgow Arena;GBR;Indoor;2024-03-01;;Yemisi;Ogunleye;GER;1998;Female
NL;GER;10H;WJU20;13.64;0.0;Universitätsstadion Am Biopark;GER;Outdoor;2024-05-25;;Helene;Hoffmann;GER;2006;Female
NL;GER;2KH;WJU20;6:30.98;;Schönbuchstadion;GER;Outdoor;2024-05-05;;Jule;Jutta Lindner;GER;2006;Female
NL;GER;HAM;M;78.11;;Werferzentrum Brandberge;GER;Outdoor;2024-05-25;;Merlin;Hummel;GER;2002;Male
NL;GER;300;WJU20;39.71;;Schönbuchstadion;GER;Outdoor;2024-05-05;;Lilith;Belau;GER;2007;Female
NL;GER;STA;W;4.55;;Quarterback Immobilien Arena;GER;Indoor;2024-02-18;;Anjuli;Knäsche;GER;1993;Female
NL;GER;11H;M;13.36;0.9;Stadion Manfort;GER;Outdoor;2024-05-25;;Manuel;Mordi;GER;2003;Male
NL;GER;3K0;M;7:40.01;;Olympiastadion;SWE;Outdoor;2024-06-02;;Sam;Parsons;GER;1994;Male
NL;GER;3K0;WJU20;9:15.67;;Stadion Hacheney;GER;Outdoor;2024-04-27;;Vanessa;Mikitenko;GER;2005;Female
NL;GER;60M;M;6.54;;Atletická hala;CZE;Indoor;2024-01-30;;Joshua;Hartmann;GER;1999;Male
NL;GER;300;M;32.63;;McArthur Stadium;RSA;Outdoor;2024-01-30;;Jean;Paul Bredau;GER;1999;Male
NL;GER;HOC;M;2.3;;Športová hala Dukla;SVK;Indoor;2024-02-13;;Tobias;Potye;GER;1995;Male
NL;GER;1K0;WJU20;2:45.00;;Stadion Hacheney;GER;Outdoor;2024-04-27;;Jana;Marie Becker;GER;2006;Female
NL;GER;DRE;W;14.15;;Leichtathletikhallen Manfort;GER;Indoor;2024-01-20;;Jessie;Maduka;GER;1996;Female
NL;GER;MEI;W;4:35.93;;Track & Field complex QAZAQSTAN;KAZ;Indoor;2024-01-27;;Vera;Coutellier;GER;1995;Female
NL;GER;WEI;M;8.18;;Halle Stéphane Diagana;FRA;Indoor;2024-02-09;;Simon;Batz;GER;2002;Male
NL;GER;2K0;WJU20;6:33.98;;Sportzentrum Kalbach;GER;Indoor;2024-02-11;;Luise;Brzoska;GER;;Female
NL;GER;1K0;MJU20;2:27.55;;Stadion Hacheney;GER;Outdoor;2024-04-27;;Louis;Buschbeck;GER;2005;Male
NL;GER;STA;WJU20;4.2;;Helmut-Körnig-Halle;GER;Indoor;2024-02-24;;Anna;Hiesinger;GER;;Female
NL;GER;3KH;W;9:16.24;;Suzhou Olympic Sports Centre;CHN;Outdoor;2024-04-27;;Gesa;Felicitas Krause;GER;1992;Female
NL;GER;HAM;W;69.87;;Sportplatz Langenbrand;GER;Outdoor;2024-05-12;;Samantha;Borutta;GER;2000;Female
NL;GER;4×1;WJU20;44.2;;Universitätsstadion Am Biopark;GER;Outdoor;2024-05-25;;;;GER;;Female
NL;GER;SPE;W;59.63;;ETSV Stadion;GER;Outdoor;2024-05-12;;Christin;Hussong;GER;1994;Female
NL;GER;100;W;11.06;1.6;National Training Center;USA;Outdoor;2024-05-11;;Gina;Lückenkemper;GER;1996;Female
NL;GER;600;W;1:26.64;;Schönbuchstadion;GER;Outdoor;2024-05-05;;Lisa;Sophie Hartmann;GER;1999;Female
NL;GER;2KH;M;5:26.22;;Schönbuchstadion;GER;Outdoor;2024-05-05;;Niklas;Buchholz;GER;1998;Male
NL;GER;DRE;M;17.03;;Quarterback Immobilien Arena;GER;Indoor;2024-02-17;;Max;Heß;GER;1996;Male
NL;GER;3KH;MJU20;8:58.86;;Carl-Kaufmann-Stadion;GER;Outdoor;2024-05-11;;Paul;Walochny;GER;2005;Male
NL;GER;10K;W;31:56.58;;Sportpark Orsbeck;GER;Outdoor;2024-05-04;;Eva;Dieterich;GER;1999;Female
NL;GER;1K5;M;3:32.20;;Bislett Stadion;NOR;Outdoor;2024-05-30;;Robert;Farken;GER;1997;Male
NL;GER;3G;WJU20;13:06.45;;Helmut-Körnig-Halle;GER;Indoor;2024-02-24;;Kylie;Garreis;GER;2005;Female
NL;GER;800;MJU20;1:49.69;;TSV Stadion;GER;Outdoor;2024-05-25;;Louis;Buschbeck;GER;2005;Male
NL;GER;60H;W;8.08;;Quarterback Immobilien Arena;GER;Indoor;2024-02-17;;Rosina;Schneider;GER;2004;Female
NL;GER;400;MJU20;47.22;;Universitätsstadion Am Biopark;GER;Outdoor;2024-05-25;;Max;Husemann;GER;2005;Male
NL;GER;100;M;10.08;1.9;Stadion Manfort;GER;Outdoor;2024-05-25;;Yannick;Wolf;GER;2000;Male
NL;GER;HAM;MJU20;55.83;;Stade Henri Lux;FRA;Outdoor;2024-05-12;;Max;Baier;GER;;Male
NL;GER;DIS;M;69.09;;Jahnstadion;GER;Outdoor;2024-05-22;;Clemens;Prüfer;GER;1997;Male
NL;GER;400;WJU20;52.55;;Quarterback Immobilien Arena;GER;Indoor;2024-02-17;;Johanna;Martin;GER;2006;Female
NL;GER;5K0;WJU20;16:14.32;;Sportpark Orsbeck;GER;Outdoor;2024-05-04;;Adia;Budde;GER;2005;Female
NL;GER;HOC;W;1.95;;Sporthalle Küllenhahn;GER;Indoor;2024-01-26;;Christina;Honsel;GER;1997;Female
NL;GER;200;W;23.05;0.8;Enwag-Stadion;GER;Outdoor;2024-05-18;;Talea;Prepens;GER;2001;Female
NL;GER;60H;M;7.65;;Mercedes-Benz Arena;GER;Indoor;2024-02-23;;Manuel;Mordi;GER;2003;Male
NL;GER;1K5;W;4:06.71;;Bungertstadion;GER;Outdoor;2024-05-19;;Gesa;Felicitas Krause;GER;1992;Female
NL;GER;DRE;WJU20;13.14;0.2;Helmut-Schön-Sportpark;GER;Outdoor;2024-05-04;;Josie;Krone;GER;2005;Female
NL;GER;DRE;MJU20;15.8;1.5;Stadion Bodenbacher Straße;GER;Outdoor;2024-05-11;;Steven;Freund;GER;2005;Male
