Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;4;11H;M;13.28;0.1;Hayward Field;USA;Outdoor;2025-06-13;John;Adesola;RSA;2002;Male;14830130
AL;4;10G;W;45:39.55;;Miloud HEDEFI Athletics Stadium;ALG;Outdoor;2025-04-30;Imen;Saii;TUN;2007;Female;15090832
AL;4;WEI;M;8.17;0.4;Germiston Stadium;RSA;Outdoor;2025-01-25;Cheswill;Johnson;RSA;1997;Male;14741320
AL;4;4×4;M;2:57.50;;Tianhe Sports Center;CHN;Outdoor;2025-05-11;South;Africa;RSA;;Male;
AL;4;1K5;M;3:29.75;;Stadio Olimpico;ITA;Outdoor;2025-06-06;Timothy;Cheruiyot;KEN;1995;Male;14643526
AL;4;50M;M;5.74;;Field House;CAN;Indoor;2025-01-24;Usheoritse;Itsekiri;NGR;1998;Male;14705042
AL;4;40H;M;47.49;;Hayward Field;USA;Outdoor;2025-06-13;Ezekiel;Nathaniel;NGR;2003;Male;14960533.0
AL;4;WEI;W;6.7;0.0;Piedmont Park;USA;Outdoor;2025-05-17;Ese;Brume;NGR;1996;Female;14591118
AL;4;WEI;W;6.7;1.3;Ulinzi Sports Complex;KEN;Outdoor;2025-05-31;Esraa;Owis;EGY;1997;Female;14661496
AL;4;HAM;M;72.54;;The Olympic Center For Training National Teams;EGY;Outdoor;2025-04-10;Mostafa;Elgamel;EGY;1988;Male;14167545
AL;4;KUG;W;18.14;;McArthur Stadium;RSA;Outdoor;2025-04-26;Colette;Uys;RSA;2000;Female;14788077
AL;4;4×2;M;1:27.18;;Francistown Stadion;BOT;Outdoor;2025-03-29;JAC;;BOT;;Male;
AL;4;DIS;W;64.12;;Millican Field at Throw Town;USA;Outdoor;2025-04-10;Chioma;Onyekwere-Lyons;NGR;1994;Female;14536919
AL;4;60M;M;6.48;;Virginia Beach Sports Center;USA;Indoor;2025-03-14;Kayinsola;Ajayi;NGR;2004;Male;14976296
AL;4;5K0;W;14:03.69;;Stadio Olimpico;ITA;Outdoor;2025-06-06;Beatrice;Chebet;KEN;2000;Female;14749924
AL;4;600;M;1:14.61;;Complexe Olympique Mohamed Boudiaf;ALG;Outdoor;2025-02-21;Slimane;Moula;ALG;1999;Male;14747495
AL;4;STA;W;4.35;;Pilditch Stadium;RSA;Outdoor;2025-05-02;Miré;Reinstorf;RSA;2002;Female;14838299
AL;4;2K0;M;5:03.71;;Salle Maryvonne Dupureur;FRA;Indoor;2025-01-11;Amine;Brahimi;ALG;1995;Male;14801499
AL;4;5G;W;21:46.00;;Stade Souk Ethnine;ALG;Outdoor;2025-05-31;Souad;Azzi;ALG;1999;Female;14786345
AL;4;1K0;M;2:18.48;;McArthur Stadium;RSA;Outdoor;2025-02-25;Yassine;Hethat;ALG;1991;Male;14483503
AL;4;300;W;36.24;;Ansin Sports Complex;USA;Outdoor;2025-04-05;Jessika;Gbai;CIV;1998;Female;14823620
AL;4;3KH;W;8:58.15;;Hayward Field;USA;Outdoor;2025-06-14;Doris;Lemngole;KEN;2002;Female;15128594
AL;4;STA;M;5.73;;CrossPlex Athletic Facility;USA;Indoor;2025-02-24;Kyle;Rademeyer;RSA;2002;Male;14790285
AL;4;3G;M;13:04.69;;Pilditch Stadium;RSA;Outdoor;2025-02-15;Williams;Rivers;RSA;2004;Male;14975839
AL;4;60H;M;7.65;;Halle Stéphane Diagana;FRA;Indoor;2025-02-15;Jeremie;Lararaudeuse;MRI;2001;Male;14852149
AL;4;800;M;1:41.95;;Olympiastadion;SWE;Outdoor;2025-06-15;Emmanuel;Wanyonyi;KEN;2004;Male;14974928
AL;4;SPE;W;62.77;;Bislett Stadion;NOR;Outdoor;2025-06-12;Jo-Ane;Du Plessis;RSA;1997;Female;14558613
AL;4;2KH;M;5:36.7;;Stade D'athlétisme;TUN;Outdoor;2025-02-16;Saif;Zuidi;TUN;2005;Male;15105696
AL;4;HOC;W;1.97;;Rock Chalk Park;USA;Outdoor;2025-05-17;Temitope;Simbiat Adeshina;NGR;1998;Female;14828037
AL;4;DIS;M;65.51;;Werferzentrum Brandberge;GER;Outdoor;2025-05-24;Victor;Hogan;RSA;1989;Male;14220168
