Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nat;YOB;Sex;WorldathleticsId
NL;GER;HOC;W;2.0;;Marktplatz;GER;Outdoor;2025-08-09;Christina;Honsel;GER;1997;Female;14497298
NL;GER;200;W;22.53;0.8;Estadio Vallehermoso;ESP;Outdoor;2025-06-29;Sophia;Junk;GER;1999;Female;14593203
NL;GER;4×1;M;38.12;;National Stadium;JPN;Outdoor;2025-09-20;Germany;;GER;;Male;
NL;GER;DIS;W;68.1;;Helmut-Schön-Sportpark;GER;Outdoor;2025-05-30;Shanice;Craft;GER;1993;Female;14361931
NL;GER;KUG;W;20.27;;Helmut-Körnig-Halle;GER;Indoor;2025-02-21;Yemisi;Ogunleye;GER;1998;Female;14565871
NL;GER;WEI;W;7.07;;Europahalle;GER;Indoor;2025-02-07;Malaika;Mihambo;GER;1994;Female;14377384
NL;GER;3K0;W;8:40.96;;The Track at New Balance;USA;Indoor;2025-02-02;Lea;Meyer;GER;1997;Female;14509240
NL;GER;10K;W;31:40.79;;Jahnkampfbahn;GER;Outdoor;2025-05-03;Elena;Burkard;GER;1992;Female;14420240
NL;GER;300;M;33.51;;Stadion Luftschiffhafen;GER;Outdoor;2025-05-11;Tyrel;Prenz;GER;2003;Male;14867798
NL;GER;1K0;W;2:38.77;;Stadion BOSiR;POL;Outdoor;2025-08-09;Tanja;Spill;GER;1995;Female;14429758
NL;GER;600;W;1:29.92;;Schönbuchstadion;GER;Outdoor;2025-05-18;Lucia;Sturm;GER;2002;Female;14807941
NL;GER;SPE;M;91.51;;Letzigrund;SUI;Outdoor;2025-08-28;Julian;Weber;GER;1994;Male;14420076
NL;GER;4×4;W;3:25.33;;National Stadium;JPN;Outdoor;2025-09-20;Germany;;GER;;Female;
NL;GER;4×4;M;3:02.83;;Fana Stadion;NOR;Outdoor;2025-07-20;Germany;U23;GER;;Male;
NL;GER;1K0;M;2:22.08;;Schönbuchstadion;GER;Outdoor;2025-05-18;Jens;Mergenthaler;GER;1997;Male;14700510
NL;GER;10H;W;12.82;1.3;Leichtathletikarena;AUT;Outdoor;2025-07-23;Ricarda;Lobe;GER;1994;Female;14360690
NL;GER;WEI;M;8.07;-0.3;Nemzeti Atlétikai Központ;HUN;Outdoor;2025-08-12;Simon;Batz;GER;2002;Male;14845074
NL;GER;3G;M;11:57.40;;Leichtathletikhalle im Sportforum;GER;Indoor;2025-02-01;Nick;Joel Richardt;GER;2006;Male;14981348
NL;GER;4×2;M;1:25.63;;Werner-von-Linde-Halle;GER;Indoor;2025-01-25;LG;Stadtwerke München;GER;;Male;
