Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;2;WEI;WJU20;6.48;;Ocean Breeze Athl. Complex;USA;Indoor;2026-02-28;Parker;Coes;USA;2009;Female;15077188
AL;2;3K0;MJU20;8:03.02;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-01-31;Sawyer;Leblanc;CAN;;Male;15044148
AL;2;100;MJU20;10.16;1.3;National Stadium;JAM;Outdoor;2026-03-06;Riquelme;Reid;JAM;2007;Male;15081959
AL;2;50M;MJU20;5.89;;Field House;CAN;Indoor;2026-01-23;Olufemi;Akinloye;CAN;;Male;15041707
AL;2;KUG;WJU20;18.45;;Ott Center for Track & Field;USA;Indoor;2026-01-24;Jessica;Oji;USA;2007;Female;15165163
AL;2;4×4;MJU20;3:09.62;;The Track at New Balance;USA;Indoor;2026-03-15;Bullis;;USA;;Male;
AL;2;11H;MJU20;13.62;1.4;Park West Ath. Complex;USA;Outdoor;2026-03-21;Ja'Shaun;Lloyd;USA;2007;Male;15082445
AL;2;60M;MJU20;6.52;1.4;National Stadium;JAM;Outdoor;2026-02-28;Gary;Card;JAM;2007;Male;15010819
AL;2;3K0;WJU20;9:02.77;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-02-14;Abigail;Hennessy;USA;;Female;15076680
AL;2;40H;MJU20;50.53;;National Stadium;JAM;Outdoor;2026-03-08;Robert;Miller;JAM;2008;Male;15068759
AL;2;2KH;WJU20;7:05.51;;GC Foster College;JAM;Outdoor;2026-02-25;Sushana;Johnson;JAM;2007;Female;14979457
AL;2;400;MJU20;44.62;;Clemson Indoor Track & Field Complex;USA;Indoor;2026-01-10;Jonathan;Simms;USA;;Male;14993480
AL;2;3KH;WJU20;11:29.40;;PLNU Carroll B. Land Stadium;USA;Outdoor;2026-03-13;Shea;Elmore;USA;;Female;14913125
AL;2;100;WJU20;11.06;1.5;National Stadium;JAM;Outdoor;2026-03-06;Shanoya;Mikalia Douglas;JAM;2007;Female;15063835
AL;2;2K0;WJU20;6:15.32;;Track and Field Centre Indoor Track;CAN;Indoor;2026-02-27;Sawyer;Nicholson;CAN;;Female;15105629
AL;2;60M;WJU20;7.13;;Ocean Breeze Athl. Complex;USA;Indoor;2026-03-01;Mia;Maxwell;USA;;Female;15082962
AL;2;2KH;MJU20;6:21.93;;National Stadium;JAM;Outdoor;2026-02-21;Christopher;Anderson;JAM;;Male;15131134
AL;2;300;WJU20;36.24;;Virginia Beach Sports Center;USA;Indoor;2026-01-17;Mariah;Maxwell;USA;;Female;15215189
AL;2;3KH;MJU20;9:08.27;;Pista del Centro Deportivo Borregos;MEX;Outdoor;2026-03-08;Mario;Francisco Vazquez;MEX;2007;Male;15153821
AL;2;60H;MJU20;7.56;;Randal Tyson Indoor Center;USA;Indoor;2026-03-13;Leezra;Brown;USA;2007;Male;14993481
AL;2;10H;WJU20;13.38;-0.7;National Stadium;JAM;Outdoor;2026-02-21;Tiana;Marshall;JAM;2007;Female;14972861
AL;2;5G;WJU20;23:44.60;;Estadio Olímpico de la Cd. Deportiva;MEX;Outdoor;2026-02-13;Natalia;Mendiola;MEX;2008;Female;15089983
AL;2;MEI;MJU20;3:56.81;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-02-13;Henry;Dixon;USA;2007;Male;15140038
AL;2;DIS;WJU20;58.45;;Estadio Panamericano;CUB;Outdoor;2026-02-12;Neilyn;De La C. Rodríguez;CUB;2007;Female;15099876
AL;2;600;MJU20;1:14.15;;Armory Track&Field Center;USA;Indoor;2026-02-01;Cooper;Lutkenhaus;USA;2008;Male;15152457
AL;2;60H;WJU20;7.99;;Convention Center;USA;Indoor;2026-01-24;Madeline;Cooper;USA;2007;Female;15039881
AL;2;MEI;WJU20;4:34.55;;Ott Center for Track & Field;USA;Indoor;2026-02-28;Blair;Bartlett;USA;2009;Female;15138651
AL;2;STA;MJU20;5.36;;Bob Devaney Sports Center;USA;Indoor;2026-02-06;Caelan;Harland;USA;2007;Male;15067923
AL;2;3G;MJU20;13:41.47;;Gordon Indoor Track;USA;Indoor;2026-02-22;Ian;Britt;USA;2008;Male;15213572
AL;2;200;MJU20;20.4;;Sports Performance Center;USA;Indoor;2026-02-28;Amir;Thompson;USA;2007;Male;15152450
AL;2;5K0;MJU20;13:54.70;;The Track at New Balance;USA;Indoor;2026-03-12;Jackson;Spencer;USA;2007;Male;15213574
AL;2;4×4;XJU20;3:41.78;;The Track at New Balance;USA;Indoor;2026-03-14;St.;John'S College High School;USA;;Mixed;
AL;2;HAM;MJU20;55.51;;CSU Titan Track Complex;USA;Outdoor;2026-03-12;Isaiah;Butler;USA;;Male;15142517
AL;2;HOC;WJU20;1.81;;Randal Tyson Indoor Center;USA;Indoor;2026-02-14;Brianna;Rivers;USA;2007;Female;14993816
AL;2;HOC;WJU20;1.81;;Cliff Rovelto Indoor Track;USA;Indoor;2026-01-30;Shanniqua;Williams;JAM;2007;Female;14925411
AL;2;10K;WJU20;38:08.14;;UCF Soccer and Track Complex;USA;Outdoor;2026-03-21;Jordan;Stygar;USA;2007;Female;15305347
AL;2;800;MJU20;1:44.03;;JDL Fast Track;USA;Indoor;2026-02-14;Cooper;Lutkenhaus;USA;2008;Male;15152457
AL;2;DIS;MJU20;57.79;;National Stadium;JAM;Outdoor;2026-02-07;Joseph;Richard Salmon;JAM;2007;Male;15068708
AL;2;4×1;WJU20;45.44;;National Stadium;JAM;Outdoor;2026-02-28;St.;Jago High School U20;JAM;;Female;
AL;2;400;WJU20;52.46;;"R.A. ""Murray"" Fasken Indoor Track Stadium";USA;Indoor;2026-02-26;Tyra;Cox;USA;;Female;14992323
AL;2;SPE;MJU20;69.36;;National Stadium;JAM;Outdoor;2026-03-08;Addison;Alickson James;DMA;2007;Male;15026330
AL;2;4×4;WJU20;3:40.55;;The Track at New Balance;USA;Indoor;2026-03-15;Bullis;;USA;;Female;
AL;2;200;WJU20;22.58;1.7;National Stadium;JAM;Outdoor;2026-03-08;Shanoya;Mikalia Douglas;JAM;2007;Female;15063835
AL;2;KUG;MJU20;17.22;;Park West Ath. Complex;USA;Outdoor;2026-03-20;Adam;Carter;USA;;Male;15082511
AL;2;DRE;WJU20;13.16;1.4;Pista del Centro Deportivo Borregos;MEX;Outdoor;2026-03-08;Paola;Del Real;MEX;2007;Female;15153808
AL;2;STA;WJU20;4.47;;Rector Fieldhouse;USA;Indoor;2026-02-07;Mya;Strahm;USA;2007;Female;15045932
AL;2;5K0;WJU20;16:04.82;;Pista del Centro Deportivo Borregos;MEX;Outdoor;2026-03-08;Kenya;Cuahutle;MEX;;Female;15037669
AL;2;DRE;MJU20;16.51;0.1;Estadio Panamericano;CUB;Outdoor;2026-02-20;Giann;C. Baxter;CUB;2007;Male;15111239
AL;2;10K;MJU20;31:45.36;;UCF Soccer and Track Complex;USA;Outdoor;2026-03-21;Jayden;Santos-Gonzales;USA;2007;Male;15305322
AL;2;WEI;MJU20;8.26;;Kujawsko-Pomorska Arena;POL;Indoor;2026-03-22;Jorge;A. Hodelín;CUB;2007;Male;15111238
AL;2;2K0;MJU20;5:21.03;;JDL Fast Track;USA;Indoor;2026-02-14;Owen;Munn;USA;2008;Male;15292979
AL;2;1K0;WJU20;2:43.63;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-01-30;McKenzie;Charlize-Trinity;USA;2007;Female;14948570
AL;2;50M;WJU20;7.12;;Field House;CAN;Indoor;2026-03-14;Michaela;Illah;CAN;;Female;15222841
AL;2;40H;WJU20;58.47;;TCU-Lowdon T&F Complex;USA;Outdoor;2026-03-21;Laila;Smith;USA;;Female;15070098
AL;2;HAM;WJU20;64.21;;Millican Field at Throw Town;USA;Outdoor;2026-03-21;Burklie;Burton;USA;;Female;15197112
AL;2;1K5;WJU20;4:20.53;;Armory Track&Field Center;USA;Indoor;2026-02-01;Jaelyn;Williams;USA;;Female;15161942
AL;2;1K5;MJU20;3:41.12;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-02-13;Henry;Dixon;USA;2007;Male;15140038
AL;2;HOC;MJU20;2.25;;Cliff Rovelto Indoor Track;USA;Indoor;2026-01-16;Alan;Hanna;BAH;2007;Male;15086679
AL;2;4×1;MJU20;39.69;;National Stadium;JAM;Outdoor;2026-02-28;Excelsior;High U20;JAM;;Male;
AL;2;5G;MJU20;20:41.48;;Estadio Olímpico de la Cd. Deportiva;MEX;Outdoor;2026-02-13;Osvaldo;Miramontes;MEX;2008;Male;15216820
AL;2;SPE;WJU20;46.95;;National Stadium;JAM;Outdoor;2026-03-08;Zoelle;Jamel;JAM;2009;Female;15078078
AL;2;800;WJU20;2:02.35;;Ocean Breeze Athl. Complex;USA;Indoor;2026-02-28;Paige;Sheppard;USA;;Female;15016989.0
AL;2;1K0;MJU20;2:21.37;;Rector Fieldhouse;USA;Indoor;2026-02-07;Cole;Boone;USA;;Male;15125271
AL;2;300;MJU20;32.1;;Clemson Indoor Track & Field Complex;USA;Indoor;2026-01-10;Sidi;Njie;USA;2007;Male;15027039
AL;2;600;WJU20;1:28.10;;Armory Track&Field Center;USA;Indoor;2026-02-01;Natalie;Dumas;USA;;Female;15137056.0
AL;6;10G;MJU20;38:54.11;;AIS Athletics Track;AUS;Outdoor;2026-01-26;Isaac;Beacroft;AUS;2007;Male;14963962
AL;6;WEI;WJU20;6.27;1.0;Lakeside Stadium;AUS;Outdoor;2026-03-21;Geena;Davy;AUS;2007;Female;14920496
AL;6;3K0;MJU20;7:43.16;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-02-22;Sam;Ruthe;NZL;2009;Male;15131581
AL;6;100;MJU20;10.0;0.9;QSAC State Athletics Facility;AUS;Outdoor;2026-02-21;Gout;Gout;AUS;2007;Male;15006779
AL;6;KUG;WJU20;14.84;;Lakeside Stadium;AUS;Outdoor;2026-02-07;Lauren;Kelly;AUS;2008;Female;14977609
AL;6;4×4;MJU20;3:19.07;;Douglas Track & Field;NZL;Outdoor;2026-03-08;Canterbury;;NZL;;Male;
AL;6;11H;MJU20;15.19;1.7;WA Athletics Stadium;AUS;Outdoor;2026-01-24;Rylan;Scott;AUS;2007;Male;15121961
AL;6;60M;MJU20;6.73;0.6;Lakeside Stadium;AUS;Outdoor;2026-02-07;Hugh;Kabengele;AUS;2007;Male;15052141
