Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
NL;GER;KUG;WJU20;15.66;;Helmut-Körnig-Halle;GER;Indoor;2025-02-14;Emily;Scherf;GER;2007;Female;14987509
NL;GER;100;MJU20;10.34;1.0;Universitätsstadion Am Biopark;GER;Outdoor;2025-06-14;Jakob;Kemminer;GER;2007;Male;14981842.0
NL;GER;HOC;MJU20;2.11;;Kennedyplatz;GER;Outdoor;2025-05-31;Keon;Schmidt-Gothan;GER;2007;Male;14981844
NL;GER;HOC;MJU20;2.11;;Kennedyplatz;GER;Outdoor;2025-05-31;Amdi;Gaye;GER;2006;Male;14996548
NL;GER;HOC;MJU20;2.11;;Kennedyplatz;GER;Outdoor;2025-05-31;Johannes;Böcher;GER;2007;Male;15038313
NL;GER;WEI;WJU20;6.21;;Glaspalast;GER;Indoor;2025-01-18;Lena;Anochili;GER;;Female;15001548
NL;GER;5K0;MJU20;14:06.46;;Carl-Kaufmann-Stadion;GER;Outdoor;2025-05-31;David;Scheller;GER;2006;Male;14996544
NL;GER;3KH;WJU20;9:55.56;;Carl-Kaufmann-Stadion;GER;Outdoor;2025-05-31;Jule;Jutta Lindner;GER;2006;Female;14981849
NL;GER;400;WJU20;51.66;;Universitätsstadion Am Biopark;GER;Outdoor;2025-06-14;Johanna;Martin;GER;2006;Female;14996565
NL;GER;40H;WJU20;58.98;;Universitätsstadion Am Biopark;GER;Outdoor;2025-06-14;Mara;Sophie Schmitz;GER;;Female;15040564
NL;GER;4×4;XJU20;3:41.62;;Leichtathletikhalle;GER;Indoor;2025-01-25;Hamburger;Sv;GER;;Mixed;
NL;GER;DRE;MJU20;15.11;1.0;Stadion des SV Germering;GER;Outdoor;2025-05-10;Benedikt;Maurer;GER;2007;Male;15041729
NL;GER;100;WJU20;11.24;1.2;Universitätsstadion Am Biopark;GER;Outdoor;2025-06-14;Philina;Marianne Schwartz;GER;2006;Female;14964208
NL;GER;800;WJU20;2:01.41;;Heinz-Steyer-Stadion;GER;Outdoor;2025-06-01;Jana;Marie Becker;GER;2006;Female;14994730
NL;GER;50M;MJU20;6.23;;Salle du Centre Mondial du Cyclisme;SUI;Indoor;2025-01-19;Matti;Steinmetz;GER;;Male;15157003
NL;GER;3KH;MJU20;8:52.73;;Carl-Kaufmann-Stadion;GER;Outdoor;2025-05-31;Tristan;Kaufhold;GER;2006;Male;14984322
NL;GER;1K5;MJU20;3:45.15;;TSV Stadion;GER;Outdoor;2025-06-14;Tristan;Kaufhold;GER;2006;Male;14984322
NL;GER;200;MJU20;21.22;0.3;Universitätsstadion Am Biopark;GER;Outdoor;2025-06-15;Mika;Dedekind;GER;;Male;15107636
NL;GER;HOC;WJU20;1.85;;Helmut-Körnig-Halle;GER;Indoor;2025-02-16;Anna-Elisabeth;Ehlers;GER;2006;Female;14926486
NL;GER;60M;MJU20;6.74;;Helmut-Körnig-Halle;GER;Indoor;2025-02-15;Ramon;Reckwald;GER;2006;Male;15010394
NL;GER;2K0;WJU20;6:32.01;;Sportzentrum Kalbach;GER;Indoor;2025-01-19;Luise;Brzoska;GER;;Female;15097846
NL;GER;60M;WJU20;7.27;;Helmut-Körnig-Halle;GER;Indoor;2025-02-15;Sherin;Kimuanga;GER;2006;Female;14924703
NL;GER;2KH;WJU20;6:25.30;;Schönbuchstadion;GER;Outdoor;2025-05-18;Jule;Jutta Lindner;GER;2006;Female;14981849
