code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
WL;;5G;M;18:16.97;;Prefectural Stadium;JPN;Outdoor;2024-05-18;;Ryo;Hamanishi;JPN;2000;Male
WL;;DIS;W;73.09;;Millican Field at Throw Town;USA;Outdoor;2024-04-13;;Yaimé;Pérez;CUB;1991;Female
WL;;4×4;X;3:10.73;;The Bahamas National Stadium;BAH;Outdoor;2024-05-05;;;;USA;;Mixed
WL;;4×1;MJU20;39.12;;Queensland Sport and Athletics Centre;AUS;Outdoor;2024-02-24;;;;AUS;;Male
WL;;200;MJU20;20.2;0.5;Un. of Kentucky Outdoor Track Facility;USA;Outdoor;2024-05-24;;Nyckoles;Harbor;USA;2005;Male
WL;;SPE;M;90.2;;Werferzentrum Brandberge;GER;Outdoor;2024-02-25;;Max;Dehning;GER;2004;Male
WL;;WEI;WJU20;6.86;1.0;Demirjian Park;USA;Outdoor;2024-05-04;;Sophia;Beckmon;USA;2005;Female
WL;;KUG;MJU20;19.29;;LSU Bernie Moore Stadium;USA;Outdoor;2024-03-30;;Roury;Mccloyen;USA;;Male
WL;;KUG;W;20.68;;Garage Strength;USA;Outdoor;2024-05-11;;Sarah;Mitton;CAN;1996;Female
WL;;10H;WJU20;12.95;1.9;National Stadium;JAM;Outdoor;2024-03-03;;Habiba;Harris;JAM;2005;Female
WL;;2KH;WJU20;6:30.41;;Pistes d'atletisme Gaetà Huguet;ESP;Outdoor;2024-05-22;;Nadia;Soto;ESP;2007;Female
WL;;HAM;M;84.38;;Nyayo National Stadium;KEN;Outdoor;2024-04-20;;Ethan;Katzberg;CAN;2002;Male
WL;;300;WJU20;36.97;;Virginia Beach Sports Center;USA;Indoor;2024-01-12;;Adaejah;Hodge;IVB;2006;Female
WL;;50M;MJU20;6.04;;Salle du Centre Mondial du Cyclisme;SUI;Indoor;2024-01-20;;Bryan;Pascal;FRA;2005;Male
WL;;STA;W;4.86;;Complexe Kindarena;FRA;Indoor;2024-02-24;;Molly;Caudery;GBR;2000;Female
