code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
WL;;3K0;M;7:25.82;;Arena;POL;Indoor;2024-02-06;;Selemon;Barega;ETH;2000.0;Male
WL;;4×2;W;1:34.78;;Armory Track&Field Center;USA;Indoor;2024-02-11;;;;INT;;Female
WL;;400;M;44.29;;Bestmed Tuks Stadium;RSA;Outdoor;2024-03-18;;Letsile;Tebogo;BOT;2003.0;Male
WL;;4×1;M;38.43;;Queensland Sport and Athletics Centre;AUS;Outdoor;2024-02-24;;;;AUS;;Male
WL;;4×4;M;3:02.35;;The Track at New Balance;USA;Indoor;2024-03-09;;;;INT;;Male
WL;;2K0;M;4:51.23;;Arena Stade Couvert;FRA;Indoor;2024-02-10;;Lamecha;Girma;ETH;2000;Male
WL;;4×8;M;7:26.90;;Gately Indoor TF Center;USA;Indoor;2024-02-24;;;;USA;;Male
WL;;DRE;M;17.61;;Arena;POL;Indoor;2024-02-06;;Andy;Díaz Hernández;ITA;1995.0;Male
WL;;5K0;M;12:51.84;;Boston Univ. Track & Tennis Center;USA;Indoor;2024-02-16;;Grant;Fisher;USA;1997.0;Male
WL;;50M;W;6.33;;GSG9-Halle;AUT;Indoor;2024-01-16;;Christania;Williams;JAM;1994.0;Female
WL;;3KH;W;9:42.71;;SA Athletic Stadium;AUS;Outdoor;2024-02-10;;Cara;Feain-Ryan;AUS;1999.0;Female
WL;;100;M;10.03;1.9;UMiami Cobb Stadium;USA;Outdoor;2024-03-16;;Fred;Kerley;USA;1995.0;Male
WL;;MEI;W;4:16.41;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Elle;St. Pierre;USA;1995.0;Female
WL;;3KH;M;8:22.72;;Nyayo National Stadium;KEN;Outdoor;2024-03-06;;Amos;Serem;KEN;2002.0;Male
WL;;3G;W;12:17.95;;Expocentro;POR;Indoor;2024-02-17;;Vitória;Oliveira;POR;1992.0;Female
WL;;2KH;W;6:35.71;;University of South Florida Track & Field Stadium;USA;Outdoor;2024-03-16;;Rachel;Anderson;USA;;Female
WL;;HAM;W;73.28;;Stadionul Iolanda Balas Soter;ROU;Outdoor;2024-02-24;;Bianca;Florentina Ghelber;ROU;1990.0;Female
WL;;5G;W;20:50.56;;KMSHVSM Arena;UKR;Indoor;2024-01-20;;Lyudmila;Olyanovska;UKR;1993.0;Female
WL;;4×8;W;8:40.43;;Gately Indoor TF Center;USA;Indoor;2024-02-24;;;;INT;;Female
WL;;300;M;30.69;;Pilditch Stadium;RSA;Outdoor;2024-02-17;;Letsile;Tebogo;BOT;2003.0;Male
WL;;SPE;M;90.2;;Werferzentrum Brandberge;GER;Outdoor;2024-02-25;;Max;Dehning;GER;2004.0;Male
WL;;60M;W;6.98;;Glasgow Arena;GBR;Indoor;2024-03-02;;Julien;Alfred;LCA;2001.0;Female
WL;;60M;W;6.98;;Glasgow Arena;GBR;Indoor;2024-03-02;;Ewa;Swoboda;POL;1997.0;Female
