code;type;discipline;class;result;sex
DMMK;GER;10-K;M;6100;M
DMMK;GER;10-K;MU23;6100;M
DMMK;GER;7-K;W;4600;W
DMMK;GER;7-K;WU23;4500;W
DMMK;GER;10-K;MJU20;5800;M
DMMK;GER;10-M;MJU20;16200;M
DMMK;GER;7-K;WJU20;4300;W
DMMK;GER;7-KM;WJU20;12000;W
DMMK;GER;10-K;MJU18;5800;M
DMMK;GER;10-M;MJU18;16000;M
DMMK;GER;7-K;WJU18;4450;W
DMMK;GER;7-KM;WJU18;12500;W
DMMK;GER;9-K;M15;4800;M
DMMK;GER;9-K;M14;4400;M
DMMK;GER;9-KM;MJU16;13750;M
DMMK;GER;7-K;W15;3550;W
DMMK;GER;7-K;W14;3350;W
DMMK;GER;7-KM;WJU16;10300;W
