code;type;discipline;class;result;sex
DMJU20;GER;100;MJU20;11,15;M
DMJU20;GER;200;MJU20;22,00;M
DMJU20;GER;400;MJU20;50,00;M
DMJU20;GER;800;MJU20;1:56,70;M
DMJU20;GER;1K5;MJU20;4:05,20;M
DMJU20;GER;3K0;MJU20;8:57,00;M
DMJU20;GER;11H;MJU20;15,00;M
DMJU20;GER;40H;MJU20;57,00;M
DMJU20;GER;3KH;MJU20;10:20,00;M
DMJU20;GER;4X1;MJU20;43,00;M
DMJU20;GER;HOC;MJU20;1,98;M
DMJU20;GER;STA;MJU20;4,00;M
DMJU20;GER;WEI;MJU20;7,00;M
DMJU20;GER;DRE;MJU20;13,00;M
DMJU20;GER;KUG;MJU20;15,00;M
DMJU20;GER;DIS;MJU20;47,00;M
DMJU20;GER;HAM;MJU20;50,00;M
DMJU20;GER;SPE;MJU20;58,00;M
DMJU20;GER;100;WJU20;12,00;W
DMJU20;GER;200;WJU20;25,00;W
DMJU20;GER;400;WJU20;58,00;W
DMJU20;GER;800;WJU20;2.17,20;W
DMJU20;GER;1K5;WJU20;4:50,20;W
DMJU20;GER;3K0;WJU20;10:15,00;W
DMJU20;GER;10H;WJU20;15,00;W
DMJU20;GER;40H;WJU20;65,00;W
DMJU20;GER;3KH;WJU20;12:30,00;W
DMJU20;GER;4X1;WJU20;49,00;W
DMJU20;GER;HOC;WJU20;1,71;W
DMJU20;GER;STA;WJU20;3,00;W
DMJU20;GER;WEI;WJU20;5,00;W
DMJU20;GER;DRE;WJU20;11,00;W
DMJU20;GER;KUG;WJU20;12,75;W
DMJU20;GER;DIS;WJU20;43,00;W
DMJU20;GER;HAM;WJU20;47,00;W
DMJU20;GER;SPE;WJU20;43,00;W
