code;type;discipline;class;result;sex
SDMJU16;GER;100;M15;12,40;M
SDMJU16;GER;300;M15;39,00;M
SDMJU16;GER;800;M15;2:12,00;M
SDMJU16;GER;3K0;M15;10:20,00;M
SDMJU16;GER;80H;M15;12,00;M
SDMJU16;GER;30H;M15;46,30;M
SDMJU16;GER;WEI;M15;5,95;M
SDMJU16;GER;DRE;M15;10,50;M
SDMJU16;GER;KUG;M15;12,90;M
SDMJU16;GER;DIS;M15;40,00;M
SDMJU16;GER;HAM;M15;35,00;M
SDMJU16;GER;SPE;M15;43,50;M
SDMJU16;GER;100;M14;12,80;M
SDMJU16;GER;800;M14;2:18,00;M
SDMJU16;GER;2K0;M14;6:40,00;M
SDMJU16;GER;80H;M14;12,80;M
SDMJU16;GER;WEI;M14;5,35;M
SDMJU16;GER;KUG;M14;11,00;M
SDMJU16;GER;DIS;M14;33,00;M
SDMJU16;GER;HAM;M14;30,00;M
SDMJU16;GER;SPE;M14;37,00;M
SDMJU16;GER;100;W15;13,30;W
SDMJU16;GER;300;W15;43,30;W
SDMJU16;GER;800;W15;2:28,00;W
SDMJU16;GER;3K0;W15;12:15,00;W
SDMJU16;GER;80H;W15;12,80;W
SDMJU16;GER;30H;W15;49,80;W
SDMJU16;GER;WEI;W15;5,15;W
SDMJU16;GER;DRE;W15;9,80;W
SDMJU16;GER;KUG;W15;10,85;W
SDMJU16;GER;DIS;W15;28,00;W
SDMJU16;GER;HAM;W15;29,00;W
SDMJU16;GER;SPE;W15;32,00;W
SDMJU16;GER;100;W14;13,60;W
SDMJU16;GER;800;W14;2:32,00;W
SDMJU16;GER;2K0;W14;8:10,00;W
SDMJU16;GER;80H;W14;13,15;W
SDMJU16;GER;WEI;W14;5,05;W
SDMJU16;GER;KUG;W14;10,00;W
SDMJU16;GER;DIS;W14;25,00;W
SDMJU16;GER;HAM;W14;25,00;W
SDMJU16;GER;SPE;W14;29,00;W
