code;type;discipline;class;result;sex
DML;GER;10K;M;30:40,00;M
DML;GER;10K;W;36:10,00;W
DML;GER;10K;MU23;31:30,00;M
DML;GER;10K;WU23;37:30,00;W
DML;GER;5K0;MU23;15:00,00;M
DML;GER;5K0;WU23;17:45,00;W
DML;GER;5K0;MJU20;15:45,00;M
DML;GER;5K0;WJU20;18:15,00;W
DML;GER;5K0;M35;16:30,00;M
DML;GER;5K0;M40;16:55,00;M
DML;GER;5K0;M45;17:25,00;M
DML;GER;5K0;M50;17:45,00;M
DML;GER;5K0;M55;18:35,00;M
DML;GER;5K0;M60;20:00,00;M
DML;GER;5K0;M65;21:20,00;M
DML;GER;5K0;M70;23:20,00;M
DML;GER;5K0;M75;28:00,00;M
DML;GER;5K0;M80;28:35,00;M
DML;GER;5K0;M85;36:00,00;M
DML;GER;5K0;M90;40:00,00;M
DML;GER;5K0;W35;20:00,00;W
DML;GER;5K0;W40;20:20,00;W
DML;GER;5K0;W45;20:45,00;W
DML;GER;5K0;W50;21:45,00;W
DML;GER;5K0;W55;22:45,00;W
DML;GER;5K0;W60;24:45,00;W
DML;GER;5K0;W65;29:00,00;W
DML;GER;5K0;W70;31:00,00;W
DML;GER;5K0;W75;33:30,00;W
DML;GER;5K0;W80;37:00,00;W
DML;GER;5K0;W85;40:00,00;W
DML;GER;5K0;W90;48:00,00;W
