code;type;discipline;class;result;sex
EMU20;GER;100;MJU20;10,62;M
EMU20;GER;200;MJU20;21,55;M
EMU20;GER;400;MJU20;48,15;M
EMU20;GER;800;MJU20;1:50,00;M
EMU20;GER;1K5;MJU20;3:47,50;M
EMU20;GER;3K0;MJU20;8:17,00;M
EMU20;GER;5K0;MJU20;14:26,00;M
EMU20;GER;11H;MJU20;14,12;M
EMU20;GER;40H;MJU20;53,25;M
EMU20;GER;3KH;MJU20;9.15,00;M
EMU20;GER;10G;MJU20;45:30,00;M
EMU20;GER;HOC;MJU20;2,11;M
EMU20;GER;STA;MJU20;5,12;M
EMU20;GER;WEI;MJU20;7,40;M
EMU20;GER;DRE;MJU20;15,05;M
EMU20;GER;KUG;MJU20;17,80;M
EMU20;GER;DIS;MJU20;54,50;M
EMU20;GER;HAM;MJU20;68,00;M
EMU20;GER;SPE;MJU20;66,00;M
EMU20;GER;10-K;MJU20;7200;M
EMU20;GER;100;WJU20;11,80;W
EMU20;GER;200;WJU20;24,40;W
EMU20;GER;400;WJU20;55,50;W
EMU20;GER;800;WJU20;2:07,80;W
EMU20;GER;1K5;WJU20;4:24,00;W
EMU20;GER;3K0;WJU20;9:48,00;W
EMU20;GER;5K0;WJU20;17:05,00;W
EMU20;GER;10H;WJU20;13,92;W
EMU20;GER;40H;WJU20;61,00;W
EMU20;GER;3KH;WJU20;10:50,00;W
EMU20;GER;10G;WJU20;51:00,00;W
EMU20;GER;HOC;WJU20;1,80;W
EMU20;GER;STA;WJU20;4,00;W
EMU20;GER;WEI;WJU20;6,20;W
EMU20;GER;DRE;WJU20;12,85;W
EMU20;GER;KUG;WJU20;14,10;W
EMU20;GER;DIS;WJU20;47,50;W
EMU20;GER;HAM;WJU20;57,50;W
EMU20;GER;SPE;WJU20;48,50;W
EMU20;GER;7-K;WJU20;5350;W
