code;type;discipline;class;result;sex
SDM;GER;100;M;11,10;M
SDM;GER;200;M;22,30;M
SDM;GER;400;M;50,00;M
SDM;GER;800;M;1:56,00;M
SDM;GER;1K5;M;3:58,00;M
SDM;GER;5K0;M;15:15,00;M
SDM;GER;11H;M;15,60;M
SDM;GER;40H;M;57,00;M
SDM;GER;4X1;M;44,00;M
SDM;GER;HOC;M;1,90;M
SDM;GER;STA;M;4,60;M
SDM;GER;WEI;M;7,00;M
SDM;GER;DRE;M;13,20;M
SDM;GER;KUG;M;14,50;M
SDM;GER;DIS;M;45,00;M
SDM;GER;HAM;M;50,00;M
SDM;GER;SPE;M;58,00;M
SDM;GER;100;W;12,50;W
SDM;GER;200;W;25,50;W
SDM;GER;400;W;60,20;W
SDM;GER;800;W;2:16,00;W
SDM;GER;1K5;W;4:50,00;W
SDM;GER;5K0;W;19:15,00;W
SDM;GER;10H;W;15,50;W
SDM;GER;40H;W;65,00;W
SDM;GER;4X1;W;52,00;W
SDM;GER;HOC;W;1,60;W
SDM;GER;STA;W;3,40;W
SDM;GER;WEI;W;5,70;W
SDM;GER;DRE;W;11,40;W
SDM;GER;KUG;W;12,50;W
SDM;GER;DIS;W;38,00;W
SDM;GER;HAM;W;41,00;W
SDM;GER;SPE;W;40,00;W
