code;type;discipline;class;result;sex
SDMU23;GER;100;MU23;11,45;M
SDMU23;GER;200;MU23;23,00;M
SDMU23;GER;400;MU23;51,10;M
SDMU23;GER;800;MU23;1:59,00;M
SDMU23;GER;1K5;MU23;4:15,00;M
SDMU23;GER;11H;MU23;16,70;M
SDMU23;GER;40H;MU23;61,00;M
SDMU23;GER;WEI;MU23;6,75;M
SDMU23;GER;DRE;MU23;12,60;M
SDMU23;GER;KUG;MU23;13,10;M
SDMU23;GER;DIS;MU23;40,00;M
SDMU23;GER;HAM;MU23;40,00;M
SDMU23;GER;SPE;MU23;52,00;M
SDMU23;GER;100;WU23;12,75;W
SDMU23;GER;200;WU23;26,40;W
SDMU23;GER;400;WU23;61,00;W
SDMU23;GER;800;WU23;2:26,00;W
SDMU23;GER;1K5;WU23;5:05,00;W
SDMU23;GER;10H;WU23;16,10;W
SDMU23;GER;40H;WU23;68,50;W
SDMU23;GER;WEI;WU23;5,40;W
SDMU23;GER;DRE;WU23;10,50;W
SDMU23;GER;KUG;WU23;11,00;W
SDMU23;GER;DIS;WU23;35,00;W
SDMU23;GER;HAM;WU23;38,00;W
SDMU23;GER;SPE;WU23;37,00;W
