Code;Class;Event;Value;Sex
WM;W;100;11,07;Female
WM;W;200;22,57;Female
WM;W;400;50,75;Female
WM;W;800;1:59,00;Female
WM;W;1K5;4:01,5;Female
WM;W;5K0;14:50,00;Female
WM;W;10K;30:20,00;Female
WM;W;10H;12,73;Female
WM;W;40H;54,65;Female
WM;W;3KH;9:18,00;Female
WM;W;HOC;1,97;Female
WM;W;STA;4,73;Female
WM;W;WEI;6,86;Female
WM;W;DRE;14,55;Female
WM;W;KUG;18,8;Female
WM;W;DIS;64,5;Female
WM;W;HAM;74;Female
WM;W;SPE;64;Female
WM;M;100;10;Male
WM;M;200;20,16;Male
WM;M;400;44,85;Male
WM;M;800;1:44,50;Male
WM;M;1K5;3:33,00;Male
WM;M;5K0;13:01,00;Male
WM;M;10K;27:00,00;Male
WM;M;10H;13,27;Male
WM;M;40H;48,5;Male
WM;M;3KH;8:15,00;Male
WM;M;HOC;2,33;Male
WM;M;STA;5,82;Male
WM;M;WEI;8,27;Male
WM;M;DRE;17,22;Male
WM;M;KUG;21,5;Male
WM;M;DIS;67,2;Male
WM;M;HAM;78,2;Male
WM;M;SPE;85,5;Male
