code;type;discipline;class;result;sex
DMA;GER;100;M;10,55;M
DMA;GER;200;M;21,20;M
DMA;GER;400;M;47,50;M
DMA;GER;800;M;1:50,00;M
DMA;GER;1K5;M;3:46,00;M
DMA;GER;5K0;M;14:10,00;M
DMA;GER;11H;M;14,60;M
DMA;GER;40H;M;53,00;M
DMA;GER;3KH;M;8:55,00;M
DMA;GER;4X1;M;41,50;M
DMA;GER;HOC;M;2,10;M
DMA;GER;STA;M;5,30;M
DMA;GER;WEI;M;7,55;M
DMA;GER;DRE;M;15,00;M
DMA;GER;KUG;M;19,00;M
DMA;GER;DIS;M;61,00;M
DMA;GER;HAM;M;63,00;M
DMA;GER;SPE;M;73,00;M
DMB;GER;100;M;10,72;M
DMB;GER;200;M;21,70;M
DMB;GER;400;M;48,40;M
DMB;GER;800;M;1:52,50;M
DMB;GER;1K5;M;3:51,00;M
DMB;GER;5K0;M;14:30,00;M
DMB;GER;11H;M;14,95;M
DMB;GER;40H;M;54,50;M
DMB;GER;3KH;M;9:15,00;M
DMB;GER;4X1;M;42,50;M
DMB;GER;HOC;M;2,05;M
DMB;GER;STA;M;5,05;M
DMB;GER;WEI;M;7,35;M
DMB;GER;DRE;M;14,40;M
DMB;GER;KUG;M;17,50;M
DMB;GER;DIS;M;54,50;M
DMB;GER;HAM;M;58,00;M
DMB;GER;SPE;M;69,00;M
DMA;GER;100;W;11,75;W
DMA;GER;200;W;24,00;W
DMA;GER;400;W;54,00;W
DMA;GER;800;W;2:07,00;W
DMA;GER;1K5;W;4:22,00;W
DMA;GER;5K0;W;16:30,00;W
DMA;GER;10H;W;13,65;W
DMA;GER;40H;W;60,00;W
DMA;GER;3KH;W;10:30,00;W
DMA;GER;4X1;W;47,00;W
DMA;GER;HOC;W;1,82;W
DMA;GER;STA;W;4,25;W
DMA;GER;WEI;W;6,35;W
DMA;GER;DRE;W;13,00;W
DMA;GER;KUG;W;16,50;W
DMA;GER;DIS;W;56,00;W
DMA;GER;HAM;W;62,00;W
DMA;GER;SPE;W;53,00;W
DMB;GER;100;W;11,95;W
DMB;GER;200;W;24,50;W
DMB;GER;400;W;55,65;W
DMB;GER;800;W;2:10,40;W
DMB;GER;1K5;W;4:30,00;W
DMB;GER;5K0;W;17:10,00;W
DMB;GER;10H;W;14,10;W
DMB;GER;40H;W;62,00;W
DMB;GER;3KH;W;11:05,00;W
DMB;GER;4X1;W;47,80;W
DMB;GER;HOC;W;1,77;W
DMB;GER;STA;W;4,00;W
DMB;GER;WEI;W;6,20;W
