result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:06:36,AND,Palautordera,ESP,2006-02-12,Kevin Poulet,1991.0,Male,10W,NR,Outdoor
38:29,AUS,Beijing,CHN,2010-09-18,Jared Tallent,1984.0,Male,10W,NR,Outdoor
38:52,BLR,Hildesheim,GER,2003-09-14,Ivan Trotski,1976.0,Male,10W,NR,Outdoor
57:06,CAF,Bangui,CAF,2003-07-13,Samuel Sanze,,Male,10W,NR,Outdoor
57:48,CGO,Brazzaville,CGO,2004-04-13,Audréas Limingui,,Male,10W,NR,Outdoor
37:44,CHN,Beijing,CHN,2010-09-18,Wang Zhen,1991.0,Male,10W,NR,Outdoor
37:52,ESP,Kraków,POL,2002-06-08,Francisco Javier Fernández,1977.0,Male,10W,NR,Outdoor
40:30,EST,Alushta,URS,1984-02-25,Vassili Matvejev,1957.0,Male,10W,NR,Outdoor
49:27,FIJ,Melbourne,AUS,2019-05-26,Pramesh Prasad,1974.0,Male,10W,NR,Outdoor
38:59,FIN,Tuusula,FIN,2012-04-14,Veli-Matti Partanen,1991.0,Male,10W,NR,Outdoor
38:20,FRA,Lugano,SUI,2015-03-15,Yohann Diniz,1978.0,Male,10W,NR,Outdoor
38:58,GER,Budapest,HUN,2023-08-19,Christopher Linke,1988.0,Male,10W,NR,Outdoor
40:08,HUN,Budapest,HUN,2023-08-19,Máté Helebrandt,1989.0,Male,10W,NR,Outdoor
39:15,IRL,La Coruña,ESP,2011-09-17,Robert Heffernan,1978.0,Male,10W,NR,Outdoor
38:00,ITA,Beijing,CHN,2010-09-18,Giorgio Rubino,1986.0,Male,10W,NR,Outdoor
38:03,JPN,Wajima,JPN,2016-04-16,Eiki Takahashi,1992.0,Male,10W,NR,Outdoor
38:13,KOR,Beijing,CHN,2010-09-18,Kim Hyun-Sub,1985.0,Male,10W,NR,Outdoor
42:36,MAS,Eisenhüttenstadt,GER,1996-05-11,Teoh Boon Lim,1977.0,Male,10W,NR,Outdoor
48:23,MGL,Ulan Bator,MGL,2005-07-21,M Munkh-Erdene,1982.0,Male,10W,NR,Outdoor
58:04,MOZ,Maputo,MOZ,2003-07-31,Paulo Mateus,,Male,10W,NR,Outdoor
45:56,MRI,Tilburg,NED,2012-10-07,Jérome Caprice,1983.0,Male,10W,NR,Outdoor
37:33,NOR,Hildesheim,GER,2006-08-27,Erik Tysse,1980.0,Male,10W,NR,Outdoor
39:06,POR,Beijing,CHN,2010-09-18,João Vieira,1976.0,Male,10W,NR,Outdoor
39:07,SVK,Beijing,CHN,2010-09-18,Matej Tóth,1983.0,Male,10W,NR,Outdoor
38:12,TUN,Sesto San Giovanni,ITA,2000-05-28,Hatem Ghoula,1973.0,Male,10W,NR,Outdoor
43:59,UAE,Cheboksary,RUS,2014-06-06,Hassan Al-Shaali,1995.0,Male,10W,NR,Outdoor
