result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
15.45,-1.2,AFG,Papenburg,GER,2018-06-17,Said Gilani,1996,Male,110H,NR,Outdoor
13.93,0.6,AHO,Budapest,HUN,1995-07-01,James Sharpe,1962,Male,110H,NR,Outdoor
18.70,,AIA,Amherst,USA,2001-05-11,Andre Samuel,,Male,110H,NR,Outdoor
13.93,0.5,ALB,Pergine Valsugana,ITA,2007-07-07,Elton Bitincka,1985,Male,110H,NR,Outdoor
13.37,-0.6,ALG,Eugene,USA,2022-07-17,Amine Bouanani,1997,Male,110H,NR,Outdoor
14.47,1.8,AND,Schaan,LIE,1999-05-26,Esteve Martín,1975,Male,110H,NR,Outdoor
14.11,-1.2,ANG,Noisy-le-Grand,FRA,2004-06-08,Jonas Mateus,1983,Male,110H,NR,Outdoor
14.07,,ANT,Iowa City,USA,2000-05-06,Randy Gillon,1976,Male,110H,NR,Outdoor
13.74,1.8,ARG,Buenos Aires,ARG,2014-01-25,Agustín Carrera,1988,Male,110H,NR,Outdoor
14.01,,ARM,Donetsk,URS,1980-09-06,Zhan Mkhitaryan,1954,Male,110H,NR,Outdoor
14.58,,ARU,Vught,NED,1986-07-06,Freddy Burgos,1959,Male,110H,NR,Outdoor
15.42,0.7,ASA,Turlock,USA,2010-03-06,Aaron Victorian,1988,Male,110H,NR,Outdoor
13.29,0.6,AUS,Göteborg,SWE,1995-08-11,Kyle Vander-Kuyp,1971,Male,110H,NR,Outdoor
13.14,-0.8,AUT,Paris,FRA,1994-09-03,Mark McKoy,1961,Male,110H,NR,Outdoor
13.63,-0.6,AZE,Leningrad,URS,1986-06-08,Gennadiy Chugunov,1963,Male,110H,NR,Outdoor
13.35,1.7,BAH,Canyon,USA,2022-05-15,Jahmaal Wilson,2001,Male,110H,NR,Outdoor
14.09,-0.2,BAN,Pescara,ITA,2012-07-15,Mahfuzur Rahman,1988,Male,110H,NR,Outdoor
13.14,0.1,BAR,Berlin,GER,2009-08-20,Ryan Brathwaite,1988,Male,110H,NR,Outdoor
14.63,,BDI,Nairobi,KEN,1987-11-08,Joseph Niyonkuru,,Male,110H,NR,Outdoor
13.25,1.9,BEL,Budapest,HUN,1998-08-22,Jonathan Nsenga,1973,Male,110H,NR,Outdoor
14.68,,BEN,Narbonne,FRA,1988-06-25,Brice de Souza,,Male,110H,NR,Outdoor
14.21,1.0,BER,Charleston,USA,2015-05-08,Tristan Joynes,1992,Male,110H,NR,Outdoor
13.82,1.6,BIH,Istanbul,TUR,2005-06-19,Damir Haračič,1984,Male,110H,NR,Outdoor
13.90,0.6,BIZ,Cerritos,USA,2009-03-21,Jonathan Williams,1983,Male,110H,NR,Outdoor
13.30,-0.4,BLR,Minsk,BLR,2021-06-25,Vitali Parakhonka,1993,Male,110H,NR,Outdoor
14.76,0.0,BOL,Cochabamba,BOL,2024-03-17,Luis Albert Claure,2005,Male,110H,NR,Outdoor
13.92,0.5,BOT,Réduit,MRI,2019-07-06,Kemorena Tisang,1995,Male,110H,NR,Outdoor
13.92,-0.9,BOT,Gaborone,BOT,2020-03-14,Kemorena Tisang,1995,Male,110H,NR,Outdoor
13.17,0.4,BRA,Río de Janeiro,BRA,2022-06-23,Rafael Henrique Pereira,1997,Male,110H,NR,Outdoor
14.24,1.1,BRN,Al-Kuwait,KUW,1983-11-05,Ahmad Hamada,1961,Male,110H,NR,Outdoor
15.51,,BRU,Kuching,MAS,1995-07-22,Mohd Aries Mujang,,Male,110H,NR,Outdoor
13.33,1.5,BUL,Haniá,GRE,2000-06-14,Zhivko Videnov,1977,Male,110H,NR,Outdoor
13.90,1.5,BUR,Mulhouse,FRA,2018-07-01,Florian Somé,1994,Male,110H,NR,Outdoor
14.76,,CAF,Montgeron,FRA,1994-02-07,Jacques-Henri Brunet,1967,Male,110H,NR,Outdoor
15.79,,CAM,Jakarta,INA,1962-08-26,Pech Iev,,Male,110H,NR,Outdoor
13.08,1.2,CAN,Villeneuve d'Ascq,FRA,1993-07-02,Mark McKoy,1961,Male,110H,NR,Outdoor
13.36,0.4,CAY,Clermont,USA,2016-04-30,Ronald Forbes,1985,Male,110H,NR,Outdoor
14.19,,CGO,Harare,ZIM,1995-09-17,Hakim Mazou,1970,Male,110H,NR,Outdoor
15.62,,CHA,Viry-Châtillon,FRA,1994-09-24,Alio Hassana,1976,Male,110H,NR,Outdoor
13.60,0.2,CHI,Santiago de Chile,CHI,2023-05-27,Martín Sáenz,2001,Male,110H,NR,Outdoor
12.88,1.1,CHN,Lausanne,SUI,2006-07-11,Liu Xiang,1983,Male,110H,NR,Outdoor
