result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
5:07.50,ALB,Bydgoszcz,POL,2020-08-19,David Nikolli,1994,Male,2000,NR
4:46.88,ALG,Strasbourg,FRA,2001-06-19,Ali Saïdi-Sief,1978,Male,2000,NR
6:04.45,AND,Manresa,ESP,2017-04-01,Nahuel Carabaña,1999,Male,2000,NR
5:17.8,ARM,Podolsk,URS,1974-07-19,Artanas Mikoyan,1950,Male,2000,NR
4:48.77,AUS,Bruxelles,BEL,2023-09-08,Stewart McSweyn,1995,Male,2000,NR
4:59.56,AUT,Klagenfurt,AUT,1984-08-06,Robert Nemeth,1958,Male,2000,NR
5:15.08,AZE,Istanbul,TUR,2011-06-04,Hayle Ibrahimov,1990,Male,2000,NR
4:48.69,BDI,Nice,FRA,1995-07-12,Vénuste Niyongabo,1973,Male,2000,NR
4:52.37,BEL,Bruxelles,BEL,2023-09-08,Ruben Verheyden,2000,Male,2000,NR
5:07.4,BIH,Zagreb,YUG,1981-08-09,Vinko Pokrajcic,1958,Male,2000,NR
5:02.79,BLR,Budapest,HUN,1985-05-19,Gennadiy Fishman,1959,Male,2000,NR
5:03.34,BRA,Manaus,BRA,2002-04-06,Hudson de Souza,1977,Male,2000,NR
4:59.02,BUL,Rieti,ITA,1985-09-04,Evgeni Ignatov,1959,Male,2000,NR
5:04.77,CAN,London,GBR,1974-07-20,Grant McLaren,1948,Male,2000,NR
5:10.0,CHI,Leuven,BEL,1971-07-07,Jorge Grosser,1945,Male,2000,NR
6:23.3,COK,Nikao,COK,1995-03-05,Moetu Tangitamaiti,1968,Male,2000,NR
4:58.02,CRO,Nice,FRA,1996-07-10,Branko Zorko,1967,Male,2000,NR
4:57.60,CZE,Bydgoszcz,POL,2020-08-19,Filip Sasínek,1996,Male,2000,NR
4:59.56,DEN,Lausanne,SUI,1987-09-15,Mogens Guldberg,1963,Male,2000,NR
5:03.57,DMA,Praha,CZE,1997-06-10,Steve Agar,1968,Male,2000,NR
4:49.85,ESP,Bruxelles,BEL,2023-09-08,Mario García,1999,Male,2000,NR
5:06.02,EST,Joensuu,FIN,2008-07-16,Tiidrek Nurme,1985,Male,2000,NR
4:56.1,ETH,Bruxelles,BEL,1997-08-22,Haile Gebrselassie,1973,Male,2000,NR
5:58.8,FIJ,Suva,FIJ,1994-03-01,Rakesh Kumar,,Male,2000,NR
5:00.32,FIN,Lapinlahti,FIN,2009-07-25,Jukka Keskisalo,1981,Male,2000,NR
4:53.12,FRA,Strasbourg,FRA,2005-06-23,Mehdi Baala,1978,Male,2000,NR
4:51.39,GBR,Budapest,HUN,1985-08-04,Steve Cram,1960,Male,2000,NR
5:26.70,GEQ,Blois,FRA,2021-04-17,Benjamin Enzema,1989,Male,2000,NR
4:52.20,GER,Ingelheim,GER,1982-08-31,Thomas Wessinghage,1952,Male,2000,NR
5:09.8,GRE,Athína,GRE,1973-08-03,Spilios Zacharopoulos,1950,Male,2000,NR
5:01.9,HUN,Budapest,HUN,1978-05-17,Laszlo Kispal,1953,Male,2000,NR
4:55.06,IRL,Nice,FRA,1996-07-10,Marcus O'Sullivan,1961,Male,2000,NR
5:11.34,ISL,Arnsberg,GER,1981-07-07,Jón Didriksson,1955,Male,2000,NR
5:10.12,ISR,Tel Aviv,ISR,2007-01-08,Itai Maggidi,1981,Male,2000,NR
4:55.0,ITA,Torino,ITA,1991-05-26,Gennaro Di Napoli,1968,Male,2000,NR
