result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
8:31.92,ALG,Rieti,ITA,1995-05-09,Aïssa Belaout,1968,Male,2M,NR,Outdoor
8:03.50,AUS,Eugene,USA,2007-06-10,Craig Mottram,1980,Male,2M,NR,Outdoor
8:21.88,AUT,Linz,AUT,2005-08-23,Günther Weidlinger,1978,Male,2M,NR,Outdoor
8:17.56,BDI,Trapani,ITA,1995-09-27,Vénuste Niyongabo,1973,Male,2M,NR,Outdoor
8:14.88,BEL,Hengelo,NED,1997-05-31,Mohammed Mourhit,1970,Male,2M,NR,Outdoor
8:13.16,BRN,Eugene,USA,2008-06-08,Rashid Ramzi,1980,Male,2M,NR,Outdoor
8:46.48,CHN,Carson,USA,2006-05-21,Shi Linzhong,1981,Male,2M,NR,Outdoor
8:56.53,CPV,Lowell,USA,2010-10-04,Ruben Sanca,1986,Male,2M,NR,Outdoor
8:34.80,DJI,London,GBR,2007-03-08,Mumin Gala,1986,Male,2M,NR,Outdoor
8:19.34,ERI,Eugene,USA,2007-06-10,Zersenay Tadese,1982,Male,2M,NR,Outdoor
8:40.13,ESP,Linz,AUT,2005-08-23,Roberto García,1975,Male,2M,NR,Outdoor
8:01.08,ETH,Hengelo,NED,1997-05-31,Haile Gebrselassie,1973,Male,2M,NR,Outdoor
8:14.0,FIN,Stockholm,SWE,1972-08-14,Lasse Virén,1949,Male,2M,NR,Outdoor
8:22.6,FRA,Melun,FRA,1965-06-23,Michel Jazy,1936,Male,2M,NR,Outdoor
8:07.85,GBR,Birmingham,GBR,2014-08-24,Mo Farah,1983,Male,2M,NR,Outdoor
8:17.78,IRL,Gateshead,GBR,1988-07-16,Frank O'Mara,1960,Male,2M,NR,Outdoor
9:05.0,ISL,Gateshead,GBR,1976-05-29,Ágúst Ásgeirsson,1952,Male,2M,NR,Outdoor
8:20.79,ITA,Torino,ITA,1987-05-28,Salvatore Antibo,1962,Male,2M,NR,Outdoor
8:24.69,JPN,London,GBR,2007-08-03,Kensuke Takezawa,1986,Male,2M,NR,Outdoor
7:58.61,KEN,Hechtel,BEL,1997-07-19,Daniel Komen,1976,Male,2M,NR,Outdoor
8:10.98,MAR,Hechtel,BEL,1996-07-06,Khalid Boulami,1969,Male,2M,NR,Outdoor
8:20.8,NED,Arnhem,NED,1975-07-16,Jos Hermens,1950,Male,2M,NR,Outdoor
8:22.31,NOR,Eugene,USA,2018-05-25,Henrik Børkja Ingebrigtsen,1991,Male,2M,NR,Outdoor
8:14.32,NZL,Stockholm,SWE,1974-07-18,Rod Dixon,1950,Male,2M,NR,Outdoor
8:17.8,POL,Berlin,FRG,1974-08-21,Bronisław Malinowski,1951,Male,2M,NR,Outdoor
8:20.86,POR,London,GBR,1984-09-07,António Leitão,1960,Male,2M,NR,Outdoor
8:22.86,QAT,Eugene,USA,2008-06-08,Saif Saeed Shaheen,1982,Male,2M,NR,Outdoor
8:30.16,RSA,Hechtel,BEL,1993-07-31,Jean Verster,1965,Male,2M,NR,Outdoor
8:45.0,SRB,Stockholm,SWE,1974-08-28,Ivan Jokic,1945,Male,2M,NR,Outdoor
8:20.6,SWE,Stockholm,SWE,1972-08-14,Anders Gärderud,1946,Male,2M,NR,Outdoor
8:37.8,TUN,Melun,FRA,1965-06-23,Mohamed Gammoudi,1938,Male,2M,NR,Outdoor
8:07.54,UGA,Stanford,USA,2019-06-30,Joshua Cheptegei,1996,Male,2M,NR,Outdoor
8:07.07,USA,Eugene,USA,2007-06-10,Matt Tegenkamp,1982,Male,2M,NR,Outdoor
8:12.01,AUS,New York,USA,2024-02-11,Morgan McDonald,1996,Male,2M,NR,Indoor
8:00.67,GBR,New York,USA,2024-02-11,Josh Kerr,1997,Male,2M,NR,Indoor
8:20.84,IRL,Dallas,USA,1985-02-20,Eamonn Coghlan,1952,Male,2M,NR,Indoor
8:51.9,ISR,Portland,USA,1979-01-27,Yair Karni,1951,Male,2M,NR,Indoor
8:05.73,NZL,New York,USA,2024-02-11,Geordie Beamish,1996,Male,2M,NR,Indoor
8:59.0,SRB,UNKNOWN,???,1958-01-01,Velisa Mugosa,1931,Male,2M,NR,Indoor
8:03.62,USA,New York,USA,2024-02-11,Grant Fisher,1997,Male,2M,NR,Indoor
