result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
54.19,AFG,Göttingen,GER,2017-06-10,Said Gilani,1996,Male,400H,NR,Outdoor
53.77,AHO,Utrecht,NED,1981-08-08,Helvin Felix,,Male,400H,NR,Outdoor
55.95,AIA,Stillwater,USA,1999-03-20,Kirthley Richardson,1973,Male,400H,NR,Outdoor
50.46,ALB,Napoli,ITA,2011-06-12,Eusebio Haliti,1991,Male,400H,NR,Outdoor
48.39,ALG,Doha,QAT,2019-09-28,Abdelmalik Lahoulou,1992,Male,400H,NR,Outdoor
50.59,AND,Barcelona,ESP,2000-09-03,Daniel Gómez,1979,Male,400H,NR,Outdoor
51.95,ANG,Lisboa,POR,1995-07-28,Wilson André,1975,Male,400H,NR,Outdoor
47.02,ANT,Eugene,USA,2018-06-08,Rai Benjamin,1997,Male,400H,NR,Outdoor
49.28,ARG,Cochabamba,BOL,2018-06-07,Guillermo Ruggeri,1992,Male,400H,NR,Outdoor
50.79,ARM,Moskva,URS,1984-08-05,Rudik Matevosyan,1962,Male,400H,NR,Outdoor
53.49,ARU,Leiden,NED,1984-06-09,Freddy Burgos,1959,Male,400H,NR,Outdoor
56.51,ASA,Charlotte,USA,2019-03-15,Nainoa Soto Thompson,1997,Male,400H,NR,Outdoor
48.28,AUS,Atlanta,USA,1996-07-31,Rohan Robinson,1971,Male,400H,NR,Outdoor
49.33,AUT,Kobe,JPN,1985-08-30,Thomas Futterknecht,1962,Male,400H,NR,Outdoor
50.00,AZE,München,FRG,1976-05-30,Aleksandr Karasyov,1950,Male,400H,NR,Outdoor
48.17,BAH,Beijing,CHN,2015-08-25,Jeffery Gibson,1990,Male,400H,NR,Outdoor
51.87,BAN,Dhaka,BAN,1993-12-25,Abdur Rahim Nayeem,1973,Male,400H,NR,Outdoor
49.00,BAR,Austin,USA,2023-06-07,Rasheeme Griffith,2000,Male,400H,NR,Outdoor
53.99,BDI,Al Qâhira,EGY,1991-09-23,Christophe Bigirimana,,Male,400H,NR,Outdoor
48.66,BEL,Bruxelles,BEL,2022-09-02,Julien Watrin,1992,Male,400H,NR,Outdoor
50.48,BEN,Ouagadougou,BUR,2006-04-25,Abdoulaye Issa Chérif,1984,Male,400H,NR,Outdoor
53.03,BER,Dedham,USA,1994-06-24,Nick Saunders,1963,Male,400H,NR,Outdoor
50.84,BIH,Sérres,GRE,1989-08-13,Dusan Milutinovic,1965,Male,400H,NR,Outdoor
48.88,BIZ,San Salvador,ESA,2007-07-14,Jonathan Williams,1983,Male,400H,NR,Outdoor
47.92,BLR,Moskva,URS,1985-08-17,Aleksandr Vasilyev,1961,Male,400H,NR,Outdoor
