result,nation,venue,venueCountry,date,name,sex,discipline,type,environment
1:34.25,AND,Sabadell,ESP,2017-08-01,Andorra,Male,4x2,NR,Indoor
1:29.84,AZE,Moskva,RUS,2004-02-16,Azerbaijan,Male,4x2,NR,Indoor
1:26.69,BEL,Gent,BEL,2014-02-09,Belgium,Male,4x2,NR,Indoor
1:36.88,BIH,Beograd,SRB,2018-01-27,Bosnia-Herzegovina,Male,4x2,NR,Indoor
1:27.77,BUL,Sofia,BUL,1985-02-17,Bulgaria,Male,4x2,NR,Indoor
1:24.31,CZE,Ostrava,CZE,2020-02-23,Czech Republic,Male,4x2,NR,Indoor
1:30.82,GEO,UNKNOWN,???,2014-01-01,Georgia,Male,4x2,NR,Indoor
1:23.51,GER,Leipzig,GER,2014-02-23,Germany,Male,4x2,NR,Indoor
1:26.59,IRL,Cardiff,GBR,2002-02-10,Ireland,Male,4x2,NR,Indoor
1:30.54,ISL,Reykjavik,ISL,2007-12-29,Iceland,Male,4x2,NR,Indoor
1:22.32,ITA,Torino,ITA,1984-02-11,Italy,Male,4x2,NR,Indoor
1:28.51,LUX,Saarbrücken,GER,2007-02-11,Luxembourg,Male,4x2,NR,Indoor
1:27.06,NED,Den Haag,NED,1997-02-02,Netherlands,Male,4x2,NR,Indoor
1:27.66,POR,Espinho,POR,1999-02-06,Portugal,Male,4x2,NR,Indoor
1:27.82,ROU,Istanbul,TUR,2017-03-12,Romania,Male,4x2,NR,Indoor
1:23.04,RUS,Glasgow,GBR,1993-01-30,Russia,Male,4x2,NR,Indoor
1:30.34,SUI,Sankt Gallen,SUI,2009-02-14,Switzerland,Male,4x2,NR,Indoor
1:27.52,SVK,Bratislava,SVK,2022-02-27,Slovak Republic,Male,4x2,NR,Indoor
