result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
6.53,0.0,RSA,Pretoria,RSA,2023-02-18,Akani Simbine,1993.0,Male,60,NR,Outdoor
6.97,,AFG,Tehran,IRI,2024-02-18,Sha Mahmood Noor Zahi,1991.0,Male,60,NR,Indoor
6.58,,AHO,Stuttgart,GER,2010-02-06,Churandy Martina,1984.0,Male,60,NR,Indoor
7.04,,AIA,Istanbul,TUR,2012-03-09,Keiron Rogers,1988.0,Male,60,NR,Indoor
6.77,,ALB,Torino,ITA,2001-02-10,Arben Makaj,1967.0,Male,60,NR,Indoor
6.80,,ALG,Zaragoza,ESP,1988-02-26,Mustapha Kamel Selmi,1965.0,Male,60,NR,Indoor
7.01,,AND,Escaldes,AND,2000-03-04,Esteve Martín,1975.0,Male,60,NR,Indoor
6.79,,ANG,São Caetano do Sul,BRA,2014-02-16,Osvaldo Morais,1989.0,Male,60,NR,Indoor
6.54,,ANT,Birmingham,GBR,2009-02-21,Daniel Bailey,1986.0,Male,60,NR,Indoor
6.69,,ARG,Madrid,ESP,1997-02-08,Jorge Polanco,1969.0,Male,60,NR,Indoor
6.64,,ARM,Seattle WA,USA,2019-01-12,Alexander Donigian,1993.0,Male,60,NR,Indoor
6.80,,ARU,Dortmund,GER,1997-03-02,Miguel Janssen,1970.0,Male,60,NR,Indoor
7.14,,ASA,Sopot,POL,2014-03-07,Faresa Kapisi,1997.0,Male,60,NR,Indoor
6.52,,AUS,Maebashi,JPN,1999-03-07,Matt Shirvington,1978.0,Male,60,NR,Indoor
6.56,,AUT,Wien,AUT,1988-02-27,Andreas Berger,1961.0,Male,60,NR,Indoor
6.61,,AZE,Göteborg,SWE,1974-03-09,Aleksandr Komelyuk,1950.0,Male,60,NR,Indoor
6.61,,AZE,Göteborg,SWE,1974-03-09,Aleksandr Kornelyuk,1950.0,Male,60,NR,Indoor
6.45,,BAH,Lubbock TX,USA,2022-01-15,Terrence Jones Jr.,2002.0,Male,60,NR,Indoor
6.59,,BAN,Astana,KAZ,2023-02-11,Imran Rahman,1993.0,Male,60,NR,Indoor
6.51,,BAR,Portland OR,USA,2016-03-18,Ramon Gittens,1987.0,Male,60,NR,Indoor
6.56,,BEL,Sindelfingen,FRG,1988-02-05,Ronald Desruelles,1955.0,Male,60,NR,Indoor
6.81,,BEN,Montréal,CAN,2005-02-19,Souhalia Alamou,1979.0,Male,60,NR,Indoor
7.64,,BHU,Hanoi,VIE,2009-10-31,Kinley Tenzin,1994.0,Male,60,NR,Indoor
6.73,,BIH,Valencia,ESP,2023-01-22,Edhem Vikalo,2002.0,Male,60,NR,Indoor
6.60,,BLR,Mogilyov,BLR,2008-02-15,Maksim Lynsha,1985.0,Male,60,NR,Indoor
6.78,,BOL,Cochabamba,BOL,2024-01-13,Tito Ariel Hinojosa,1997.0,Male,60,NR,Indoor
6.52,,BRA,Paris,FRA,2009-02-13,José Carlos Moreira,1983.0,Male,60,NR,Indoor
6.57,,BRN,Ostrava,CZE,2017-02-14,Andrew Fisher,1991.0,Male,60,NR,Indoor
7.44,,BRU,Valencia,ESP,2008-03-07,Shahriful Bahrin Zainal,1979.0,Male,60,NR,Indoor
6.58,,BUL,Sofia,BUL,1978-02-25,Petar Petrov,1955.0,Male,60,NR,Indoor
6.74,,BUR,Ancona,ITA,2022-02-05,Abdou Nourou Guene,2001.0,Male,60,NR,Indoor
6.64,,CAF,Metz,FRA,2014-02-28,Béranger Bossé,1985.0,Male,60,NR,Indoor
6.87,,CAM,St. Gallen,SUI,2015-02-14,Pin Wanheab,1985.0,Male,60,NR,Indoor
6.45,,CAN,Madrid,ESP,1991-02-13,Bruny Surin,1967.0,Male,60,NR,Indoor
6.56,,CAY,Leipzig,GER,2004-02-29,Kareem Streete-Thompson,1973.0,Male,60,NR,Indoor
6.56,,CAY,Birmingham AL,USA,2012-01-21,Kemar Hyman,1989.0,Male,60,NR,Indoor
6.63,,CGO,Chemnitz,GER,2003-02-07,Roger Anguono-Moke,1981.0,Male,60,NR,Indoor
6.80,,CHA,Valencia,ESP,2022-02-26,Mahamat Goubaye Youssouf,1998.0,Male,60,NR,Indoor
6.61,,CHI,Valencia,ESP,2007-02-10,Kael Becerra,1985.0,Male,60,NR,Indoor
6.42,,CHN,Birmingham,GBR,2018-03-03,Su Bingtian,1989.0,Male,60,NR,Indoor
6.51,,CIV,Clemson SC,USA,2023-01-13,Ismael Kone,2000.0,Male,60,NR,Indoor
6.55,,CMR,Berlin,GER,2024-02-23,Emmanuel Eseme,1993.0,Male,60,NR,Indoor
6.77,,COD,Ottawa,CAN,2024-01-20,Lionnel Muteba,1990.0,Male,60,NR,Indoor
7.23,,COK,Budapest,HUN,2004-03-05,Harmon Harmon,1980.0,Male,60,NR,Indoor
6.72,,COL,Spokane WA,USA,2024-02-03,John Parades,2002.0,Male,60,NR,Indoor
6.69,,COM,Paris,FRA,2000-02-26,Hadhari Djaffar,1978.0,Male,60,NR,Indoor
6.71,,CRC,Ann Arbor MI,USA,2005-01-08,Bob Colville,1981.0,Male,60,NR,Indoor
6.63,,CRO,Linz,AUT,2003-03-07,Dejan Vojnović,1975.0,Male,60,NR,Indoor
6.48,,CUB,Ancona,ITA,2024-01-28,Yenns Fernández,2001.0,Male,60,NR,Indoor
6.58,,CYP,Pireás,GRE,1996-03-03,Yiannios Zisimides,1967.0,Male,60,NR,Indoor
6.58,,CZE,Liévin,FRA,1987-02-21,Frantisek Ptácnik,1962.0,Male,60,NR,Indoor
6.56,,DEN,Randers,DEN,2022-01-30,Kojo Musah,1996.0,Male,60,NR,Indoor
6.72,,DMA,Moscow ID,USA,2003-03-07,Sherwin James,1978.0,Male,60,NR,Indoor
6.70,,DOM,New York NY,USA,2018-01-26,Cristofer Valdez,1994.0,Male,60,NR,Indoor
6.66,,ECU,Madrid,ESP,2019-02-08,Alex Quiñónez,1989.0,Male,60,NR,Indoor
6.69,,EGY,Valencia,ESP,2008-03-07,Amr Ibrahim Mostafa Seoud,1986.0,Male,60,NR,Indoor
6.82,,ERI,Göteborg/FH,SWE,1991-01-12,Berhane Haile,1969.0,Male,60,NR,Indoor
6.52,,ESP,Düsseldorf,GER,2018-02-06,Yunier Pérez,1985.0,Male,60,NR,Indoor
6.55,,EST,Beograd,SRB,2022-03-19,Karl Erik Nazarov,1999.0,Male,60,NR,Indoor
6.58,,FIN,Helsinki,FIN,2003-03-04,Markus Pöyhönen,1978.0,Male,60,NR,Indoor
6.45,,FRA,Karlsruhe,GER,2005-02-13,Ronald Pognon,1982.0,Male,60,NR,Indoor
7.02,,FSM,Budapest,HUN,2004-03-05,Jack Howard,1981.0,Male,60,NR,Indoor
6.64,,GAB,Liévin,FRA,2000-02-20,Patrick Mocci Raoumbe,1970.0,Male,60,NR,Indoor
6.63,,GAM,Beograd,SRB,2024-02-13,Ebrahima Camara,1996.0,Male,60,NR,Indoor
6.42,,GBR,Torino,ITA,2009-03-07,Dwain Chambers,1978.0,Male,60,NR,Indoor
6.80,,GBS,Pombal,POR,2009-02-15,Holder da Silva,1988.0,Male,60,NR,Indoor
7.05,,GEQ,Madrid,ESP,2022-02-13,Antonio Marcos Ebuka,1993.0,Male,60,NR,Indoor
6.52,,GER,Leipzig,GER,2016-02-27,Julian Reus,1988.0,Male,60,NR,Indoor
6.52,,GER,Dortmund,GER,2021-02-20,Kevin Kranz,1998.0,Male,60,NR,Indoor
