result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:14.36,ALG,Sasolburg,RSA,2023-03-11,Djamel Sedjati,1999,Male,600,NR,Outdoor
1:15.14,AUS,Sydney,AUS,2010-02-20,Lachlan Renshaw,1987,Male,600,NR,Outdoor
1:15.35,BEL,Naimette-Xhovémont,BEL,2002-08-27,Joeri Jansen,1979,Male,600,NR,Outdoor
1:14.90,BOT,Pretoria,RSA,2024-02-17,Tumo Nkape,1998,Male,600,NR,Outdoor
1:14.72,CAN,Naimette-Xhovémont,BEL,2003-09-02,Gary Reed,1981,Male,600,NR,Outdoor
1:16.93,FIN,Lahti,FIN,2009-08-05,Mikko Lahtio,1984,Male,600,NR,Outdoor
1:15.71,IRL,Amsterdam,NED,2015-09-05,Mark English,1993,Male,600,NR,Outdoor
1:14.41,ITA,Rovereto,ITA,2000-08-30,Andrea Longo,1975,Male,600,NR,Outdoor
1:13.10,KEN,Birmingham,GBR,2016-06-05,David Rudisha,1988,Male,600,NR,Outdoor
1:19.04,LBR,Sydney,AUS,2000-09-11,Bobby True,1977,Male,600,NR,Outdoor
1:14.55,POL,Lahti,FIN,2009-08-05,Adam Kszczot,1989,Male,600,NR,Outdoor
1:13.97,PUR,Carolina,PUR,2023-03-18,Ryan Sanchez,1998,Male,600,NR,Outdoor
1:14.72,SUI,Bellinzona,SUI,1999-09-01,André Bucher,1976,Male,600,NR,Outdoor
1:22.03,SWE,Sollentuna,SWE,2013-08-05,Daniel Norberg,1978,Male,600,NR,Outdoor
1:15.77,TTO,Naimette-Xhovémont,BEL,2005-07-20,Sherridan Kirk,1981,Male,600,NR,Outdoor
1:17.88,TUR,Istanbul,TUR,2003-06-14,Selahattin Çobanoğlu,1985,Male,600,NR,Outdoor
1:21.48,ANT,Columbus,USA,2001-02-17,Elliott Mason,,Male,600,NR,Indoor
1:15.12,BAR,Albuquerque,USA,2022-02-04,Jonathan Jones,1999,Male,600,NR,Indoor
1:16.01,DOM,Montréal,CAN,2015-02-21,Luguelín Santos,1992,Male,600,NR,Indoor
1:16.23,ESP,Valencia,ESP,2012-03-03,Antonio Manuel Reina,1981,Male,600,NR,Indoor
1:15.31,GBR,Albuquerque,USA,2019-02-02,Thomas Staines,1998,Male,600,NR,Indoor
1:17.56,GRN,Gainesville,USA,2024-03-02,Michael Francois,1999,Male,600,NR,Indoor
1:15.99,GUY,Staten Island,USA,2022-02-25,Quamel Prince,1994,Male,600,NR,Indoor
1:15.77,ITA,Genova,ITA,1984-02-04,Donato Sabia,1963,Male,600,NR,Indoor
1:14.97,KEN,Albuquerque,USA,2017-01-20,Emmanuel Korir,1995,Male,600,NR,Indoor
1:17.35,LBR,Madison,USA,1999-02-21,Bobby True,1977,Male,600,NR,Indoor
1:17.20,LTU,Moskva,RUS,2010-02-07,Vitalij Kozlov,1987,Male,600,NR,Indoor
1:46.32,MNE,Beograd,SRB,2017-12-24,Danilo Vujicic,2003,Male,600,NR,Indoor
1:15.86,NOR,Stange,NOR,1998-01-24,Vebjørn Rodal,1972,Male,600,NR,Indoor
1:15.09,RUS,Yekaterinburg,RUS,2024-01-07,Saveliy Savlukov,2000,Male,600,NR,Indoor
1:21.09,SKN,Cambridge,USA,2024-01-21,Jaylen Bennett,2007,Male,600,NR,Indoor
1:16.12,SUD,Moskva,RUS,2010-02-07,Ahmad Ismail,1984,Male,600,NR,Indoor
1:24.31,SWE,Sätra,SWE,2010-12-04,Mattias Sunneborn,1970,Male,600,NR,Indoor
1:16.19,TTO,New York,USA,2013-02-16,Jarrin Solomon,1986,Male,600,NR,Indoor
1:13.77,USA,Staten Island,USA,2019-02-24,Donavan Brazier,1997,Male,600,NR,Indoor
1:16.42,VIN,State College,USA,2024-01-27,Handal Roban,2002,Male,600,NR,Indoor
