result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
39.90,AFG,Kaboul,AFG,1941-01-01,Abdoul Hakim,,Male,DT,NR,Outdoor
51.16,AHO,Rotterdam,NED,1958-06-08,Lambertus Rebel,,Male,DT,NR,Outdoor
35.39,AIA,Cobleskill,USA,2002-04-27,Andre Samuel,,Male,DT,NR,Outdoor
53.66,ALB,Elbasan,ALB,1996-06-18,Dhimitraq Cepa,1964,Male,DT,NR,Outdoor
61.78,ALG,Veszprém,HUN,2023-06-17,Oussama Khennoussi,1999,Male,DT,NR,Outdoor
48.74,AND,Barcelona,ESP,2000-07-30,Àngel Moreno,1975,Male,DT,NR,Outdoor
49.72,ANG,Luanda,ANG,1991-02-23,Antonio Réais,,Male,DT,NR,Outdoor
42.79,ANT,Kingston,JAM,1960-07-24,Henry Greaux,,Male,DT,NR,Outdoor
66.32,ARG,Rosario,ARG,2006-04-15,Jorge Balliengo,1978,Male,DT,NR,Outdoor
60.12,ARM,Moskva,URS,1990-06-15,Gennadiy Bargesyan,1972,Male,DT,NR,Outdoor
34.65,ARU,Willemstad,NED,2018-07-08,Ericko Pieternella,,Male,DT,NR,Outdoor
50.17,ASA,San Diego,USA,1990-08-01,Frederick Morgan,1965,Male,DT,NR,Outdoor
68.43,AUS,Eugene,USA,2023-09-17,Matt Denny,1996,Male,DT,NR,Outdoor
70.68,AUT,Schwechat,AUT,2023-05-19,Lukas Weißhaidinger,1992,Male,DT,NR,Outdoor
56.86,AZE,Baku,URS,1982-06-19,Rauf Tarzumanov,,Male,DT,NR,Outdoor
67.10,BAH,Nassau,BAH,1986-06-14,Brad Cooper,1957,Male,DT,NR,Outdoor
44.98,BAN,Dhaka,BAN,2010-02-06,Azharul Islam,,Male,DT,NR,Outdoor
55.64,BAR,Houston,USA,2021-03-18,Triston Gibbons,1999,Male,DT,NR,Outdoor
41.93,BDI,Bujumbura,BDI,1988-07-31,Domitien Nsabimana,,Male,DT,NR,Outdoor
67.26,BEL,Doha,QAT,2016-05-06,Philip Milanov,1991,Male,DT,NR,Outdoor
43.85,BEN,Porto Novo,BEN,2018-07-14,Romainio Houndeladji,1990,Male,DT,NR,Outdoor
45.14,BER,Hamilton,CAN,1979-03-25,Dilton Woodley,,Male,DT,NR,Outdoor
39.00,BHU,Phuntsholing,BHU,2003-01-21,Tamjang Tashi,,Male,DT,NR,Outdoor
63.50,BIH,Gorizia,ITA,1990-05-06,Dragan Mustapić,1963,Male,DT,NR,Outdoor
41.11,BIZ,Norwalk,USA,2011-04-16,Khambrell Gomez,,Male,DT,NR,Outdoor
69.44,BLR,Indianapolis,USA,1982-07-03,Georgiy Kolnootchenko,1959,Male,DT,NR,Outdoor
52.11,BOL,Barquisimeto,VEN,2011-07-28,Donald Olmos,1985,Male,DT,NR,Outdoor
46.50,BOT,Gaborone,BOT,2010-12-06,Tonic Taukobong,,Male,DT,NR,Outdoor
65.55,BRA,La Jolla,USA,2013-04-27,Ronald Julião,1985,Male,DT,NR,Outdoor
55.73,BRN,Brest,BLR,2021-06-01,Marawan Medany,2000,Male,DT,NR,Outdoor
44.80,BRU,Bandar Seri Begawan,BRU,1998-11-01,Aziz Al-Ukbar Badaruddin,,Male,DT,NR,Outdoor
67.82,BUL,Riga,URS,1978-08-13,Velko Velev,1948,Male,DT,NR,Outdoor
58.56,BUR,Abbeville,FRA,2023-07-01,Thimotee Lingani,1993,Male,DT,NR,Outdoor
63.78,CAF,Sorgues,CAF,1994-07-07,Mickaël Conjungo,1968,Male,DT,NR,Outdoor
45.90,CAM,Phnom Penh,CAM,1969-08-16,Nhem Yeav,,Male,DT,NR,Outdoor
67.88,CAN,Abilene,USA,1998-05-14,Jason Tunks,1975,Male,DT,NR,Outdoor
45.36,CAY,Orlando,USA,2005-04-30,Michael Letterlough,1984,Male,DT,NR,Outdoor
54.30,CGO,Benslimane,MAR,2016-04-16,Franck Elemba,1990,Male,DT,NR,Outdoor
48.80,CHA,N'Djamena,CHA,1974-01-01,Fabien Simkadi,,Male,DT,NR,Outdoor
67.02,CHI,Philadelphia,USA,2022-04-30,Claudio Romero,2000,Male,DT,NR,Outdoor
65.16,CHN,Nanjing,CHN,1996-05-07,Li Shaojie,1975,Male,DT,NR,Outdoor
