result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
6136,AFG,Papenburg,GER,2018-06-03,Said Gilani,1996,Male,Dec,NR
6487,AHO,Emmeloord,NED,1997-05-18,Ivor Landburg,,Male,Dec,NR
5313,AIA,Uniondale NY,USA,2002-05-10,Andre Samuel,,Male,Dec,NR
7261,ALB,Beijing,CHN,1975-05-09,Skender Rexhepi,1953,Male,Dec,NR
8521,ALG,Río de Janeiro,BRA,2016-08-18,Larbi Bouraada,1988,Male,Dec,NR
6204,AND,Andorra,AND,1999-06-27,Esteve Martín,1975,Male,Dec,NR
6381,ANG,Madrid,ESP,1989-08-05,Afonso Deslandes,1961,Male,Dec,NR
6027,ANT,London,GBR,1970-09-27,Calvin Greenaway,1948,Male,Dec,NR
8291,ARG,Provo UT,USA,1983-06-23,Tito Steiner,1952,Male,Dec,NR
6806,ARM,Kropotkin,USA,1974-04-26,Onik Khachatryan,,Male,Dec,NR
6021,ARU,Amstelveen,NED,1988-09-26,Freddy Burgos,1959,Male,Dec,NR
6572,ASA,Lancaster,GBR,2010-05-22,Aaron Victorian,1988,Male,Dec,NR
8649,AUS,Tokyo,JPN,2021-08-05,Ashley Moloney,2000,Male,Dec,NR
8320,AUT,Götzis,AUT,1993-05-30,Gernot Kellermayr,1966,Male,Dec,NR
7359,AZE,Baku,URS,1977-05-22,Valeriy Deryabin,,Male,Dec,NR
7866,BAH,Eugene OR,USA,2022-07-24,Ken Mullings,1997,Male,Dec,NR
7777,BAR,Athína,GRE,1997-08-06,Victor Houston,1974,Male,Dec,NR
5320,BDI,Bruxelles,BEL,1986-08-24,Jérôme Rutayisire,,Male,Dec,NR
8519,BEL,Götzis,AUT,2012-05-27,Hans Van Alphen,1982,Male,Dec,NR
4761,BEN,Porto Novo,BEN,1957-06-16,John Godonou-Dossou,,Male,Dec,NR
6909,BER,Tuscaloosa AL,USA,1987-05-15,Brooke Onley,,Male,Dec,NR
6653,BIH,Sarajevo,YUG,1966-09-17,Esad Vilić,1935,Male,Dec,NR
5920,BIZ,San Pedro Sula,USA,1997-12-13,Michael McKoy,1978,Male,Dec,NR
8735,BLR,Götzis,AUT,1994-05-29,Eduard Hämäläinen,1969,Male,Dec,NR
5885,BOL,La Paz,BOL,1976-11-28,Roberto Prado,,Male,Dec,NR
8393,BRA,São Paulo,BRA,2013-06-08,Carlos Chinin,1985,Male,Dec,NR
6731,BRN,Amman,JOR,1983-08-22,Abel Abdullah Sherada,,Male,Dec,NR
5684,BRU,Singapore,SGP,1993-06-14,Demingo Kapal,,Male,Dec,NR
8199,BUL,Sofia,BUL,1981-06-21,Atanas Andonov,1955,Male,Dec,NR
6400,BUR,Ouagadougou,BUR,1993-01-11,Alassane Neya,,Male,Dec,NR
5856,CAF,El Djezair,ALG,1978-07-27,Simon Degoto,,Male,Dec,NR
6156,CAM,Kuala Lumpur,MAS,1971-12-15,Chai Kim San,,Male,Dec,NR
9018,CAN,Tokyo,JPN,2021-08-05,Damian Warner,1989,Male,Dec,NR
6475,CGO,Brazzaville,CGO,2004-07-17,Célestin Mounsambote Nkengue,1985,Male,Dec,NR
3818,CHA,Clermont-Ferrand,FRA,2007-05-27,Louis Magloire Ntankeu,,Male,Dec,NR
8065,CHI,Charlottesville VA,USA,2012-04-20,Gonzalo Barroilhet,1986,Male,Dec,NR
8290,CHN,Götzis,AUT,2005-05-29,Qi Haifeng,1983,Male,Dec,NR
7028,CIV,Arles,FRA,2001-06-10,Yves N'Dabian,1983,Male,Dec,NR
6258,CMR,Nairobi,KEN,1987-08-13,Ernest Tche,1956,Male,Dec,NR
7157,COD,Kladno,CZE,2015-06-13,Florent Lomba,1994,Male,Dec,NR
5244,COK,Nouméa,FRA,1987-12-18,Akanoa William,,Male,Dec,NR
7913,COL,Barranquilla,COL,2018-07-30,José Gregorio Lemos,1991,Male,Dec,NR
6101,CPV,Luso,POR,2011-12-06,Jose Rosa,,Male,Dec,NR
6412,CRC,Guadalajara,ESP,1979-06-17,Roberto Mcfarlane,,Male,Dec,NR
7838,CRO,Austin TX,USA,2022-03-24,Trpimir Široki,1998,Male,Dec,NR
8654,CUB,La Habana,CUB,2009-07-04,Leonel Suárez,1987,Male,Dec,NR
7802,CYP,Vólos,GRE,2000-08-12,Georgios Andréou,1974,Male,Dec,NR
9026,CZE,Götzis,AUT,2001-05-27,Roman Šebrle,1974,Male,Dec,NR
7994,DEN,Götzis,AUT,1988-06-19,Lars Warming,1963,Male,Dec,NR
7518,DOM,Santo Domingo,DOM,2017-06-15,José Miguel Paulino,1997,Male,Dec,NR
8004,ECU,Guayaquil,ECU,2021-05-31,Andy Preciado,1997,Male,Dec,NR
7472,EGY,Al Qâhira,EGY,2002-02-05,Mustafa Taha Hussein,1980,Male,Dec,NR
7517,ESA,Seoul,KOR,1988-09-29,Santiago Mellado,1963,Male,Dec,NR
8526,ESP,Alhama de Murcia,ESP,1998-05-17,Francisco Benet,1968,Male,Dec,NR
8815,EST,Edmonton,CAN,2001-08-07,Erki Nool,1970,Male,Dec,NR
5918,ETH,Nairobi,KEN,1987-12-08,Bekele Tola,,Male,Dec,NR
7397,FIJ,Cape Girardeau,USA,1983-05-24,Albert Miller,1957,Male,Dec,NR
8730,FIN,Athína,GRE,1997-08-06,Eduard Hämäläinen,1969,Male,Dec,NR
9126,FRA,Talence,FRA,2018-09-16,Kevin Mayer,1992,Male,Dec,NR
4871,FSM,Suva,FIJ,2003-09-07,Keitani Graham,,Male,Dec,NR
6013,GAB,Libreville,GAB,1988-03-24,Landry Nzamba Busugu,,Male,Dec,NR
8847,GBR,Los Angeles CA,USA,1984-08-09,Daley Thompson,1958,Male,Dec,NR
5514,GBS,Santiago de Cuba,CUB,1984-02-29,Arnaldo Dos Santos Fernandes,,Male,Dec,NR
7756,GEO,Tbilisi,URS,1968-06-16,Juri Djachkov,,Male,Dec,NR
3752,GEQ,Sabadell,ESP,2007-09-30,Alfonso Ekwunezi Ikuga,,Male,Dec,NR
8832,GER,Mannheim,GER,1984-06-09,Jürgen Hingsen,1958,Male,Dec,NR
7811,GHA,Charlottesville VA,USA,2017-04-22,Atsu Nyamadi,1994,Male,Dec,NR
8069,GRE,Ibach,SUI,2000-07-02,Pródromos Korkízoglou,1975,Male,Dec,NR
8550,GRN,Talence,FRA,2022-09-18,Lindon Victor,1993,Male,Dec,NR
7448,GUA,Chula Vista CA,USA,2004-06-06,Octavius Gillespie,1979,Male,Dec,NR
4324,GUM,Cheney WA,USA,2008-11-04,Jude Martinez,,Male,Dec,NR
5842,GUY,London,GBR,1959-07-26,Laurence Taitt,,Male,Dec,NR
7128,HAI,Azusa CA,USA,2017-04-13,Josue Louis,1987,Male,Dec,NR
6469,HKG,Hongkong,HKG,2009-03-22,Ng Chit Wing,,Male,Dec,NR
6690,HON,San Pedro Sula,USA,2008-06-28,Darwin Colón,1987,Male,Dec,NR
8554,HUN,Götzis,AUT,2000-06-04,Attila Zsivoczky,1977,Male,Dec,NR
7013,INA,Singapore,SGP,1993-06-14,Julius Uwe,,Male,Dec,NR
7658,IND,Bengaluru,IND,2011-06-12,Bhartender Singh,1988,Male,Dec,NR
7729,IRI,Tehran,IRI,2012-05-25,Hadi Sepehrzad,1983,Male,Dec,NR
7882,IRL,Emmitsburg MD,USA,1988-06-05,Carlos O'Connell,1963,Male,Dec,NR
7271,IRQ,Mashhad,IRI,2021-04-12,Abdul Sajjad Saadoun Nasser,1995,Male,Dec,NR
8573,ISL,Götzis,AUT,1998-05-31,Jón Arnar Magnússon,1969,Male,Dec,NR
7343,ISR,Des Moines IA,USA,2022-05-14,Ariel Attias,1999,Male,Dec,NR
5416,ISV,Santo Domingo,DOM,1981-07-11,Nathan Taylor,,Male,Dec,NR
8218,ITA,München,GER,2022-08-16,Dario Dester,2000,Male,Dec,NR
6609,IVB,Indianapolis IN,USA,1987-08-13,Paul Hewlett,1961,Male,Dec,NR
8644,JAM,Osaka,JPN,2007-09-01,Maurice Smith,1980,Male,Dec,NR
6586,JOR,Irbid,JOR,1999-08-14,Hassan Sobhi,,Male,Dec,NR
8308,JPN,Nagano,JPN,2014-06-01,Keisuke Ushiro,1986,Male,Dec,NR
8725,KAZ,Athína,GRE,2004-08-24,Dmitriy Karpov,1981,Male,Dec,NR
7076,KEN,Brisbane,AUS,1982-10-05,Charles Kokoyo,1955,Male,Dec,NR
7566,KGZ,Frunze,USA,1978-04-30,Gennadi Balakshi,,Male,Dec,NR
4069,KIR,Mata-Utu,FRA,2013-04-09,Boitu Baiteke,1990,Male,Dec,NR
7860,KOR,Daegu,KOR,2011-08-28,Kim Kun-Woo,1980,Male,Dec,NR
7677,KSA,Doha,QAT,2011-12-20,Mohammed Al-Qaree,1988,Male,Dec,NR
7838,KUW,Doha,QAT,2019-04-23,Majed Radhi Mubarak Al-Sayed,1993,Male,Dec,NR
6298,LAO,Vientiane,LAO,2009-12-14,Oudonsak Chanthavong,,Male,Dec,NR
8312,LAT,Valmiera,LAT,2011-06-05,Edgars Eriņš,1986,Male,Dec,NR
6186,LBA,Dimashq,LBA,2001-05-10,Imad Koueb,,Male,Dec,NR
6873,LBN,El Djezair,ALG,1975-08-30,Elie Sfeir,,Male,Dec,NR
8025,LBR,Eugene OR,USA,2008-06-30,Jangy Addy,1985,Male,Dec,NR
7632,LCA,Tucson AZ,USA,1998-03-27,Dominic Johnson,1975,Male,Dec,NR
6629,LIE,Tokyo,JPN,1964-10-20,Alois Büchel,1941,Male,Dec,NR
8437,LTU,Stayki,URS,1988-07-03,Rišardas Malachovskis,1965,Male,Dec,NR
7484,LUX,Bruxelles,BEL,1985-06-23,Marc Kemp,1960,Male,Dec,NR
7685,MAD,Réduit,MRI,2011-04-17,Ali Kamé,1984,Male,Dec,NR
7359,MAR,Meknès,MAR,2004-07-08,Hakim Alaoui,1971,Male,Dec,NR
7359,MAR,Meknès,MAR,2004-08-07,Hakim Moulay R. Alaoui,,Male,Dec,NR
7095,MAS,Filderstadt,GER,2003-06-08,Mohd Malik Tobias,1981,Male,Dec,NR
6154,MAW,München,FRG,1972-08-09,Wilfred Mwalawanda-Ngwenya,1944,Male,Dec,NR
8288,MDA,Moskva,URS,1980-06-21,Valeriy Kachanov,1954,Male,Dec,NR
7614,MEX,Medellín,COL,1996-05-11,Alejandro Cárdenas,1974,Male,Dec,NR
5945,MGL,Ulan Bator,MGL,1971-06-30,Dambo Damdinsuren,,Male,Dec,NR
5896,MKD,Beograd,YUG,1988-06-05,Goran Ackovski,1968,Male,Dec,NR
5903,MLI,Béziers,FRA,1982-04-18,Bassan Bagayoko,,Male,Dec,NR
5000,MLT,Bedford,GBR,2017-05-28,Kevin Cranmer,1979,Male,Dec,NR
7846,MNE,Götzis,AUT,2017-05-28,Darko Pešić,1992,Male,Dec,NR
6216,MNT,San Juan,PUR,1990-04-21,Oswald Phillip,,Male,Dec,NR
5683,MON,Nice,FRA,2004-05-15,Anthony de Sevelinges,1978,Male,Dec,NR
5848,MOZ,El Djezair,ALG,1978-06-27,Candido Coelho,,Male,Dec,NR
7591,MRI,Brazzaville,CGO,2015-09-14,Guillaume Thierry,1986,Male,Dec,NR
6526,MYA,Yangon,MYA,1986-01-04,Soe Myint Aung,,Male,Dec,NR
6647,NAM,Humble TX,USA,2021-05-15,Timon Dresselhaus,,Male,Dec,NR
6195,NCA,Panama,PAN,1970-03-07,Donald Velez,1948,Male,Dec,NR
8539,NED,Götzis,AUT,2017-05-28,Eelco Sintnicolaas,1987,Male,Dec,NR
5355,NEP,Pokhara,NEP,1987-09-28,Dambar Singh Kuwar,,Male,Dec,NR
8028,NGR,Düsseldorf,GER,2017-07-29,Ituah Enahoro,1997,Male,Dec,NR
6235,NIG,Saint-Etienne,FRA,2001-03-06,Smael Madougou,,Male,Dec,NR
4552,NIU,Suva,FIJ,1979-07-09,John Kumitau,,Male,Dec,NR
8307,NOR,Grosseto,ITA,2022-05-01,Markus Rooth,2001,Male,Dec,NR
8359,NZL,Christchurch,NZL,1987-03-22,Simon Poelman,1963,Male,Dec,NR
5934,OMA,Dubai,UAE,2012-12-13,Hussein Ali Al-Fedheili,,Male,Dec,NR
