result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1.90,AFG,Kaboul,AFG,1973-01-01,Abdoul Skour,,Male,HJ,NR,Outdoor
2.03,AHO,Medellín,COL,2010-03-20,Quentin Siberie,1993.0,Male,HJ,NR,Outdoor
2.00,AIA,Basseterre,SKN,2014-07-06,Theron Niles,,Male,HJ,NR,Outdoor
2.11,ALB,Tirane,ALB,1988-07-06,Muhamet Abatzi,1963.0,Male,HJ,NR,Outdoor
2.11,ALB,Tirane,ALB,1988-07-06,Muhamet Abazi,,Male,HJ,NR,Outdoor
2.34,ALG,Alger,ALG,2000-07-14,Abderahmane Hammad,1977.0,Male,HJ,NR,Outdoor
2.14,AND,Barcelona,ESP,1996-06-26,Esteve Martín,1975.0,Male,HJ,NR,Outdoor
2.10,ANG,Luanda,ANG,1982-05-09,Orlando Bonifacio,1959.0,Male,HJ,NR,Outdoor
2.27,ANT,Pergine Valsugana,ITA,2007-07-07,James Grayman,1985.0,Male,HJ,NR,Outdoor
2.25,ARG,Ciudad de México,MEX,1988-07-23,Fernando Pastoriza,1965.0,Male,HJ,NR,Outdoor
2.25,ARG,Rosario,ARG,2002-05-11,Erasmo Jara,1976.0,Male,HJ,NR,Outdoor
2.25,ARG,Cochabamba,BOL,2018-06-06,Carlos Layoy,1991.0,Male,HJ,NR,Outdoor
2.16,ARM,Yerevan,URS,1984-07-14,Karen Ardaryan,,Male,HJ,NR,Outdoor
2.16,ARM,Yerevan,URS,1985-06-15,Gerasim Hayrapetyan,,Male,HJ,NR,Outdoor
2.16,ARM,Yerevan,URS,1985-10-15,Edik Mesropyan,,Male,HJ,NR,Outdoor
2.10,ARU,Breda,NED,2006-09-25,Pierre de Windt,1983.0,Male,HJ,NR,Outdoor
1.89,ASA,San José,GUA,2010-12-02,Aaron Victorian,1988.0,Male,HJ,NR,Outdoor
2.36,AUS,Melbourne,AUS,1997-03-02,Tim Forsyth,1973.0,Male,HJ,NR,Outdoor
