result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
1:13:16,AFG,Dushanbe,TJK,2011-04-16,Mohammad Karim Yaqoot,1984,Male,HM,NR
1:56:00,AIA,East Hampton NY,USA,2013-09-28,Vallan Hodge-Richardson,,Male,HM,NR
1:06:37,ALB,Roma,ITA,2021-11-07,David Nikolli,1994,Male,HM,NR
1:01:09,ALG,Aïn Temouchent,MAR,1996-03-29,Kamel Kohil,1971,Male,HM,NR
1:00:04,ALG,Tours,FRA,2023-09-24,Mohammed Benyettou,2000,Male,HM,NR
1:04:22,AND,Valencia,ESP,2019-10-27,Marcos Sanza,1977,Male,HM,NR
1:02:38,ANG,Río de Janeiro,BRA,2000-08-20,João N'Tyamba,1968,Male,HM,NR
1:34:12,ANT,Charlestown,SKN,2014-09-20,Ezra Colbourne,,Male,HM,NR
1:00:45,ARG,Uster,SUI,1998-09-27,Antonio Silio,1966,Male,HM,NR
1:05:38,ARM,San Francisco CA,USA,2010-07-25,Armen Vartanian,1979,Male,HM,NR
1:03:06,ARU,Utrecht,NED,1991-05-01,Kimball Reynierse,1961,Male,HM,NR
1:43:17,ASA,Apia,SAM,1997-12-10,Frank Paaga,1977,Male,HM,NR
59:57,AUS,Marugame,JPN,2020-02-02,Brett Robinson,1991,Male,HM,NR
1:01:42,AUT,Udine,ITA,2007-10-14,Günther Weidlinger,1978,Male,HM,NR
1:01:47,AZE,Istanbul,TUR,2017-04-30,Evans Kiplagat,1988,Male,HM,NR
1:01:30,BDI,Arezzo,ITA,2022-10-30,Therence Bizoza,2004,Male,HM,NR
1:00:18,BEL,Košice,SVK,1997-10-04,Mohammed Mourhit,1970,Male,HM,NR
1:09:44,BEN,Dakar,SEN,2003-02-22,Paulin Agbodji,,Male,HM,NR
1:08:17,BER,Bristol,GBR,2001-10-07,Kavin Smith,1967,Male,HM,NR
1:15:19,BHU,Kavarna,BUL,2012-10-06,Sangay Wangchuk,1983,Male,HM,NR
1:06:18,BIH,Beograd,SRB,2004-04-24,Djuro Kodžo,1971,Male,HM,NR
1:02:32,BLR,Breda,NED,1992-04-10,Viktor Mozgovoy,1961,Male,HM,NR
1:02:50,BOL,Lima,PER,2022-05-01,Vidal Basco,1996,Male,HM,NR
1:01:21,BOT,Durban,RSA,1989-07-23,Matthews Motshwarateu,1958,Male,HM,NR
59:33,BRA,Udine,ITA,2007-10-14,Marílson dos Santos,1977,Male,HM,NR
58:40,BRN,København,DEN,2017-09-17,Abraham Cheroben,1992,Male,HM,NR
1:13:56,BRU,Darwin,AUS,2011-05-14,Sefli Anak Ahar,,Male,HM,NR
1:02:33,BUL,Podgorica,YUG,2002-10-27,Petko Stefanov,1972,Male,HM,NR
1:10:39,BUR,Berlin,GER,2021-08-22,Moctare Simpore,1998,Male,HM,NR
1:05:24,CAF,Romilly,CAF,1997-04-27,Ernest Ndjissipou,1974,Male,HM,NR
1:09:04,CAM,Paris,FRA,2012-04-15,Bunting Hem,1985,Male,HM,NR
