result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
17.44,AFG,Islamabad,PAK,2004-04-05,Najibullah Najm,1985,Male,HT,NR,Outdoor
58.58,AHO,Breda,NED,2010-08-28,Jasper Christiaan,1984,Male,HT,NR,Outdoor
76.96,ALB,Espoo,FIN,2008-06-22,Dorian Çollaku,1977,Male,HT,NR,Outdoor
74.76,ALG,Alger,ALG,1998-08-08,Hakim Toumi,1961,Male,HT,NR,Outdoor
47.77,AND,Andorra,AND,2002-12-18,Joan Valls,1982,Male,HT,NR,Outdoor
52.44,ANG,Luanda,ANG,1982-06-06,Jorge Cruz,,Male,HT,NR,Outdoor
31.82,ANT,St Louis,USA,2016-04-08,Lethan Nelson,,Male,HT,NR,Outdoor
76.42,ARG,Trieste,ITA,2001-07-25,Juan Ignacio Cerra,1976,Male,HT,NR,Outdoor
71.48,ARM,Riga,URS,1984-06-02,Georg Markaryan,1962,Male,HT,NR,Outdoor
25.30,ARU,Málaga,ESP,2018-09-04,Ericko Pieternella,,Male,HT,NR,Outdoor
39.40,ASA,Nouméa,FRA,1987-09-12,Taulagi Sualevai,,Male,HT,NR,Outdoor
79.29,AUS,Varaždin,CRO,2002-07-06,Stuart Rendell,1972,Male,HT,NR,Outdoor
79.70,AUT,Schwechat,AUT,1987-06-24,Johann Lindner,1956,Male,HT,NR,Outdoor
79.56,AZE,Minsk,BLR,2012-06-12,Dzmitry Marshyn,1972,Male,HT,NR,Outdoor
49.74,BAH,Dickinson,USA,2017-04-14,Delron Inniss,,Male,HT,NR,Outdoor
56.54,BAN,Dhaka,BAN,1992-12-22,Monimul Hoque,,Male,HT,NR,Outdoor
54.68,BAR,Hillsdale,USA,2018-05-04,Dequan Lovell,1996,Male,HT,NR,Outdoor
71.76,BEL,Obourg,BEL,1989-09-24,Marnix Verhegge,1961,Male,HT,NR,Outdoor
26.48,BEN,Bondy,FRA,2014-05-22,Enock Lokossou,1991,Male,HT,NR,Outdoor
51.94,BER,Nassau,BAH,2005-07-10,Gabriel Wilkinson,,Male,HT,NR,Outdoor
65.42,BIH,Sarajevo,YUG,1974-06-09,Drazen Goic,,Male,HT,NR,Outdoor
84.62,BLR,Sevilla,ESP,1992-06-06,Igor Astapkovich,1963,Male,HT,NR,Outdoor
53.50,BOL,Cochabamba,BOL,2019-04-14,Manuel Terán,1989,Male,HT,NR,Outdoor
24.94,BOT,Gaborone,BOT,1987-07-25,Jeffrey Dambe,,Male,HT,NR,Outdoor
78.63,BRA,Celje,SLO,2016-06-19,Wagner Domingos,1983,Male,HT,NR,Outdoor
64.68,BRN,Al-Kuwait,KUW,2022-05-18,Mahmoud El-Gohary,1998,Male,HT,NR,Outdoor
42.32,BRU,Bandar Seri Begawan,BRU,2009-12-02,Mohd Hadi Ezlan Abd.Sebad,,Male,HT,NR,Outdoor
82.40,BUL,Plovdiv,BUL,1991-06-01,Plamen Minev,1965,Male,HT,NR,Outdoor
20.72,BUR,Versailles,FRA,2012-05-20,Relwendé Kaboré,1983,Male,HT,NR,Outdoor
38.96,CAF,Antony,FRA,1993-05-26,Mickaël Conjungo,1968,Male,HT,NR,Outdoor
45.38,CAM,Phnom Penh,CAM,1969-08-17,Chun Sin San,,Male,HT,NR,Outdoor
81.25,CAN,Budapest,HUN,2023-08-20,Ethan Katzberg,2002,Male,HT,NR,Outdoor
62.54,CAY,Kamloops,CAN,2011-06-05,Michael Letterlough,1984,Male,HT,NR,Outdoor
42.14,CGO,Brazzaville,CGO,1964-06-13,Maurice Ganougou,,Male,HT,NR,Outdoor
77.70,CHI,Temuco,CHI,2021-05-20,Humberto Mansilla,1996,Male,HT,NR,Outdoor
77.04,CHN,Jinggangshan,CHN,1989-08-04,Bi Zhong,1968,Male,HT,NR,Outdoor
48.21,CIV,Mariano Comense,ITA,2021-02-14,Aye Elyse Boni,2001,Male,HT,NR,Outdoor
45.14,CMR,Obernai,FRA,2005-05-24,Jean-David Ndjock Franz,,Male,HT,NR,Outdoor
29.58,COD,Tours,FRA,2019-04-05,Noah Kalombo Baleka,,Male,HT,NR,Outdoor
48.92,COK,Avarua,COK,1995-05-06,Vainga Tonga,,Male,HT,NR,Outdoor
70.61,COL,Cali,COL,2024-03-16,Fabián Serna,1993,Male,HT,NR,Outdoor
47.85,CPV,Easton,GBR,2022-05-06,Adelino Daveiga,,Male,HT,NR,Outdoor
77.15,CRC,Liberec,CZE,2016-06-12,Roberto Sawyers,1986,Male,HT,NR,Outdoor
80.41,CRO,Marietta,USA,2005-05-29,Andras Haklits,1977,Male,HT,NR,Outdoor
78.02,CUB,La Habana,CUB,2015-05-28,Roberto Janet,1986,Male,HT,NR,Outdoor
75.32,CYP,Trípoli,GRE,2015-05-16,Constantions Stathelakos,1987,Male,HT,NR,Outdoor
81.28,CZE,Pacov,CZE,1999-09-25,Vladimír Maška,1973,Male,HT,NR,Outdoor
77.02,DEN,Bad Köstritz,GER,2002-09-08,Jan Bielecki,1971,Male,HT,NR,Outdoor
61.60,DOM,Santo Domingo,DOM,1984-05-26,Andres Polemir,,Male,HT,NR,Outdoor
62.82,ECU,Cuenca,ECU,2012-09-01,Guillermo Braulio,1991,Male,HT,NR,Outdoor
81.27,EGY,Cairo,EGY,2014-03-21,Mostafa Hicham Al-Gamal,1988,Male,HT,NR,Outdoor
14.88,ERI,Avignon,FRA,2011-08-05,Hadish Mengstab,,Male,HT,NR,Outdoor
61.13,ESA,Canyon,USA,2018-04-07,Enrique Martinez,1998,Male,HT,NR,Outdoor
79.38,ESP,Andújar,ESP,2019-09-06,Javier Cienfuegos,1990,Male,HT,NR,Outdoor
84.40,EST,Banská Bystrica,TCH,1984-09-09,Jüri Tamm,1957,Male,HT,NR,Outdoor
50.72,ETH,Addis Ababa,ETH,2021-04-11,Mentesenot Abebe,,Male,HT,NR,Outdoor
57.56,FIJ,Davis,USA,2018-04-14,Abhineet Ram,,Male,HT,NR,Outdoor
83.30,FIN,Lahti,FIN,2004-07-14,Olli-Pekka Karjalainen,1980,Male,HT,NR,Outdoor
82.38,FRA,Chelles,FRA,2000-06-21,Gilles Dupray,1970,Male,HT,NR,Outdoor
23.76,FSM,Susupe,NMI,2006-06-28,James Cook Siugpiyemal,,Male,HT,NR,Outdoor
12.24,GAB,Talence,FRA,2006-06-05,Edouard Mihindou Mihindou,,Male,HT,NR,Outdoor
44.73,GAM,Redlands,USA,2018-04-27,Alieu Corr,,Male,HT,NR,Outdoor
80.26,GBR,Gold Coast,AUS,2018-04-08,Nick Miller,1993,Male,HT,NR,Outdoor
22.68,GBS,Almada,POR,2005-06-02,Jordao Gomes,,Male,HT,NR,Outdoor
78.12,GEO,Tbilisi,URS,1991-09-29,Iosif Shaverdashvili,1969,Male,HT,NR,Outdoor
20.70,GEQ,Malabo,GEQ,1995-06-17,Castro Santander Laurel,,Male,HT,NR,Outdoor
83.40,GER,Athína,GRE,1988-05-16,Ralf Haber,1962,Male,HT,NR,Outdoor
50.56,GHA,Delaware,USA,2016-05-19,David Dadzie,,Male,HT,NR,Outdoor
80.45,GRE,Athína,GRE,2000-07-09,Aléxandros Papadimitríou,1973,Male,HT,NR,Outdoor
56.51,GRN,San Marcos,USA,2017-04-21,Kellon Alexis,1992,Male,HT,NR,Outdoor
66.50,GUA,Ciudad de Guatemala,GUA,2017-05-13,Diego Berrios,1984,Male,HT,NR,Outdoor
26.18,GUI,Montereau Fault Yonne,FRA,2019-05-04,Mohamed Nabe,2003,Male,HT,NR,Outdoor
55.90,GUM,Liberty,USA,2009-04-04,Justin Andre,1984,Male,HT,NR,Outdoor
60.98,GUY,Cambridge,GBR,1985-05-10,Patrice Parris,,Male,HT,NR,Outdoor
61.19,HAI,Charlotte,USA,2021-04-23,Tony Auguste,1999,Male,HT,NR,Outdoor
65.14,HKG,Taipei,TPE,2015-05-15,Lam Wai,1990,Male,HT,NR,Outdoor
54.36,HON,Tegucigalpa,HON,1996-08-17,Enrique Reina,1968,Male,HT,NR,Outdoor
84.19,HUN,Szombathely,HUN,2003-08-10,Adrián Annus,1974,Male,HT,NR,Outdoor
55.96,INA,Jakarta,INA,2011-07-02,Dudung Suhendi,1986,Male,HT,NR,Outdoor
72.86,IND,Tucson,USA,2015-05-21,Kamalpreet Singh,1987,Male,HT,NR,Outdoor
77.40,IRI,Zhirovichi,BLR,2016-07-08,Kaveh Mousavi,1985,Male,HT,NR,Outdoor
77.80,IRL,Walnut,USA,1985-04-28,Declan Hegarty,1960,Male,HT,NR,Outdoor
64.12,IRQ,Al Najaf,IRQ,2021-05-01,Hussein Thamir Abdelwahed,1997,Male,HT,NR,Outdoor
77.10,ISL,Hafnarfjördur,ISL,2020-08-27,Hilmar Örn Jónsson,1996,Male,HT,NR,Outdoor
65.70,ISR,Tel Aviv,ISR,1995-05-06,Igor Giller,1966,Male,HT,NR,Outdoor
81.64,ITA,Ostia,ITA,1997-03-09,Enrico Sgrulletti,1965,Male,HT,NR,Outdoor
53.71,IVB,Lake Charles,USA,2024-03-09,Diamante Gumbs,2000,Male,HT,NR,Outdoor
70.93,JAM,Kingston,JAM,2017-06-24,Caniggia Raynor,1990,Male,HT,NR,Outdoor
57.36,JOR,Doha,QAT,2017-04-26,Ahmad Amer Hawaftnah,,Male,HT,NR,Outdoor
84.86,JPN,Praha,CZE,2003-06-29,Koji Murofushi,1974,Male,HT,NR,Outdoor
77.60,KAZ,Alma-Ata,URS,1977-06-27,Vladimir Lesovoy,1947,Male,HT,NR,Outdoor
62.57,KEN,Asaba,NGR,2018-08-04,Dominic Abunda,1993,Male,HT,NR,Outdoor
