result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
5911,ALG,Paris,FRA,2010-02-28,Larbi Bouraada,1988.0,Male,Hep,NR,Indoor
4766,AND,Vilafranca,ESP,1998-01-25,Esteve Martín,1975.0,Male,Hep,NR,Indoor
5608,ARG,Madison WI,USA,2002-01-26,Santiago Lorenzo,1978.0,Male,Hep,NR,Indoor
6344,AUS,Beograd,SRB,2022-03-19,Ashley Moloney,2000.0,Male,Hep,NR,Indoor
6065,AUT,Wien,AUT,2010-02-21,Roland Schwarzl,1980.0,Male,Hep,NR,Indoor
6340,BAH,Champaign IL,USA,2024-01-27,Ken Mullings,1997.0,Male,Hep,NR,Indoor
5604,BAR,Virginia Beach VA,USA,2023-03-11,Aaron Worrell,1995.0,Male,Hep,NR,Indoor
6259,BEL,Sopot,POL,2014-03-08,Thomas Van Der Plaetsen,1990.0,Male,Hep,NR,Indoor
4721,BIH,Beograd,SRB,2024-02-24,Luka Ivicic,2003.0,Male,Hep,NR,Indoor
6303,BLR,Sopot,POL,2014-03-08,Andrei Krauchanka,1986.0,Male,Hep,NR,Indoor
5951,BRA,Tallinn,EST,2014-02-08,Carlos Chinin,1985.0,Male,Hep,NR,Indoor
5853,BUL,Sofia,BUL,1981-03-11,Atanas Andonov,1955.0,Male,Hep,NR,Indoor
6489,CAN,Beograd,SRB,2022-03-19,Damian Warner,1989.0,Male,Hep,NR,Indoor
5951,CHI,Fayetteville AR,USA,2008-03-15,Gonzalo Barroilhet,1986.0,Male,Hep,NR,Indoor
5813,CHN,Chengdu,CHN,2021-03-13,Sun Qihao,2000.0,Male,Hep,NR,Indoor
5381,CIV,Eaubonne,FRA,2001-02-11,Yves N'Dabian,1983.0,Male,Hep,NR,Indoor
5667,CRO,Lubbock TX,USA,2022-01-29,Trpimir Široki,1998.0,Male,Hep,NR,Indoor
5964,CUB,Tallinn,EST,2010-02-13,Leonel Suárez,1987.0,Male,Hep,NR,Indoor
5895,CYP,Pireás,GRE,2000-02-12,Georgios Andréou,1974.0,Male,Hep,NR,Indoor
6438,CZE,Budapest,HUN,2004-03-07,Roman Šebrle,1974.0,Male,Hep,NR,Indoor
5613,DEN,Randers,DEN,2024-02-04,Christian Gundersen,1999.0,Male,Hep,NR,Indoor
