result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
49.59,AFG,Papenburg,GER,2014-06-29,Said Gilani,1996.0,Male,JT,NR,Outdoor
55.90,AHO,Eindhoven,NED,1987-09-02,James Sharpe,1962.0,Male,JT,NR,Outdoor
62.58,AIA,Edwardsville IL,USA,2009-05-21,Samek Connor,,Male,JT,NR,Outdoor
67.32,ALB,Tirane,ALB,1999-05-04,Vladimir Sokoli,1976.0,Male,JT,NR,Outdoor
70.20,ALG,Tunis,TUN,1986-08-07,Ahmed Mahour Bacha,1961.0,Male,JT,NR,Outdoor
61.64,AND,Pamplona,ESP,1998-07-18,Adriàn Pérez,1966.0,Male,JT,NR,Outdoor
64.73,ANG,Lisboa,POR,2018-05-09,Esmeraldino Trigo,1996.0,Male,JT,NR,Outdoor
66.10,ANT,Basseterre,SKN,2014-07-06,Jeffrey Skerrit,,Male,JT,NR,Outdoor
83.32,ARG,Beijing,CHN,2015-08-24,Braian Toledo,1993.0,Male,JT,NR,Outdoor
79.71,ARM,Adler,RUS,2012-02-18,Melik Janoyan,1985.0,Male,JT,NR,Outdoor
61.29,ARU,Den Haag,NED,2017-05-20,Pierre de Windt,1983.0,Male,JT,NR,Outdoor
89.02,AUS,Brisbane,AUS,2008-02-29,Jarrod Bannister,1984.0,Male,JT,NR,Outdoor
84.03,AUT,Kapfenberg,AUT,1999-07-18,Gregor Högler,1972.0,Male,JT,NR,Outdoor
61.18,AZE,Baku,AZE,2019-05-25,Orkhan Gasimov,1993.0,Male,JT,NR,Outdoor
84.27,BAH,Austin TX,USA,2023-03-31,Keyshawn Strachan,2003.0,Male,JT,NR,Outdoor
64.05,BAN,Dhaka,BAN,2017-12-23,Mohamed Moniruzzaman,,Male,JT,NR,Outdoor
78.71,BAR,St. Georges,GRN,2017-04-08,Janeil Craigg,1994.0,Male,JT,NR,Outdoor
61.95,BDI,Bujumbura,BDI,1992-09-06,Joseph Kanjobi,,Male,JT,NR,Outdoor
87.35,BEL,Nairobi,KEN,2023-05-13,Timothy Herman,1990.0,Male,JT,NR,Outdoor
64.95,BEN,Kinshasa,COD,2023-08-04,Romaric Huoénou,1998.0,Male,JT,NR,Outdoor
62.12,BER,Tuscaloosa AL,USA,1987-05-15,Brooke Onley,,Male,JT,NR,Outdoor
50.50,BHU,Thimphu,BHU,2005-02-05,Tzehi Wangshan,,Male,JT,NR,Outdoor
81.63,BIH,Zenica,BIH,2016-06-18,Dejan Mileusnic,1991.0,Male,JT,NR,Outdoor
51.93,BIZ,Managua,NCA,2012-06-17,Arlen Kyle Pou,,Male,JT,NR,Outdoor
87.53,BLR,Minsk,BLR,2022-02-08,Aliaksei Katkavets,1998.0,Male,JT,NR,Outdoor
67.93,BOL,Cochabamba,BOL,2021-06-17,Melbin Soto,1997.0,Male,JT,NR,Outdoor
80.49,BOT,Gaborone,BOT,2015-05-31,Adriaan Beukes,1994.0,Male,JT,NR,Outdoor
83.89,BRA,São Paulo,BRA,2023-05-10,Pedro Henrique Rodrigues,1999.0,Male,JT,NR,Outdoor
64.38,BRN,Tallinn,EST,1994-08-02,Youcef Bou Khamas,,Male,JT,NR,Outdoor
55.84,BRU,Kota Kinabalu,MAS,2002-09-12,Jean Merbai Ak Biju,1984.0,Male,JT,NR,Outdoor
83.40,BUL,Cluj-Napoca,ROU,2020-09-20,Mark Slavov,1994.0,Male,JT,NR,Outdoor
61.00,BUR,Ouagadougou,BUR,1993-05-30,Calixte Quedraogo,,Male,JT,NR,Outdoor
62.62,CAF,Argentan,FRA,1999-12-06,Mickaël Conjungo,1968.0,Male,JT,NR,Outdoor
42.30,CAM,Phnom Penh,CAM,2016-10-30,Kompeak Chorn,,Male,JT,NR,Outdoor
84.81,CAN,Toronto,CAN,2011-07-13,Scott Russell,1979.0,Male,JT,NR,Outdoor
75.38,CAY,Eugene OR,USA,2017-06-07,Alexander Pascal,1994.0,Male,JT,NR,Outdoor
68.61,CGO,Brazzaville,CGO,2010-05-24,Jean Michel Matsounga,,Male,JT,NR,Outdoor
54.42,CHA,N'Djamena,CHA,1996-06-04,Dillah Naiwala,,Male,JT,NR,Outdoor
78.69,CHI,Gainesville FL,USA,2011-04-01,Ignacio Guerra,1987.0,Male,JT,NR,Outdoor
89.15,CHN,Incheon,KOR,2014-10-02,Zhao Qinggang,1985.0,Male,JT,NR,Outdoor
71.56,CIV,Tours,FRA,1987-07-14,Leonard Koffi Kouadio,,Male,JT,NR,Outdoor
71.44,CMR,Rabat,MAR,2019-08-30,Claude Chamaken,1988.0,Male,JT,NR,Outdoor
60.76,COD,Kinshasa,CMR,1996-06-23,Otanda Kinimalebo,,Male,JT,NR,Outdoor
57.18,COK,Nikao,COK,2009-09-24,Daniel Tutai,1992.0,Male,JT,NR,Outdoor
82.39,COL,Medellín,COL,2016-07-10,Dairon Márquez,1983.0,Male,JT,NR,Outdoor
53.97,COM,Miramas,FRA,2010-05-23,Maoulida Daroueche,1990.0,Male,JT,NR,Outdoor
65.54,CPV,Lisboa,POR,2014-02-01,Egner Tavares,1993.0,Male,JT,NR,Outdoor
73.22,CRC,San José3,CRC,2023-05-07,Ivan Jose Sibaja,2000.0,Male,JT,NR,Outdoor
82.70,CRO,Zagreb,CRO,1992-07-25,Ivan Mustapić,1966.0,Male,JT,NR,Outdoor
87.20,CUB,Guadalajara2,MEX,2011-10-28,Guillermo Martínez,1981.0,Male,JT,NR,Outdoor
77.65,CYP,Nicosia,CYP,2019-05-19,Paraskevás Batzávalis,1994.0,Male,JT,NR,Outdoor
98.48,CZE,Jena,GER,1996-05-25,Jan Železný,1966.0,Male,JT,NR,Outdoor
81.22,DEN,København,DEN,1989-08-05,Kenneth Petersen,1965.0,Male,JT,NR,Outdoor
36.49,DJI,Djibouti,DJI,2008-04-18,Saad Ali Farah,,Male,JT,NR,Outdoor
68.79,DMA,Chihuahua,MEX,2019-06-01,Andre Bazil,1991.0,Male,JT,NR,Outdoor
71.00,DOM,Montclair NJ,USA,2000-03-24,Daniel Alonso,,Male,JT,NR,Outdoor
74.68,ECU,Cuenca,ECU,2015-03-15,José Escobar,1991.0,Male,JT,NR,Outdoor
89.21,EGY,Shanghai,CHN,2014-05-18,Ihab Abdelrahman,1989.0,Male,JT,NR,Outdoor
49.25,ERI,Aarau,SUI,2021-09-18,Tesfay Misgun,,Male,JT,NR,Outdoor
72.70,ESA,Maracaibo,VEN,1998-08-19,Fernando Palomo,1972.0,Male,JT,NR,Outdoor
84.80,ESP,Chorzów,POL,2021-05-29,Odel Jainaga,1997.0,Male,JT,NR,Outdoor
90.61,EST,Kuortane,FIN,2019-06-22,Magnus Kirt,1990.0,Male,JT,NR,Outdoor
73.28,ETH,Hawassa,ETH,2022-04-01,Otag Ubang,,Male,JT,NR,Outdoor
81.76,FIJ,Sydney,AUS,2016-04-03,Leslie Copeland,1988.0,Male,JT,NR,Outdoor
93.09,FIN,Kuortane,FIN,1999-06-26,Aki Parviainen,1974.0,Male,JT,NR,Outdoor
