result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
7.53,-0.8,AFG,Mashhad,IRI,2021-04-12,Mohammad Reza Firouzkoohi,1999.0,Male,LJ,NR,Outdoor
7.68,,AHO,Amsterdam,NED,1993-07-24,Ellsworth Manuel,1968.0,Male,LJ,NR,Outdoor
6.96,,AIA,Baltimore MD,USA,2011-04-23,Denvil Ruan,1989.0,Male,LJ,NR,Outdoor
8.16,1.7,ALB,Tirane,ALB,2021-05-08,Izmir Smajlaj,1993.0,Male,LJ,NR,Outdoor
8.26,0.7,ALG,Zaragoza,ESP,2007-07-28,Issam Nima,1979.0,Male,LJ,NR,Outdoor
7.57,0.0,AND,Castellón,ESP,2000-06-25,Esteve Martín,1975.0,Male,LJ,NR,Outdoor
7.52,,ANG,Cairo,EGY,1991-09-24,Afonso Ferraz,1964.0,Male,LJ,NR,Outdoor
8.02,,ANT,Baton Rouge LA,USA,1984-05-12,Lester Benjamin,1963.0,Male,LJ,NR,Outdoor
7.77,0.6,ARG,Rosario,ARG,2003-12-06,Eric Kerwitz,1980.0,Male,LJ,NR,Outdoor
8.86,1.9,ARM,Tsakhkadzor,URS,1987-05-22,Robert Emmiyan,1965.0,Male,LJ,NR,Outdoor
7.72,1.9,ARU,Cartagena2,COL,2015-05-16,Quincy Breell,1992.0,Male,LJ,NR,Outdoor
7.21,,ASA,Malaeola,NZL,2021-04-01,Theodore Malepeai-Tofaeono,,Male,LJ,NR,Outdoor
8.54,1.7,AUS,Stockholm/S,SWE,2011-07-29,Mitchell Watt,1988.0,Male,LJ,NR,Outdoor
8.30,2.0,AUT,Innsbruck,AUT,1988-06-04,Andreas Steiner,1964.0,Male,LJ,NR,Outdoor
8.08,,AZE,Leningrad,URS,1981-07-11,Vladimir Tsepelyov,1956.0,Male,LJ,NR,Outdoor
8.41,1.5,BAH,Nassau,BAH,1993-06-17,Craig Hepburn,1969.0,Male,LJ,NR,Outdoor
7.61,,BAN,Dhaka,BAN,2009-04-03,Mohamed Ali Amin,1990.0,Male,LJ,NR,Outdoor
7.88,1.0,BAR,Charlotte NC,USA,2018-05-24,Charles Greaves,1994.0,Male,LJ,NR,Outdoor
7.14,,BDI,Al Qâhira,EGY,1991-09-23,Christophe Ntirandekura,,Male,LJ,NR,Outdoor
8.25,0.2,BEL,Hechtel,BEL,1996-07-06,Erik Nijs,1973.0,Male,LJ,NR,Outdoor
7.97,,BEN,Porto Novo,BEN,2018-07-15,Romeo N'tia,1995.0,Male,LJ,NR,Outdoor
8.34,2.0,BER,Houston TX,USA,2017-05-05,Tyrone Smith,1984.0,Male,LJ,NR,Outdoor
6.74,,BHU,Thimphu,BHU,2016-07-08,Tashi Dendup,1998.0,Male,LJ,NR,Outdoor
7.63,,BIH,Celje,YUG,1968-08-10,Milan Babic,1943.0,Male,LJ,NR,Outdoor
7.76,0.0,BIZ,Maracaibo,VEN,1998-08-16,Michael McKoy,1978.0,Male,LJ,NR,Outdoor
8.33,0.4,BLR,Sestriere,ITA,1996-08-07,Aleksandr Glavatskiy,1970.0,Male,LJ,NR,Outdoor
7.41,,BOL,Cochabamba,BOL,1996-05-24,Ramiro Villarroel,,Male,LJ,NR,Outdoor
8.27,0.9,BOT,Rhede,GER,2006-08-20,Gable Garenamotse,1979.0,Male,LJ,NR,Outdoor
8.40,1.4,BRA,São Paulo,BRA,1995-02-15,Douglas de Souza,1972.0,Male,LJ,NR,Outdoor
7.47,0.5,BRN,Al-Kuwait,KUW,2003-10-08,Mohamed Imam Bakhash,1977.0,Male,LJ,NR,Outdoor
7.04,,BRU,Kota Kinabalu,MAS,1993-08-07,Daniel Chung,,Male,LJ,NR,Outdoor
8.33,0.7,BUL,Sevilla,ESP,1995-06-03,Ivaylo Mladenov,1973.0,Male,LJ,NR,Outdoor
8.00,-0.3,BUR,Viry-Châtillon,FRA,1998-06-21,Franck Zio,1971.0,Male,LJ,NR,Outdoor
7.61,,CAF,Nogent-sur-Oise,FRA,1997-06-15,Wilfried Dorombo,1974.0,Male,LJ,NR,Outdoor
7.40,,CAM,Phnom Penh,CAM,1966-11-26,Proch Buntol,,Male,LJ,NR,Outdoor
8.28,1.2,CAN,Götzis,AUT,2021-05-29,Damian Warner,1989.0,Male,LJ,NR,Outdoor
8.31,,CAY,Bad Langensalza,GER,2000-07-01,Kareem Streete-Thompson,1973.0,Male,LJ,NR,Outdoor
7.95,-0.7,CGO,Rabat,MAR,2019-08-28,Archel Evrard Biniakounou,1993.0,Male,LJ,NR,Outdoor
7.42,,CHA,El Djezair,ALG,1978-07-25,Kemobe Djimassal,1954.0,Male,LJ,NR,Outdoor
8.08,1.9,CHI,Santiago de Chile,CHI,2012-04-21,Daniel Pineda,1985.0,Male,LJ,NR,Outdoor
8.47,0.0,CHN,Bad Langensalza,GER,2014-06-28,Li Jinzhe,1989.0,Male,LJ,NR,Outdoor
8.47,0.7,CHN,Guiyang,CHN,2018-06-16,Wang Jianan,1996.0,Male,LJ,NR,Outdoor
7.74,,CIV,Viry-Châtillon,FRA,1976-03-07,Brou Kouakou,1948.0,Male,LJ,NR,Outdoor
8.03,,CMR,Bafoussam,CMR,2019-03-02,Marcel Mayack,1990.0,Male,LJ,NR,Outdoor
7.64,,COD,Heusden,BEL,1997-08-31,Djeke Mambo,1977.0,Male,LJ,NR,Outdoor
7.64,1.1,COD,Pierre-Bénite,FRA,2006-06-09,Jean Kamanda-Mbuyi,1980.0,Male,LJ,NR,Outdoor
7.16,,COK,Nikao,COK,2003-02-06,Harmon Harmon,1980.0,Male,LJ,NR,Outdoor
8.29,0.6,COL,São Paulo,BRA,2023-07-28,Arnovis Dalmero,2000.0,Male,LJ,NR,Outdoor
6.97,,COM,Mutsamudu,COM,2014-06-15,Saïd Ali Saïd,,Male,LJ,NR,Outdoor
7.57,2.0,CPV,Lisboa,POR,2002-05-25,Nelson Évora,1984.0,Male,LJ,NR,Outdoor
7.59,1.9,CRC,Gandía,ESP,2022-06-03,Rasheed Shamir Miller,2000.0,Male,LJ,NR,Outdoor
8.23,0.0,CRO,Zagreb,CRO,2002-06-05,Siniša Ergotić,1968.0,Male,LJ,NR,Outdoor
8.71,1.9,CUB,Salamanca,ESP,1995-07-18,Iván Pedroso,1972.0,Male,LJ,NR,Outdoor
7.86,0.8,CYP,Nicosia,CYP,1982-03-25,Dimitris Araouzos,1961.0,Male,LJ,NR,Outdoor
7.86,1.0,CYP,Haniá,GRE,1986-05-24,Michalis Rodosthenous,1959.0,Male,LJ,NR,Outdoor
8.31,1.4,CZE,Taipei,TPE,2017-08-27,Radek Juška,1993.0,Male,LJ,NR,Outdoor
8.25,0.5,DEN,Göteborg/U,SWE,2005-07-02,Morten Jensen,1982.0,Male,LJ,NR,Outdoor
6.89,,DJI,Aubagne,FRA,1985-08-06,Mohamed Gouled,,Male,LJ,NR,Outdoor
8.08,1.3,DMA,Chula Vista CA,USA,2022-05-29,Tristan James,1997.0,Male,LJ,NR,Outdoor
7.96,0.9,DOM,Santo Domingo,DOM,2006-07-08,Carlos Jorge,1986.0,Male,LJ,NR,Outdoor
8.16,0.0,ECU,Sucre,BOL,2009-11-23,Hugo Chila,1987.0,Male,LJ,NR,Outdoor
8.31,0.1,EGY,Oslo,NOR,1999-06-30,Hatem Mersal,1975.0,Male,LJ,NR,Outdoor
6.73,,ERI,Aarau,SUI,2003-05-31,Aron Beyene,1985.0,Male,LJ,NR,Outdoor
7.59,,ESA,Huixquilucan,MEX,1992-03-26,Angelo Iannuzzelli,1970.0,Male,LJ,NR,Outdoor
8.10,0.3,EST,Götzis,AUT,1995-05-27,Erki Nool,1970.0,Male,LJ,NR,Outdoor
8.09,,ETH,Assela,ETH,2022-03-10,Omod Okugn,2000.0,Male,LJ,NR,Outdoor
7.82,1.4,FIJ,Suva,FIJ,2003-07-11,Eroni Tuivanuavou,1983.0,Male,LJ,NR,Outdoor
8.27,1.8,FIN,Espoo,FIN,2020-06-11,Kristian Pulli,1994.0,Male,LJ,NR,Outdoor
8.42,0.4,FRA,Pierre-Bénite,FRA,2009-06-12,Salim Sdiri,1978.0,Male,LJ,NR,Outdoor
6.27,,FSM,Susupe,NMI,1969-07-03,Henry Edwin,,Male,LJ,NR,Outdoor
7.45,,GAB,Bellevue WA,USA,1992-06-28,Francois Reteno,1968.0,Male,LJ,NR,Outdoor
7.95,,GAM,"Springfield, Mo.",USA,1991-04-26,Babou Saine,1969.0,Male,LJ,NR,Outdoor
8.51,1.7,GBR,Chula Vista CA,USA,2014-04-24,Greg Rutherford,1986.0,Male,LJ,NR,Outdoor
6.96,,GBS,Lisboa,POR,1996-04-05,Edivaldo Monteiro,1976.0,Male,LJ,NR,Outdoor
8.24,1.3,GEO,Tbilisi,GEO,2021-05-29,Bachana Khorava,1993.0,Male,LJ,NR,Outdoor
7.27,,GEQ,Los Realejos,ESP,2011-02-26,Luis Dyangani Oko,1989.0,Male,LJ,NR,Outdoor
8.54,0.9,GER,Moskva,URS,1980-07-28,Lutz Dombrowski,1959.0,Male,LJ,NR,Outdoor
8.43,-0.2,GHA,Roma,ITA,2006-07-14,Ignisious Gaisah,1983.0,Male,LJ,NR,Outdoor
6.14,0.3,GIB,Gibraltar,GIB,1987-07-09,Jeff Rhodes,1958.0,Male,LJ,NR,Outdoor
8.66,1.6,GRE,Kalamáta,GRE,2007-06-02,Loúis Tsátoumas,1982.0,Male,LJ,NR,Outdoor
8.09,,GRN,Port of Spain,TTO,1989-05-05,Eugene Licorish,1964.0,Male,LJ,NR,Outdoor
7.97,1.9,GUA,Chula Vista CA,USA,2022-07-09,Nicolás Allen Arriola,1998.0,Male,LJ,NR,Outdoor
7.39,1.9,GUI,Alfaz del Pi,ESP,2013-06-08,Thierno Amadou Barry,1997.0,Male,LJ,NR,Outdoor
6.86,,GUM,Mangilao,GUM,1995-03-29,Florenz Quitlong,,Male,LJ,NR,Outdoor
8.12,1.2,GUY,Kingston,JAM,2019-05-11,Emanuel Archibald,1994.0,Male,LJ,NR,Outdoor
7.93,,HAI,Colombes,FRA,1928-09-09,Silvio Cator,1900.0,Male,LJ,NR,Outdoor
8.12,0.4,HKG,Hongkong,HKG,2016-05-07,Chan Ming Tai,1995.0,Male,LJ,NR,Outdoor
7.67,,HON,Ciudad de Guatemala,GUA,2012-04-20,Jason Castro,1991.0,Male,LJ,NR,Outdoor
8.30,1.8,HUN,Budapest,HUN,1985-07-07,László Szálma,1957.0,Male,LJ,NR,Outdoor
8.09,0.0,INA,Jakarta,INA,2018-08-26,Sapwaturrahman,1994.0,Male,LJ,NR,Outdoor
8.42,1.8,IND,Bellary,IND,2023-03-02,J. Jeswin Aldrin,2001.0,Male,LJ,NR,Outdoor
8.17,1.3,IRI,Tehran,IRI,2012-07-07,Mohammad Arzandeh,1987.0,Male,LJ,NR,Outdoor
8.07,1.4,IRL,La Chaux-de-Fonds,SUI,2005-08-21,Ciaran McDonagh,1976.0,Male,LJ,NR,Outdoor
7.66,,IRQ,Baghdad,IRQ,2017-10-13,Barea Amer Al-Bayati,1995.0,Male,LJ,NR,Outdoor
8.00,2.0,ISL,Reykjavik,ISL,1994-08-26,Jón Arnar Magnússon,1969.0,Male,LJ,NR,Outdoor
7.99,1.1,ISR,Tel Aviv,ISR,2010-05-15,Yochai Halevi,1982.0,Male,LJ,NR,Outdoor
8.11,0.4,ISV,Tallahassee FL,USA,2011-06-18,Leon Hunt,1987.0,Male,LJ,NR,Outdoor
8.47,-0.2,ITA,Osaka,JPN,2007-08-30,Andrew Howe,1985.0,Male,LJ,NR,Outdoor
7.97,0.6,IVB,Kingston,JAM,1996-05-11,Keita Cline,1974.0,Male,LJ,NR,Outdoor
8.69,0.5,JAM,Doha,QAT,2019-09-28,Tajay Gayle,1996.0,Male,LJ,NR,Outdoor
7.48,-0.3,JOR,Amman,JOR,2008-04-26,Khalil Al-Hanahneh,1980.0,Male,LJ,NR,Outdoor
8.40,1.5,JPN,Fukui,JPN,2019-08-17,Shoutarou Shiroyama,1995.0,Male,LJ,NR,Outdoor
8.16,,KAZ,Alma-Ata,URS,1988-06-18,Sergey Vasilyenko,1965.0,Male,LJ,NR,Outdoor
8.12,0.2,KEN,Johannesburg,RSA,1995-09-23,Jacob Katonon,1969.0,Male,LJ,NR,Outdoor
8.16,,KGZ,Leningrad,URS,1981-08-02,Shamil Abbyasov,1957.0,Male,LJ,NR,Outdoor
6.86,,KIR,Suva,FIJ,1976-05-29,Karakoa Iotia,,Male,LJ,NR,Outdoor
8.22,0.4,KOR,Ried,AUT,2016-06-10,Kim Duk-Hyung,1985.0,Male,LJ,NR,Outdoor
7.04,,KOS,Beograd,YUG,1981-01-01,Shefqet Hasani,,Male,LJ,NR,Outdoor
8.48,0.6,KSA,Sotteville-lès-Rouen,FRA,2006-07-02,Mohamed Salman Al-Khuwalidi,1981.0,Male,LJ,NR,Outdoor
8.02,-0.9,KUW,Al-Kuwait,KUW,2009-05-05,Saleh Abdelaziz Al-Haddad,1986.0,Male,LJ,NR,Outdoor
7.71,1.7,LAO,Bangkok,THA,2023-07-15,Xaidavahn Vongsavanh,2000.0,Male,LJ,NR,Outdoor
8.08,1.0,LAT,Saldus,LAT,2016-07-12,Elvijs Misāns,1989.0,Male,LJ,NR,Outdoor
8.03,1.3,LBA,Haniá,GRE,1985-05-25,Mohamed Bishty,1957.0,Male,LJ,NR,Outdoor
7.43,,LBN,Jamhour,LBN,2004-07-22,Marc Habib,1979.0,Male,LJ,NR,Outdoor
8.00,,LBR,Ypsilanti MI,USA,2009-04-18,Cadeau Kelley,1986.0,Male,LJ,NR,Outdoor
