result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
3:57.56,ALB,Milano,ITA,2022-06-11,David Nikolli,1994,Male,Mile,NR,Outdoor
3:44.39,ALG,Rieti,ITA,1993-09-05,Noureddine Morceli,1970,Male,Mile,NR,Outdoor
4:15.53,AND,Barcelona,ESP,1987-07-15,Josep Graells,1964,Male,Mile,NR,Outdoor
3:59.27,ARG,Concordia,ARG,2021-03-31,Federico Bruno,1993,Male,Mile,NR,Outdoor
3:47.48,AUS,Oslo,NOR,2022-06-16,Olli Hoare,1997,Male,Mile,NR,Outdoor
3:52.42,AUT,Rieti,ITA,1981-09-09,Robert Nemeth,1958,Male,Mile,NR,Outdoor
3:46.70,BDI,Berlin,GER,1997-08-26,Vénuste Niyongabo,1973,Male,Mile,NR,Outdoor
3:51.84,BEL,Oslo,NOR,2015-06-11,Pieter-Jan Hannes,1992,Male,Mile,NR,Outdoor
3:58.41,BIH,Karlovac,YUG,1981-06-04,Vinko Pokrajcic,1958,Male,Mile,NR,Outdoor
3:57.88,BLR,Sankt Peterburg,RUS,1994-07-26,Azat Rakipau,1968,Male,Mile,NR,Outdoor
3:51.05,BRA,Oslo,NOR,2005-07-29,Hudson de Souza,1977,Male,Mile,NR,Outdoor
3:51.33,BRN,Eugene,USA,2005-06-04,Rashid Ramzi,1980,Male,Mile,NR,Outdoor
3:58.9,BUL,København,DEN,1974-07-08,Moncho Marinov,1953,Male,Mile,NR,Outdoor
3:50.26,CAN,Oslo,NOR,2000-07-28,Kevin Sullivan,1974,Male,Mile,NR,Outdoor
4:02.51,CAY,Westwood,USA,2011-04-09,Jon Rankin,1982,Male,Mile,NR,Outdoor
4:05.12,CHI,Belfast,GBR,2022-07-09,Juan Ignacio Peña,1991,Male,Mile,NR,Outdoor
3:59.75,CHN,New York,USA,2006-06-03,Gu Ming,1983,Male,Mile,NR,Outdoor
5:07.1,COK,UNKNOWN,???,1980-01-01,Alan Jordon,,Male,Mile,NR,Outdoor
4:12.3,COL,Villavicencio,COL,1984-04-19,Alberto Ospina,,Male,Mile,NR,Outdoor
4:03.0,CRC,Berkeley,USA,1963-05-02,Julio Marin,1941,Male,Mile,NR,Outdoor
3:52.64,CRO,Stockholm,SWE,1998-08-05,Branko Zorko,1967,Male,Mile,NR,Outdoor
3:58.1,CUB,Kingston,JAM,1979-05-11,Luis Medina,1952,Male,Mile,NR,Outdoor
3:59.33,CYP,Cork,IRL,2017-07-18,Amine Khadiri,1988,Male,Mile,NR,Outdoor
3:52.59,CZE,Stockholm,SWE,1978-07-03,Jozef Plachý,1949,Male,Mile,NR,Outdoor
3:50.79,DEN,Berlin,GER,1997-08-26,Robert K. Andersen,1972,Male,Mile,NR,Outdoor
3:47.32,DJI,Eugene,USA,2014-05-31,Ayanleh Souleiman,1992,Male,Mile,NR,Outdoor
3:57.37,DMA,Portland,USA,1997-05-11,Steve Agar,1968,Male,Mile,NR,Outdoor
4:07.42,DOM,Holmdel,USA,2001-06-13,José Zayas,1978,Male,Mile,NR,Outdoor
4:01.67,ERI,Brunswick,USA,2001-07-07,Bolota Asmerom,1978,Male,Mile,NR,Outdoor
4:24.8,ESA,Santa Ana,USA,2007-02-10,Francis Jiménez,1985,Male,Mile,NR,Outdoor
3:47.69,ESP,Eugene,USA,2023-09-16,Mario García,1999,Male,Mile,NR,Outdoor
3:59.74,EST,Viljandi,EST,2011-08-09,Tiidrek Nurme,1985,Male,Mile,NR,Outdoor
3:48.60,ETH,Eugene,USA,2014-05-31,Aman Wote,1984,Male,Mile,NR,Outdoor
4:11.4,FIJ,Lyngby,DEN,1981-07-07,Richard Kermode,1955,Male,Mile,NR,Outdoor
3:55.65,FIN,London,GBR,1977-06-26,Ari Paunonen,1958,Male,Mile,NR,Outdoor
3:48.64,FRA,Eugene,USA,2023-09-16,Azeddine Habz,1993,Male,Mile,NR,Outdoor
3:46.32,GBR,Oslo,NOR,1985-07-27,Steve Cram,1960,Male,Mile,NR,Outdoor
3:49.22,GER,Oslo,NOR,1988-07-02,Jens-Peter Herold,1965,Male,Mile,NR,Outdoor
4:00.34,GHA,Atlanta,USA,2018-05-22,Sampson Laari,1993,Male,Mile,NR,Outdoor
4:05.57,GIB,Concord,USA,2014-06-05,Harvey Dixon,1993,Male,Mile,NR,Outdoor
3:56.11,GRE,San Donato Milanese,ITA,1992-05-30,Spirídon Christopoulos,1964,Male,Mile,NR,Outdoor
4:06.0,GUY,Westwood,USA,1975-05-03,Rayfield Beaton,1951,Male,Mile,NR,Outdoor
4:22.63,HKG,Hongkong,HKG,1989-07-23,Yap Kai Tak,,Male,Mile,NR,Outdoor
3:55.13,HUN,Koblenz,FRG,1984-08-29,István Knipl,1961,Male,Mile,NR,Outdoor
3:49.77,IRL,Oslo,NOR,1982-07-07,Ray Flynn,1957,Male,Mile,NR,Outdoor
3:57.63,ISL,Koblenz,FRG,1982-08-25,Jón Didriksson,1955,Male,Mile,NR,Outdoor
4:03.40,ISR,Hamburg,GER,1984-08-20,Ronnie Maoz,1961,Male,Mile,NR,Outdoor
