result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
12.99,,AFG,Kaboul,AFG,1940-01-01,Mohammed Anwar,,Male,TJ,NR,Outdoor
15.18,,AHO,Krommenie,NED,1997-06-08,Ellsworth Manuel,1968.0,Male,TJ,NR,Outdoor
14.93,-0.2,AIA,Greensboro NC,USA,2013-05-04,Denvil Ruan,1989.0,Male,TJ,NR,Outdoor
16.30,-0.2,ALB,Elbasan,ALB,2016-06-07,Izmir Smajlaj,1993.0,Male,TJ,NR,Outdoor
17.43,1.0,ALG,Tokyo,JPN,2021-08-05,Yasser Triki,1997.0,Male,TJ,NR,Outdoor
15.35,1.5,AND,Andorra,AND,1998-07-05,Xavier Montané,1971.0,Male,TJ,NR,Outdoor
16.43,,ANG,Annaba,ALG,1988-09-02,António Santos,1964.0,Male,TJ,NR,Outdoor
16.55,,ANT,San Angelo TX,USA,1990-04-12,James Browne,1966.0,Male,TJ,NR,Outdoor
16.51,1.2,ARG,Buenos Aires,ARG,2011-06-04,Maximiliano Díaz,1988.0,Male,TJ,NR,Outdoor
17.41,,ARM,Gyumri,ARM,1998-06-05,Armen Martirosyan,1969.0,Male,TJ,NR,Outdoor
13.14,,ARU,Breda,NED,1977-06-12,Freddy Burgos,1959.0,Male,TJ,NR,Outdoor
15.02,,ASA,Malaeola,NZL,2021-04-01,Theodore Malepeai-Tofaeono,,Male,TJ,NR,Outdoor
17.46,1.7,AUS,London,GBR,1982-08-07,Ken Lorraway,1956.0,Male,TJ,NR,Outdoor
16.57,-0.1,AUT,Südstadt,AUT,1988-07-13,Alfred Stummer,1962.0,Male,TJ,NR,Outdoor
17.33,1.1,AZE,Bryansk,URS,1990-06-18,Vasif Asadov,1965.0,Male,TJ,NR,Outdoor
17.59,0.9,BAH,Beijing,CHN,2008-08-21,Leevan Sands,1981.0,Male,TJ,NR,Outdoor
15.55,,BAN,Dhaka,BAN,1991-02-13,Afzal Hossain,,Male,TJ,NR,Outdoor
16.70,,BAR,Starkville MS,USA,1992-05-17,Alvin Haynes,1968.0,Male,TJ,NR,Outdoor
15.70,,BDI,Bujumbura,BDI,1991-07-27,Christophe Ntirandekura,,Male,TJ,NR,Outdoor
17.00,-0.8,BEL,Vilvoorde,BEL,2006-05-14,Michaël Velter,1980.0,Male,TJ,NR,Outdoor
15.70,,BEN,Cotonou,BEN,1987-03-29,Armand Gbaguidi,1960.0,Male,TJ,NR,Outdoor
17.62,0.1,BER,El Paso TX,USA,1995-04-15,Brian Wellman,1967.0,Male,TJ,NR,Outdoor
13.81,,BHU,Thimphu,BHU,2019-07-10,Karma Rigyel,,Male,TJ,NR,Outdoor
16.05,,BIH,Sarajevo,YUG,1979-07-06,Muamer Karajica,1959.0,Male,TJ,NR,Outdoor
16.22,-1.9,BIZ,San Salvador,ESA,2016-06-19,Brandon Jones,1987.0,Male,TJ,NR,Outdoor
17.77,1.0,BLR,Bryansk,URS,1987-07-18,Aleksandr Kovalenko,1963.0,Male,TJ,NR,Outdoor
15.01,1.1,BOL,Tarija,BOL,2018-04-15,Bruno Alan,1997.0,Male,TJ,NR,Outdoor
16.77,1.9,BOT,Francistown,BOT,2022-05-15,Thalosang Tshireletso,1991.0,Male,TJ,NR,Outdoor
17.90,0.4,BRA,Belém,BRA,2007-05-20,Jadel Gregório,1980.0,Male,TJ,NR,Outdoor
16.70,,BRN,Manama,BRN,2009-04-17,Mohamed Youssef Al-Sahabi,1989.0,Male,TJ,NR,Outdoor
14.65,,BRU,Kuching,MAS,1968-07-27,Chang Siew Khin,,Male,TJ,NR,Outdoor
14.65,,BRU,Penang,MAS,2005-09-24,Haj Shari Mohd Shah Johan,1978.0,Male,TJ,NR,Outdoor
17.92,1.6,BUL,Roma,ITA,1987-08-31,Khristo Markov,1965.0,Male,TJ,NR,Outdoor
17.82,0.2,BUR,Székesfehérvár,HUN,2021-07-06,Hugues Fabrice Zango,1993.0,Male,TJ,NR,Outdoor
15.47,,CAF,Lens,FRA,1993-10-07,William Bangahingui,,Male,TJ,NR,Outdoor
14.85,,CAM,Phnom Penh,CAM,1966-11-29,Sao Mean,,Male,TJ,NR,Outdoor
17.29,1.0,CAN,Provo UT,USA,1989-06-03,Edrick Floréal,1966.0,Male,TJ,NR,Outdoor
16.09,,CAY,Ciudad de Guatemala,GUA,1995-07-16,Edward Manderson,,Male,TJ,NR,Outdoor
15.91,0.7,CGO,Joinville,FRA,2015-07-02,Andrew Issaka,1992.0,Male,TJ,NR,Outdoor
15.30,,CHA,N'Djamena,CHA,1982-04-21,Kemobe Djimassal,1954.0,Male,TJ,NR,Outdoor
16.74,1.2,CHI,Santiago de Chile,CHI,2017-03-26,Alvaro Cortéz,1995.0,Male,TJ,NR,Outdoor
17.59,0.0,CHN,Jinan,CHN,2009-10-26,Li Yanxi,1983.0,Male,TJ,NR,Outdoor
15.78,,CIV,Yamoussoukro,CIV,1981-04-16,Patrice Bohoury,,Male,TJ,NR,Outdoor
17.14,0.8,CMR,Delhi,IND,2010-10-12,Hugo Mamba,1982.0,Male,TJ,NR,Outdoor
16.21,,COD,Boulogne-Billancourt,FRA,1997-05-17,Djeke Mambo,1977.0,Male,TJ,NR,Outdoor
13.63,,COK,Nikao,COK,2001-10-16,Harmon Harmon,1980.0,Male,TJ,NR,Outdoor
17.09,0.0,COL,Río de Janeiro,BRA,2016-08-16,Jhon Murillo,1984.0,Male,TJ,NR,Outdoor
15.34,,COM,Martigues,FRA,1999-07-13,Hilmy Abou Said,,Male,TJ,NR,Outdoor
16.15,-0.2,CPV,Braga,POR,2001-06-10,Nelson Évora,1984.0,Male,TJ,NR,Outdoor
15.66,,CRC,Normal AL,USA,1989-05-14,Vance Parks,1965.0,Male,TJ,NR,Outdoor
