result,nation,venue,venueCountry,date,name,yearOfBirth,sex,code,environment,discipline,wind
6.83,AND,Bompas,FRA,2013-11-24,Adria Lopez,1998,Male,NR,Indoor,50M,
5.67,CZE,Praha,CZE,1997-02-25,Tomáš Dvořák,1972,Male,NR,Indoor,50M,
6.65,MNE,Novi Sad,SRB,2011-01-21,Momir Matovic,1991,Male,NR,Indoor,50M,
6.03,MON,Nice,FRA,2008-01-05,Sébastien Gattuso,1971,Male,NR,Indoor,50M,
5.64,RUS,Moskva,RUS,1994-02-04,Aleksandr Porkhomovskiy,1972,Male,NR,Indoor,50M,
5.83,SLO,Eaubonne,FRA,1999-02-23,Urban Acman,1976,Male,NR,Indoor,50M,
5.63,SUI,Aigle,SUI,2023-01-21,Pascal Mancini,1989,Male,NR,Indoor,50M,
5.81,SVK,Banská Bystrica,TCH,1987-01-24,Luboš Chochlík,1959,Male,NR,Indoor,50M,
4:00.98,AFG,Frauenfeld,SUI,2020-08-23,Ismail Sebghatullah,,Male,NR,Outdoor,1K5,
3:53.0,AHO,Arnhem,NED,1973-09-16,Richard Riley,,Male,NR,Outdoor,1K5,
4:18.0,AIA,St. John's,ANT,1984-07-05,Nigel Richardson,,Male,NR,Outdoor,1K5,
3:37.82,ALB,Padova,ITA,2021-09-05,David Nikolli,1994.0,Male,NR,Outdoor,1K5,
3:27.37,ALG,Nice,FRA,1995-07-12,Noureddine Morceli,1970.0,Male,NR,Outdoor,1K5,
3:37.05,AND,Heusden,BEL,2023-07-15,Pol Moya,1996.0,Male,NR,Outdoor,1K5,
3:39.54,ANG,Barcelona,ESP,1992-08-03,João N'Tyamba,1968.0,Male,NR,Outdoor,1K5,
3:49.41,ANT,Seoul,KOR,1988-09-19,Dale Jones,1964.0,Male,NR,Outdoor,1K5,
3:36.18,ARG,Castellón,ESP,2021-06-29,Federico Bruno,1993.0,Male,NR,Outdoor,1K5,
3:39.35,ARM,Budapest,HUN,2023-08-19,Yervand Mkrtchyan,1996.0,Male,NR,Outdoor,1K5,
4:10.4,ARU,Roosendaal,NED,1979-08-28,Kimball Reynierse,1961.0,Male,NR,Outdoor,1K5,
4:19.7,ASA,Pago Pago,???,2011-04-23,Jezmond Papu,,Male,NR,Outdoor,1K5,
3:29.41,AUS,Oslo,NOR,2023-06-15,Olli Hoare,1997.0,Male,NR,Outdoor,1K5,
3:34.69,AUT,Kassel,GER,2000-06-07,Günther Weidlinger,1978.0,Male,NR,Outdoor,1K5,
3:43.7,AZE,Baku,URS,1979-04-22,Boris Kutukov,,Male,NR,Outdoor,1K5,
3:45.72,BAH,Austin,USA,1983-05-17,William Johnson,,Male,NR,Outdoor,1K5,
3:50.46,BAN,Calcutta,IND,1987-11-23,Ahmed Mustaque,,Male,NR,Outdoor,1K5,
3:47.82,BAR,Austin,USA,1991-04-04,Leo Games,,Male,NR,Outdoor,1K5,
3:29.18,BDI,Bruxelles,BEL,1997-08-22,Vénuste Niyongabo,1973.0,Male,NR,Outdoor,1K5,
3:33.06,BEL,Génève,SUI,2021-06-12,Ismael Debjani,1990.0,Male,NR,Outdoor,1K5,
3:54.08,BEN,Zaria,NGR,2021-05-29,Sylvain Azonhin,,Male,NR,Outdoor,1K5,
3:41.24,BER,Stretford,GBR,2022-07-23,Dage Minors,1995.0,Male,NR,Outdoor,1K5,
4:08.09,BHU,Ipoh,MAS,2004-06-15,Lungten Tshering,,Male,NR,Outdoor,1K5,
3:39.83,BIH,Bucureşti,ROU,1981-07-22,Vinko Pokrajcic,1958.0,Male,NR,Outdoor,1K5,
3:56.35,BIZ,Richmond,CAN,1998-05-23,Adrian Jorgenson,,Male,NR,Outdoor,1K5,
3:35.73,BLR,Minsk,BLR,2022-08-17,Illia Karnavukhau,1999.0,Male,NR,Outdoor,1K5,
3:43.60,BOL,Valledupar,COL,2022-07-01,David Ninavia,2003.0,Male,NR,Outdoor,1K5,
3:39.60,BOT,Nijmegen,NED,2001-05-24,Glody Dube,1978.0,Male,NR,Outdoor,1K5,
3:33.25,BRA,Rieti,ITA,2005-08-28,Hudson de Souza,1977.0,Male,NR,Outdoor,1K5,
3:29.14,BRN,Roma,ITA,2006-07-14,Rashid Ramzi,1980.0,Male,NR,Outdoor,1K5,
