result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
2:53:34,,AUS,Taicang,CHN,2018-05-05,Claire Woods,1981,Female,35W,NR,Outdoor
3:47:02,,BEL,Tilburg,NED,2013-06-10,Myriam Nicolas,1963,Female,35W,NR,Outdoor
2:51:58,,BLR,Gomel,BLR,2018-04-04,Anastasiya Yatsevich,,Female,35W,NR,Outdoor
3:19:25,,BOL,Guayaquil,ECU,2021-05-07,Jeanethe Mamaní,1982,Female,35W,NR,Outdoor
2:45:02,,BRA,Eugene,USA,2022-07-22,Viviane Lyra,1993,Female,35W,NR,Outdoor
3:31:13,,CHI,Freire,CHI,2020-02-15,Michelle Varas,1998,Female,35W,NR,Outdoor
2:38:42,,CHN,Wajima,JPN,2023-04-16,Liu Hong,1987,Female,35W,NR,Outdoor
3:26:26,,CRC,San José,GUA,2019-12-14,Ilena Ocampo,1988,Female,35W,NR,Outdoor
3:02:44,,CRO,Dudince,SVK,2019-03-23,Ivana Renić,1996,Female,35W,NR,Outdoor
2:51:50,,CZE,Banská Bystrica,SVK,2021-10-17,Tereza Ďurdiaková,1991,Female,35W,NR,Outdoor
2:54:40,,ECU,Taicang,CHN,2018-05-05,Paola Pérez,1989,Female,35W,NR,Outdoor
2:39:16,,ESP,Lepe,ESP,2022-01-30,Mária Pérez,1996,Female,35W,NR,Outdoor
2:57:42,,FIN,Eugene,USA,2022-07-22,Elisa Neuvonen,1991,Female,35W,NR,Outdoor
3:07:22,,FRA,Fontenay-le-Comte,FRA,2024-03-17,Caroline Osmont,1996,Female,35W,NR,Outdoor
2:58:48,,GBR,Dudince,SVK,2022-04-23,Bethan Davies,1990,Female,35W,NR,Outdoor
3:04:24,,GER,Frankfurt,GER,2022-04-30,Emilia Lehmeyer,1997,Female,35W,NR,Outdoor
2:41:58,,GRE,Eugene,USA,2022-07-22,Antigóni Drisbióti,1984,Female,35W,NR,Outdoor
3:02:38,,GUA,Taicang,CHN,2018-05-05,Mayra Carolina Herrera,1988,Female,35W,NR,Outdoor
3:02:20,,HKG,Melbourne,AUS,2022-12-04,Jessica Ching Siu Nga,1987,Female,35W,NR,Outdoor
2:49:58,,HUN,München,GER,2022-08-16,Viktória Madarász,1985,Female,35W,NR,Outdoor
2:57:54,,IND,Ranchi,IND,2023-02-15,Manju Rani,1999,Female,35W,NR,Outdoor
3:07:03,,IRL,Dublin,IRL,2021-12-19,Kate Veale,1994,Female,35W,NR,Outdoor
2:43:43,,ITA,Grosseto,ITA,2020-04-26,Eleonora Giorgi,1989,Female,35W,NR,Outdoor
2:45:09,,JPN,Eugene,USA,2022-07-22,Serena Sonoda,1996,Female,35W,NR,Outdoor
2:54:50,,KAZ,Eugene,USA,2022-07-22,Galina Yakusheva,1988,Female,35W,NR,Outdoor
3:15:24,,LAT,Scanzorosciate,ITA,2002-10-27,Anita Liepiņa,1967,Female,35W,NR,Outdoor
3:06:17,,LTU,Scanzorosciate,ITA,2006-10-15,Neringa Masilioniene,1983,Female,35W,NR,Outdoor
2:52:06,,MEX,Eugene,USA,2022-07-22,Nadia Gonzalez,1997,Female,35W,NR,Outdoor
3:41:07,,NED,Tilburg,NED,2017-01-10,Anne van Andel,1990,Female,35W,NR,Outdoor
3:15:58,,NZL,Melbourne,AUS,2022-05-15,Laura Langley,1997,Female,35W,NR,Outdoor
2:39:16,,PER,Eugene,USA,2022-07-22,Kimberly García,1993,Female,35W,NR,Outdoor
2:40:03,,POL,Eugene,USA,2022-07-22,Katarzyna Zdziebło,1996,Female,35W,NR,Outdoor
2:45:51,,POR,Porto de Mós,POR,2018-01-07,Inês Henriques,1980,Female,35W,NR,Outdoor
2:59:27,,ROU,Podébrady,CZE,2021-05-16,Ana Veronica Rodean,1984,Female,35W,NR,Outdoor
3:20:25,,RSA,Taicang,CHN,2018-05-05,Natalie Le Roux,1982,Female,35W,NR,Outdoor
2:37:46,,RUS,Chelyabinsk,RUS,2022-08-27,Margarita Nikiforova,1998,Female,35W,NR,Outdoor
3:14:22,,SRB,Berlin,GER,2018-07-08,Dušica Topić,1982,Female,35W,NR,Outdoor
3:19:49,,SUI,Scanzorosciate,ITA,2005-10-19,Laura Polli,1983,Female,35W,NR,Outdoor
2:57:36,,SVK,Dudince,SVK,2019-03-23,Mária Czaková,1988,Female,35W,NR,Outdoor
3:04:38,,TUR,Izmir,TUR,2019-03-03,Semiha Mutlu,1987,Female,35W,NR,Outdoor
2:54:23,,UKR,Ivano-Frankivsk,UKR,2019-03-23,Olena Sobchuk,1995,Female,35W,NR,Outdoor
3:00:43,,USA,London,GBR,2017-08-13,Katie Burnett,1988,Female,35W,NR,Outdoor
