result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:02.16,AHO,Ciudad de México,MEX,1986-06-22,Elisabeth Pieternella,,Female,400H,NR,Outdoor
56.48,ALB,Almería,ESP,2005-06-29,Klodiana Shala,1979.0,Female,400H,NR,Outdoor
56.66,ALG,Alger,ALG,2006-06-22,Houria Moussa,1982.0,Female,400H,NR,Outdoor
59.84,AND,Gijón,ESP,2023-07-09,Duna Viñals,2006.0,Female,400H,NR,Outdoor
58.34,ANG,Lisboa,POR,1999-07-11,Delfina Joaquim,1980.0,Female,400H,NR,Outdoor
1:02.21,ANT,Syracuse,USA,1988-08-06,Barbara Selkridge,1971.0,Female,400H,NR,Outdoor
55.88,ARG,Bruxelles,BEL,2018-07-08,Fiorella Chiappe,1996.0,Female,400H,NR,Outdoor
57.97,ARM,Moskva,RUS,2013-08-12,Amaliya Sharoyan,1988.0,Female,400H,NR,Outdoor
1:07.87,ASA,San Diego,USA,2016-02-04,Jordan Mageo,1997.0,Female,400H,NR,Outdoor
53.17,AUS,Seoul,KOR,1988-09-28,Debbie Flintoff-King,1960.0,Female,400H,NR,Outdoor
55.94,AUT,Espoo,FIN,2023-07-16,Lena Pressler,2001.0,Female,400H,NR,Outdoor
1:00.66,AZE,Tashkent,URS,1986-09-18,Tatyana Averiyanova,,Female,400H,NR,Outdoor
55.69,BAH,Gold Coast,AUS,2018-04-10,Katrina Seymour,1993.0,Female,400H,NR,Outdoor
53.36,BAR,Sevilla,ESP,1999-08-25,Andrea Blackett,1976.0,Female,400H,NR,Outdoor
54.33,BEL,La Chaux-de-Fonds,SUI,2023-07-02,Hanne Claes,1991.0,Female,400H,NR,Outdoor
56.66,BEN,Ouagadougou,BUR,2011-07-24,Miel Blessing Ayedou,1991.0,Female,400H,NR,Outdoor
59.03,BER,Colmar,FRA,2016-06-10,Shianne Furbert,1985.0,Female,400H,NR,Outdoor
58.99,BIH,Sofia,BUL,2007-07-04,Gorana Cvijetić,1989.0,Female,400H,NR,Outdoor
1:02.28,BIZ,Atlanta,USA,2015-04-18,Alexia Neal,,Female,400H,NR,Outdoor
53.11,BLR,Tokyo,JPN,1991-08-29,Tatyana Ledovskaya,1966.0,Female,400H,NR,Outdoor
1:00.06,BOL,Sucre,BOL,2012-05-20,Alison Sánchez,1990.0,Female,400H,NR,Outdoor
