result,nation,venue,venueCountry,date,name,sex,discipline,type,environment
1:51.14,AND,San Sebastián,ESP,2008-01-03,Andorra,Female,4x2,NR,Indoor
1:36.97,BEL,Louvain-la-Neuve,BEL,2020-02-02,Belgium,Female,4x2,NR,Indoor
1:38.07,BLR,Mogilyov,BLR,2012-02-20,Belarus,Female,4x2,NR,Indoor
1:38.59,CRO,Zagreb,CRO,2024-01-17,Croatia,Female,4x2,NR,Indoor
1:38.08,DEN,Odense,DEN,2024-02-17,Denmark,Female,4x2,NR,Indoor
1:50.1,GEO,UNKNOWN,???,2003-01-01,Georgia,Female,4x2,NR,Indoor
1:32.55,GER,Dortmund,GER,1988-02-20,Germany,Female,4x2,NR,Indoor
1:37.33,HUN,Bécs,HUN,1997-02-15,Hungary,Female,4x2,NR,Indoor
1:40.25,ISL,Reykjavik,ISL,2017-02-26,Iceland,Female,4x2,NR,Indoor
1:34.05,ITA,Torino,ITA,1984-02-11,Italy,Female,4x2,NR,Indoor
1:40.95,LAT,Kuldiga,LAT,2016-03-12,Latvia,Female,4x2,NR,Indoor
1:41.85,LUX,Saarbrücken,GER,2007-02-11,Luxembourg,Female,4x2,NR,Indoor
1:38.42,NED,Düsseldorf,GER,2008-03-08,Netherlands,Female,4x2,NR,Indoor
1:39.60,POR,Espinho,POR,2000-01-29,Portugal,Female,4x2,NR,Indoor
1:39.17,SRB,Beograd,SRB,2019-02-02,Serbia,Female,4x2,NR,Indoor
1:44.39,SUI,Sindelfingen,GER,2018-01-27,Switzerland,Female,4x2,NR,Indoor
1:39.44,SVK,Bratislava,SVK,2015-02-22,Slovak Republic,Female,4x2,NR,Indoor
