result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
7.47,1.5,MLT,Marsa,MLT,2024-01-27,Carla Scicluna,2001.0,Female,60,NR,Outdoor
8.90,,AFG,Ashgabat,TKM,2017-09-19,Kimia Yousufi,1996.0,Female,60,NR,Indoor
7.62,,ALB,Air Force Academy CO,USA,1999-01-09,Ermelinda Shehu,1974.0,Female,60,NR,Indoor
7.90,,ALG,Val-de-Reuil,FRA,2024-01-06,Manel Benkaci,1997.0,Female,60,NR,Indoor
7.73,,AND,Salamanca,ESP,2018-02-11,Cristina Llovera,1996.0,Female,60,NR,Indoor
7.53,,ANG,Espinho,POR,2004-01-31,Antónia Margarete de Jesus,1974.0,Female,60,NR,Indoor
7.15,,ANT,Fayetteville AR,USA,2021-02-27,Joella Lloyd,2002.0,Female,60,NR,Indoor
7.42,,ARG,Cochabamba,BOL,2024-01-27,María Florencia Lamboglia,1992.0,Female,60,NR,Indoor
7.56,,ARM,Beograd,SRB,2017-02-25,Gayane Chiloyan,2000.0,Female,60,NR,Indoor
8.04,,ARU,Lisboa,POR,2001-03-11,Silvienne Krosendijk,1986.0,Female,60,NR,Indoor
7.30,,AUS,Boston MA,USA,2009-02-07,Sally Pearson,1986.0,Female,60,NR,Indoor
7.15,,AUT,Wien,AUT,2001-02-24,Karin Mayr-Krifka,1971.0,Female,60,NR,Indoor
7.37,,AZE,Istanbul,TUR,2019-02-16,Zakiyya Hasanova,1995.0,Female,60,NR,Indoor
7.01,,BAH,Maebashi,JPN,1999-03-07,Savatheda Fynes,1974.0,Female,60,NR,Indoor
7.86,,BAN,Tehran,IRI,2024-02-18,Shirin Akter,1994.0,Female,60,NR,Indoor
7.10,,BAR,Houston TX,USA,2024-02-09,Tristan Evelyn,1998.0,Female,60,NR,Indoor
7.10,,BEL,Birmingham,GBR,2007-03-03,Kim Gevaert,1978.0,Female,60,NR,Indoor
7.44,,BEN,Eaubonne,FRA,2005-02-04,Fabienne Féraez,1976.0,Female,60,NR,Indoor
7.67,,BIH,Nyíregyháza,HUN,2024-01-27,Ajla Reizbegovic,1999.0,Female,60,NR,Indoor
7.67,,BIH,Nyíregyháza,HUN,2024-01-27,Ajla Rezbegović,1999.0,Female,60,NR,Indoor
7.10,,BLR,Minsk,BLR,2003-02-07,Natallia Safronnikava,1973.0,Female,60,NR,Indoor
7.10,,BLR,Minsk,BLR,2004-01-30,Yulia Nestsiarenka,1979.0,Female,60,NR,Indoor
7.32,,BOL,Cochabamba,BOL,2024-01-13,Guadalupe Torrez,2001.0,Female,60,NR,Indoor
7.14,,BRA,Beograd,SRB,2022-03-18,Vitoria Cristina Rosa,1996.0,Female,60,NR,Indoor
7.23,,BRN,Blacksburg VA,USA,2022-02-25,Ofonime Odiong,1997.0,Female,60,NR,Indoor
7.50,,BRU,Tehran,IRI,2005-09-27,Nur Sari Hafizazh Matasan,1987.0,Female,60,NR,Indoor
7.03,,BUL,Liévin,FRA,1987-02-22,Anelia Nuneva,1962.0,Female,60,NR,Indoor
8.44,,CAM,Pattaya,THA,2006-02-10,Sry Hang,1984.0,Female,60,NR,Indoor
7.02,,CAN,Maebashi,JPN,1999-03-07,Philomena Mensah,1975.0,Female,60,NR,Indoor
7.36,,CAY,Fayetteville AR,USA,2003-02-14,Cydonie Mothersill,1978.0,Female,60,NR,Indoor
7.30,,CGO,Jamor,POR,2016-01-09,Lorène Dorcas Bazolo,1983.0,Female,60,NR,Indoor
7.30,,CGO,Gent,BEL,2024-02-03,Natacha Ngoye,1993.0,Female,60,NR,Indoor
