result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:27.57,AHO,Sydney,AUS,2000-09-14,Florencia Hunt,1978,Female,600,NR,Outdoor
1:25.79,AUS,Naimette-Xhovémont,BEL,2012-07-05,Tamsyn Manou,1978,Female,600,NR,Outdoor
1:25.91,BEL,Naimette-Xhovémont,BEL,2002-08-27,Sandra Stals,1975,Female,600,NR,Outdoor
1:26.86,BLR,Naimette-Xhovémont,BEL,2002-08-27,Natallia Dziadkova,1979,Female,600,NR,Outdoor
1:27.37,CGO,Sydney,AUS,2000-09-14,Leontine Tsiba,1973,Female,600,NR,Outdoor
1:27.12,FIN,Jyväskylä,FIN,2023-05-23,Eveliina Määttänen,1995,Female,600,NR,Outdoor
1:24.4,ITA,Rieti,ITA,1999-09-29,Patrizia Spuri,1973,Female,600,NR,Outdoor
1:24.09,JAM,Philadelphia,USA,2022-04-30,Natoya Goule-Toppin,1991,Female,600,NR,Outdoor
1:22.87,MOZ,Naimette-Xhovémont,BEL,2002-08-27,Maria Mutola,1972,Female,600,NR,Outdoor
1:26.64,NGR,Naimette-Xhovémont,BEL,2004-08-03,Alice Nwosu,1984,Female,600,NR,Outdoor
1:26.90,NOR,Trondheim,NOR,2020-09-28,Hedda Hynne,1990,Female,600,NR,Outdoor
1:21.77,RSA,Berlin,GER,2017-08-27,Caster Semenya,1991,Female,600,NR,Outdoor
1:42.96,SWE,Enskede,SWE,2016-08-17,Malin Kemi,1975,Female,600,NR,Outdoor
1:29.03,BLR,Mogilyov,BLR,2014-01-24,Ilona Usovich,1982,Female,600,NR,Indoor
1:32.61,CGO,Allston,USA,2000-01-23,Leontine Tsiba,1973,Female,600,NR,Indoor
1:31.93,CHA,Edmonton,CAN,2009-01-17,Kaltouma Nadjina,1976,Female,600,NR,Indoor
1:31.74,ERI,Montréal,CAN,2007-02-17,Lemlem Beriket,1987,Female,600,NR,Indoor
1:25.81,GBR,Manchester,GBR,2007-01-07,Jenny Meadows,1981,Female,600,NR,Indoor
1:32.79,HAI,Blacksburg,USA,2014-01-25,Marlena Wesh,1991,Female,600,NR,Indoor
1:27.65,ISL,Reykjavik,ISL,2014-12-19,Aníta Hinriksdóttir,1996,Female,600,NR,Indoor
1:31.34,LCA,Champaign,USA,2002-01-12,Verneta Lesforis,1975,Female,600,NR,Indoor
1:33.78,SWE,Örebro,SWE,2020-03-28,Rebecca Högberg,1984,Female,600,NR,Indoor
1:32.13,TTO,New York,USA,2014-03-07,Jessica James,1991,Female,600,NR,Indoor
1:27.45,VIN,Fayetteville,USA,2023-01-13,Shafiqua Maloney,1999,Female,600,NR,Indoor
