result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
12.78,AFG,Rjukan,NOR,2016-09-18,Asra Mohammadi,,Female,DT,NR,Outdoor
41.04,AHO,Bridgetown,BAR,1985-04-09,Sherry Howell,,Female,DT,NR,Outdoor
28.55,AIA,St. John's,ANT,2006-07-02,Shara Proctor,1988,Female,DT,NR,Outdoor
55.58,ALB,Tirane,ALB,1991-06-27,Silvana Rukaj,1969,Female,DT,NR,Outdoor
53.54,ALG,Alger,ALG,1987-06-25,Aicha Dahmous,,Female,DT,NR,Outdoor
29.65,AND,Vic,ESP,2002-06-09,Joana Santamaria,1986,Female,DT,NR,Outdoor
50.88,ANG,Lisboa,POR,2023-05-27,Shakina Andrade,2005,Female,DT,NR,Outdoor
43.84,ANT,El Paso,USA,2016-03-26,Jess St. John,1995,Female,DT,NR,Outdoor
62.77,ARG,Belém,BRA,2013-05-12,Rocío Comba,1987,Female,DT,NR,Outdoor
69.48,ARM,Edinburgh,GBR,1973-09-07,Faina Melnik,1945,Female,DT,NR,Outdoor
29.89,ARU,Oranjestad,NED,2019-06-21,Aureen Lampe,,Female,DT,NR,Outdoor
56.45,ASA,Chula Vista,USA,2019-04-11,Alexandra Freeman,1993,Female,DT,NR,Outdoor
69.64,AUS,London,GBR,2017-08-13,Dani Stevens,1988,Female,DT,NR,Outdoor
63.28,AUT,Schwechat,AUT,1990-06-03,Ursula Weber,1960,Female,DT,NR,Outdoor
64.06,AZE,Tbilisi,URS,1983-05-31,Galina Koshkareva,1961,Female,DT,NR,Outdoor
60.92,BAH,Nassau,BAH,2021-06-28,Serena Brown,1998,Female,DT,NR,Outdoor
43.49,BAN,Dhaka,BAN,2022-12-24,Jafrin Akhter,1997,Female,DT,NR,Outdoor
52.00,BAR,Columbia,USA,2008-03-29,Shernelle Nicholls,1984,Female,DT,NR,Outdoor
30.82,BDI,Bujumbura,BDI,1991-10-05,Niyongeko,,Female,DT,NR,Outdoor
61.40,BEL,Eeklo,BEL,1994-04-30,Marie-Paule Geldhof,1959,Female,DT,NR,Outdoor
42.62,BEN,Cotonou,BEN,2004-08-05,Sabine Zachée,,Female,DT,NR,Outdoor
48.91,BER,Philadelphia,USA,2018-04-26,Tiara DeRosa,1998,Female,DT,NR,Outdoor
31.18,BHU,Phuntsholing,BHU,2001-12-13,Namkha Lhamo,,Female,DT,NR,Outdoor
52.58,BIH,Bucureşti,ROU,1977-07-17,Kosa Stojkovic,1949,Female,DT,NR,Outdoor
47.40,BIZ,San Salvador,ESA,2016-06-19,Itohan Aikhonbare,1994,Female,DT,NR,Outdoor
71.58,BLR,Leningrad,URS,1988-06-12,Ellina Zvereva,1960,Female,DT,NR,Outdoor
38.29,BOL,Cochabamba,BOL,2019-06-23,Ana Laura,,Female,DT,NR,Outdoor
34.98,BOT,Gaborone,BOT,2015-05-31,Tebogo Tapologo,,Female,DT,NR,Outdoor
65.34,BRA,Leiria,POR,2019-06-26,Andressa de Morais,1990,Female,DT,NR,Outdoor
51.19,BRN,Jakarta,INA,2018-08-30,Noora Salem Jassem,1996,Female,DT,NR,Outdoor
