result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:30:33,AFG,Hamburg,GER,2022-04-24,Rahman Mirzai,,Female,HM,NR,Outdoor
3:09:34,AIA,Orlando,USA,2006-01-08,Rose Fitzgerald,,Female,HM,NR,Outdoor
1:10:18,ALB,Tirane,ALB,2022-10-23,Luiza Gega,1988.0,Female,HM,NR,Outdoor
1:10:00,ALG,Lisboa,POR,2008-03-16,Souad Aït Salem,1979.0,Female,HM,NR,Outdoor
1:22:43,AND,Gavà,ESP,2005-02-13,Silvia Felipo,1967.0,Female,HM,NR,Outdoor
1:17:04,ANG,Viana do Castelo,POR,2019-01-20,Neide Dias,1987.0,Female,HM,NR,Outdoor
2:05:49,ANT,Bridgetown,BAR,2012-12-09,Oona Edwards,,Female,HM,NR,Outdoor
1:09:28,ARG,Buenos Aires,ARG,2023-08-27,Florencia Borelli,1992.0,Female,HM,NR,Outdoor
1:21:10,ARM,New York,USA,2001-05-13,Alexa Babakhanian,1966.0,Female,HM,NR,Outdoor
1:24:33,ARU,Oranjestad,AHO,1987-03-18,Cornelia Melis,1960.0,Female,HM,NR,Outdoor
1:47:39,ASA,Redwood City,USA,2001-10-21,Faye Ondelacy,,Female,HM,NR,Outdoor
1:07:48,AUS,Tokyo,JPN,2000-01-10,Kerryn McCann,1967.0,Female,HM,NR,Outdoor
1:11:09,AUT,Barcelona,ESP,2024-02-11,Julia Mayer,1993.0,Female,HM,NR,Outdoor
1:08:45,AZE,New Delhi,IND,2009-11-01,Mare Dibaba,1989.0,Female,HM,NR,Outdoor
1:34:47,BAH,Nassau,BAH,2012-01-15,Jessica Murray,,Female,HM,NR,Outdoor
1:36:26,BAN,Dhaka,BAN,2022-12-17,Rinki Biswas,,Female,HM,NR,Outdoor
1:32:43,BAR,Bridgetown,BAR,2019-12-08,Carlie Pipe,1987.0,Female,HM,NR,Outdoor
1:08:45,BDI,Lisboa,POR,2023-03-12,Francine Niyonsaba,1993.0,Female,HM,NR,Outdoor
1:08:56,BEL,Den Haag,NED,2002-03-23,Marleen Renders,1968.0,Female,HM,NR,Outdoor
1:20:27,BEN,Bruxelles,BEL,2016-02-10,Kabirato Nassam Alassani,1987.0,Female,HM,NR,Outdoor
1:18:19,BER,New York,USA,2016-03-20,Ashley Estwanik,1977.0,Female,HM,NR,Outdoor
1:26:17,BHU,Paro,BHU,2019-02-06,Goma Pradhan,,Female,HM,NR,Outdoor
1:12:55,BIH,Udine,ITA,2007-10-14,Lucia Mwihaki Kimani,1980.0,Female,HM,NR,Outdoor
1:31:03,BIZ,Duluth,USA,2007-06-16,Melissa Henderson,1974.0,Female,HM,NR,Outdoor
1:10:57,BLR,Valencia,ESP,2018-03-24,Volha Mazuronak,1989.0,Female,HM,NR,Outdoor
1:12:51,BOL,Buenos Aires,ARG,2022-08-21,Jhoselyn Jéssica Camargo,1996.0,Female,HM,NR,Outdoor
1:15:44,BOT,Port Elizabeth,RSA,2009-07-04,Onneile Dintwe,1985.0,Female,HM,NR,Outdoor
1:11:15,BRA,Florianópolis,BRA,1991-07-13,Silvana Pereira,1965.0,Female,HM,NR,Outdoor
1:05:22,BRN,Praha,CZE,2017-04-01,Violah Jepchumba,1990.0,Female,HM,NR,Outdoor
1:41:06,BRU,Darwin,AUS,2005-05-21,Jenny Feng Ling Tan,,Female,HM,NR,Outdoor
1:10:27,BUL,Niort,FRA,1993-10-24,Milka Mihaylova,1972.0,Female,HM,NR,Outdoor
1:32:23,BUR,Sal,CPV,2019-06-16,Samatou Tinde,1999.0,Female,HM,NR,Outdoor
1:32:08,CAF,Libreville,GAB,1994-04-24,Virginie Gloum,1974.0,Female,HM,NR,Outdoor
1:28:29,CAM,Valencia,ESP,2015-11-15,Nary Ly,,Female,HM,NR,Outdoor
1:09:38,CAN,Marugame,JPN,2020-02-02,Andrea Seccafien,1990.0,Female,HM,NR,Outdoor
1:13:50,CAY,Long Beach,USA,1991-11-10,Michelle Bush,1961.0,Female,HM,NR,Outdoor
1:19:47,CGO,Brazzaville,CGO,2015-09-17,Jodelle Yublime Ossou-Wakeyi,,Female,HM,NR,Outdoor
1:16:10,CHA,Milano,ITA,2022-05-15,Hassanatte Fraida,1996.0,Female,HM,NR,Outdoor
1:11:54,CHI,Santiago de Chile,CHI,2000-09-10,Erika Olivera,1976.0,Female,HM,NR,Outdoor
1:07:55,CHN,Meishan,CHN,2024-02-25,Zhang Deshun,1996.0,Female,HM,NR,Outdoor
1:20:56,CIV,Abidjan,CIV,2016-11-15,Lauseni Diarrasouba,,Female,HM,NR,Outdoor
1:22:01,CMR,Canet-En-Roussillon,FRA,1999-05-23,Sarah Liengu Etonge,,Female,HM,NR,Outdoor
1:18:06,COD,Kinshasa,COD,2023-08-04,Ritha Tumaini Nzabava,2000.0,Female,HM,NR,Outdoor
1:51:31,COK,Avarua,COK,1984-10-21,Lily Ngaata,,Female,HM,NR,Outdoor
1:31:03,COM,Moroni,COM,2012-03-06,Thamra Ibouroi,,Female,HM,NR,Outdoor
