result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
13.10,AFG,Helsinki,FIN,2017-05-15,Yalda Amini,1999.0,Female,HT,NR,Outdoor
59.26,ALB,Tirane,ALB,2002-04-18,Emiliana Ciko,1978.0,Female,HT,NR,Outdoor
69.48,ALG,Oran,ALG,2023-07-06,Zahra Tatar,1992.0,Female,HT,NR,Outdoor
42.65,AND,Toulouse,FRA,2006-07-08,Elena Villalón,1982.0,Female,HT,NR,Outdoor
52.55,ANG,Leiria,POR,2011-08-07,Mafuta Maketa,1989.0,Female,HT,NR,Outdoor
59.49,ANT,Guadalajara2,MEX,2011-10-24,Althea Charles,1989.0,Female,HT,NR,Outdoor
73.74,ARG,Buenos Aires,ARG,2010-04-10,Jenny Dahlgren,1984.0,Female,HT,NR,Outdoor
54.17,ARM,Tbilisi,GEO,2022-06-26,Zhanna Shahnazaryan,1984.0,Female,HT,NR,Outdoor
69.24,ASA,Burnaby,CAN,2003-06-08,Lisa Misipeka,1975.0,Female,HT,NR,Outdoor
73.63,AUS,Austin TX,USA,2023-06-08,Stephanie Ratcliffe,2000.0,Female,HT,NR,Outdoor
61.37,AUT,Innsbruck,AUT,2019-07-27,Tatjana Meklau,1999.0,Female,HT,NR,Outdoor
77.10,AZE,Budapest,HUN,2023-08-23,Hanna Skydan,1992.0,Female,HT,NR,Outdoor
60.90,BAH,Fresno CA,USA,2022-03-31,Tahjnee Thurston,1997.0,Female,HT,NR,Outdoor
58.21,BAR,Lawrence KS,USA,2007-04-19,Shernelle Nicholls,1984.0,Female,HT,NR,Outdoor
69.91,BEL,Leverkusen,GER,2020-08-23,Vanessa Sterckendries,1995.0,Female,HT,NR,Outdoor
40.14,BEN,Sesto Fiorentino,ITA,2021-01-24,Carole Agnes yvon Azove,2005.0,Female,HT,NR,Outdoor
39.09,BER,Prairie View,USA,2021-05-06,Tiara DeRosa,1998.0,Female,HT,NR,Outdoor
64.95,BIH,Durham,GBR,2019-04-19,Stefani Vukajlović,1996.0,Female,HT,NR,Outdoor
77.32,BLR,Minsk,BLR,2008-06-29,Aksana Miankova,1982.0,Female,HT,NR,Outdoor
50.21,BOL,Sucre,BOL,2002-07-27,Natalia Valda,1975.0,Female,HT,NR,Outdoor
25.94,BOT,Gaborone,BOT,2011-05-14,Andina Tapaphiwa,,Female,HT,NR,Outdoor
68.35,BRA,Braganca Paulista,BRA,2021-06-23,Mariana Grasielly Marcelino,1992.0,Female,HT,NR,Outdoor
35.50,BRN,Cairo,EGY,2002-09-18,Fatima Namshan,1983.0,Female,HT,NR,Outdoor
28.10,BRU,Bandar Seri Begawan,BRU,2009-12-02,Michelle Charlene Basir,,Female,HT,NR,Outdoor
65.35,BUL,Sofia,BUL,2000-06-10,Anelia Kumanova,1972.0,Female,HT,NR,Outdoor
68.59,BUR,Sotteville-lès-Rouen,FRA,2016-07-18,Laëtitia Bambara,1984.0,Female,HT,NR,Outdoor
21.51,CAF,Avignon,FRA,2007-06-05,Chancela Moundo,,Female,HT,NR,Outdoor
78.62,CAN,Westwood CA,USA,2023-05-26,Camryn Rogers,1999.0,Female,HT,NR,Outdoor
39.88,CAY,Cullowhee NC,USA,2010-04-15,Kristie Hurlston,,Female,HT,NR,Outdoor
66.43,CGO,Asaba,NGR,2018-08-02,Jennifer Batu,1993.0,Female,HT,NR,Outdoor
23.22,CHA,Mont-de-Marsan,FRA,2004-05-16,Amina Mahamat,,Female,HT,NR,Outdoor
69.70,CHI,Temuco,CHI,2021-05-20,Mariana García,1999.0,Female,HT,NR,Outdoor
77.68,CHN,Chengdu,CHN,2014-03-29,Wang Zheng,1987.0,Female,HT,NR,Outdoor
52.85,CIV,Winston-Salem NC,USA,2016-03-18,Andrea Vahoua,1996.0,Female,HT,NR,Outdoor
67.42,CMR,Flagstaff AZ,USA,2008-07-18,Georgina Toth,1982.0,Female,HT,NR,Outdoor
31.62,COD,Montreuil,FRA,1994-06-21,Bintou Kitoko,,Female,HT,NR,Outdoor
46.70,COK,Nikao,COK,2001-05-22,Siniva Marsters,1980.0,Female,HT,NR,Outdoor
69.80,COL,Santa Fé,ARG,2009-03-28,Johana Moreno,1985.0,Female,HT,NR,Outdoor
48.82,COM,Bondy,FRA,2006-01-06,Farrah Boinali,,Female,HT,NR,Outdoor
41.48,CPV,Beja,POR,2004-10-06,Maria Antónia Borges,1983.0,Female,HT,NR,Outdoor
51.47,CRC,Managua,NCA,2022-07-03,Daniela Cortez,1997.0,Female,HT,NR,Outdoor
75.08,CRO,Warszawa,POL,2007-06-17,Ivana Brkljačić,1983.0,Female,HT,NR,Outdoor
76.62,CUB,Zagreb,CRO,2008-09-09,Yipsi Moreno,1980.0,Female,HT,NR,Outdoor
