result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
4833,AHO,Caracas,VEN,1987-07-25,Sherry Howell,,Female,Hep,NR
4464,AIA,Kazan,RUS,2013-07-11,Dee-Ann Rogers,1993,Female,Hep,NR
5553,ALB,Tirane,ALB,1990-06-21,Alma Qeramixhi,1963,Female,Hep,NR
6392,ALG,Tokyo,JPN,1991-08-27,Yasmina Azzizi,1966,Female,Hep,NR
4067,AND,Torremolinos,ESP,1999-07-11,Montserrat Pujol,1979,Female,Hep,NR
4856,ANG,Rio Maior,POR,2012-05-27,Witiney Barata,1988,Female,Hep,NR
3683,ANT,Murfreesboro TN,USA,2009-05-09,Elma Camacho,,Female,Hep,NR
5815,ARG,Buenos Aires,ARG,2017-03-05,Fiorella Chiappe,1996,Female,Hep,NR
5424,ARM,Lana,ITA,2021-04-25,Allison Halverson,1992,Female,Hep,NR
4352,ARU,St. Georges,GRN,2016-03-27,Julianne Dorothal,1997,Female,Hep,NR
6695,AUS,Auckland,NZL,1990-01-28,Jane Flemming,1965,Female,Hep,NR
6591,AUT,Ratingen,GER,2019-06-30,Verena Mayr,1995,Female,Hep,NR
4615,AZE,Moskva,URS,1983-06-19,Sinaida Levshanova,,Female,Hep,NR
5368,BAH,Baton Rouge LA,USA,1987-06-06,Carmel Major,,Female,Hep,NR
6307,BAR,Azusa CA,USA,2016-04-14,Akela Inatta-Jones,1995,Female,Hep,NR
7013,BEL,Götzis,AUT,2017-05-28,Nafissatou Thiam,1994,Female,Hep,NR
6274,BEN,Ratingen,GER,2021-06-20,Odile Ahouanwanou,1991,Female,Hep,NR
5400,BER,Aubagne,FRA,2015-05-02,Shianne Furbert,1985,Female,Hep,NR
5312,BIH,Sarajevo,YUG,1981-09-19,Mirsada Pekmezovic,,Female,Hep,NR
4817,BIZ,San Salvador,ESA,2016-06-19,Katy Sealy,1990,Female,Hep,NR
6635,BLR,Stuttgart,GER,1993-08-17,Svetlana Buraga,1965,Female,Hep,NR
4744,BOL,La Paz,BOL,2005-07-10,Daysi Ugarte,1984,Female,Hep,NR
4568,BOT,Réduit,MRI,2011-04-17,Bonolo Maretele,,Female,Hep,NR
6188,BRA,São Bernardo do Campo,BRA,2016-07-01,Vanessa Spínola,1990,Female,Hep,NR
4620,BRN,Doha,QAT,2013-05-22,Dolikimia Francis,,Female,Hep,NR
2538,BRU,Manila,PHI,1999-05-01,Sallyahrinah Hj Yahya,,Female,Hep,NR
6658,BUL,Götzis,AUT,1992-05-31,Svetla Pishtikova,1970,Female,Hep,NR
6250,BUR,Götzis,AUT,2021-05-30,Marthe Yasmine Koala,1994,Female,Hep,NR
4709,CAF,Bangui,CAF,2000-01-05,Octavie Kongomgbe,,Female,Hep,NR
6808,CAN,Götzis,AUT,2015-05-31,Brianne Theisen-Eaton,1988,Female,Hep,NR
4212,CAY,Marion OH,USA,2013-05-24,Ashliegh Nalty,1994,Female,Hep,NR
4851,CGO,Rostock,GER,2003-07-20,Christiane Diabakana,1985,Female,Hep,NR
5399,CHI,Santiago,ESP,2014-03-15,Carolina Castillo,1990,Female,Hep,NR
6750,CHN,Beijing,CHN,1993-09-12,Ma Miaolan,1970,Female,Hep,NR
5766,CIV,Bambous,MRI,2012-04-17,Gabriela Kouassi,1979,Female,Hep,NR
5360,CMR,Narbonne,FRA,2003-07-26,Antoinette Nana Djimou,1985,Female,Hep,NR
4183,COD,Orange,FRA,1990-05-13,Jeanine Mavit,,Female,Hep,NR
3333,COK,Nikao,COK,2009-09-25,Maki Samantha Lockington,1990,Female,Hep,NR
6346,COL,Ibague,COL,2021-03-14,Evelyn Aguilar,1993,Female,Hep,NR
3632,CPV,Rio Maior,POR,2010-04-25,Ana Correia,,Female,Hep,NR
4954,CRC,Ciudad de Guatemala,GUA,2018-07-14,Ana Maria Porras,1991,Female,Hep,NR
5615,CRO,Varaždin,CRO,2021-05-02,Klara Koščak,2004,Female,Hep,NR
6742,CUB,Götzis,AUT,2018-05-27,Yorgelis Rodríguez,1995,Female,Hep,NR
5319,CYP,Nicosia,CYP,1984-09-04,Maroula Teloni,1953,Female,Hep,NR
6460,CZE,Kladno,CZE,2014-06-15,Eliška Klučinová,1988,Female,Hep,NR
5722,DEN,Århus,DEN,1983-08-28,Dorte Bæk Klein,1960,Female,Hep,NR
4935,DMA,Terre Haute IN,USA,2018-05-13,Chelsey Linton,1995,Female,Hep,NR
5860,DOM,Ponce,PUR,2006-05-28,Juana Castillo,1984,Female,Hep,NR
5925,ECU,Götzis,AUT,1985-05-26,Nancy Vallecilla,1957,Female,Hep,NR
5563,EGY,Réduit,MRI,2018-07-08,Huda Mohamed Atef Mohamed,1995,Female,Hep,NR
5047,ESA,Louisville KY,USA,2002-05-10,Laura Valldeperas,1981,Female,Hep,NR
6304,ESP,Lana,ITA,2021-04-25,María Vicente,2001,Female,Hep,NR
6280,EST,Götzis,AUT,2017-05-28,Grit Šadeiko,1989,Female,Hep,NR
3270,ETH,Nairobi,KEN,1987-09-08,Genet Tabalew,,Female,Hep,NR
4822,FIJ,Nouméa,FRA,1987-12-18,Sainiana Tukana,1962,Female,Hep,NR
6404,FIN,Tokyo,JPN,1991-08-27,Satu Ruotsalainen,1966,Female,Hep,NR
6889,FRA,Arles,FRA,2005-06-05,Eunice Barber,1974,Female,Hep,NR
2665,GAB,Bourges,FRA,2015-04-19,Karnella Anguezomo Mintsa,,Female,Hep,NR
6981,GBR,Doha,QAT,2019-10-04,Katarina Johnson-Thompson,1993,Female,Hep,NR
2943,GBS,Los Realejos,ESP,2009-02-05,Josefina Relva,1989,Female,Hep,NR
5483,GEO,Tbilisi,URS,1983-05-16,Olga Vershinina,1964,Female,Hep,NR
4114,GEQ,Nairobi,KEN,2010-07-31,Viviana Olaman,,Female,Hep,NR
6985,GER,Götzis,AUT,1992-05-31,Sabine Braun,1965,Female,Hep,NR
6423,GHA,Götzis,AUT,2005-05-29,Margaret Simpson,1982,Female,Hep,NR
6235,GRE,Götzis,AUT,2006-05-28,Aryiró Stratáki,1975,Female,Hep,NR
5224,GRN,Cali,COL,2021-12-02,Joniar Thomas,2001,Female,Hep,NR
4590,GUA,Xalapa,MEX,1991-07-28,Larissa Soto,1968,Female,Hep,NR
3750,GUI,Bondy,FRA,2007-06-17,Mahawa Camara,,Female,Hep,NR
5750,GUY,Boise ID,USA,1994-06-02,Najuma Fletcher,1974,Female,Hep,NR
5723,HAI,Chula Vista CA,USA,2015-05-23,Vanessa Jules,1991,Female,Hep,NR
4968,HKG,Redding,JAM,1993-05-22,Chan Sau Ying,,Female,Hep,NR
4139,HON,Nacogdoches,USA,2019-04-05,Dennise Reyes,,Female,Hep,NR
6651,HUN,Götzis,AUT,2021-05-30,Xénia Krizsán,1993,Female,Hep,NR
5386,INA,Kuala Lumpur,MAS,2017-08-25,Emilia Nova,1995,Female,Hep,NR
6211,IND,New Delhi,IND,2004-03-17,Javur J. Shobha,1978,Female,Hep,NR
5443,IRI,Wuhan,CHN,2015-06-04,Sepideh Tavakoli,1989,Female,Hep,NR
6297,IRL,Lana,ITA,2021-04-25,Kate O'Connor,2000,Female,Hep,NR
4026,IRQ,Damascus,SYR,2009-10-07,Bahar Kasrou Sulaiman,1989,Female,Hep,NR
5878,ISL,Kladno,CZE,2009-06-24,Helga Margrét Thorsteinsdóttir,1991,Female,Hep,NR
6031,ISR,Tel Aviv,ISR,2003-08-13,Svetlana Gnezdilov,1969,Female,Hep,NR
4950,ISV,Mayaguez,PUR,2011-07-17,Wanetta Kirby,1989,Female,Hep,NR
6185,ITA,Desenzano del Garda,ITA,1999-05-09,Gertrud Bacher-Schöf,1971,Female,Hep,NR
4455,IVB,El Dorado KS,USA,2019-05-04,Arianna Hayde,2000,Female,Hep,NR
6527,JAM,Knoxville TN,USA,1995-06-03,Diane Guthrie-Gresham,1971,Female,Hep,NR
4263,JOR,Cairo,EGY,2010-05-06,Rania Shoukri Al-Qabali,,Female,Hep,NR
5975,JPN,Kitakyushu,JPN,2021-05-23,Yuki Yamasaki,1995,Female,Hep,NR
6272,KAZ,Zagreb,YUG,1987-07-14,Yelena Davydova,1967,Female,Hep,NR
5407,KEN,Victoria,CAN,1994-08-23,Caroline Kola,1966,Female,Hep,NR
5809,KGZ,Bryansk,URS,1989-06-11,Natalya Knyazeva,,Female,Hep,NR
3456,KIR,Apia,SAM,2007-06-09,Kaitinano Mwemweata,1984,Female,Hep,NR
5535,KOR,Yecheon,KOR,2020-07-27,Jeong Yeon-Jin,1992,Female,Hep,NR
3790,KUW,Al-Kuwait,KUW,2019-10-29,Salsabeel Khaled Al-Sayar,,Female,Hep,NR
4013,LAO,Kuala Lumpur,MAS,2017-08-25,Manivanh Chanthavong,1993,Female,Hep,NR
6815,LAT,Götzis,AUT,2017-05-28,Laura Ikauniece,1992,Female,Hep,NR
4314,LBN,Amman,JOR,1983-08-20,Mina El Jas Zeina,,Female,Hep,NR
5650,LBR,Knoxville TN,USA,2018-05-11,Maya Neal,1996,Female,Hep,NR
6050,LCA,Eugene OR,USA,2013-06-07,Makeba Alcide,1990,Female,Hep,NR
5590,LES,Maputo,MOZ,2011-09-14,Selloane Tsoaeli,1977,Female,Hep,NR
6093,LIE,Götzis,AUT,1994-05-29,Manuela Marxer,1965,Female,Hep,NR
6604,LTU,Bryansk,URS,1989-06-11,Remigija Nazarovienė,1967,Female,Hep,NR
5036,LUX,Amiens,FRA,2006-06-11,Mandy Charlet,1986,Female,Hep,NR
4831,MAD,Antananarivo,MAD,1997-05-09,Mamy Rarivoarimanana,,Female,Hep,NR
5305,MAR,Casablanca,MAR,1985-08-08,Cherifa Meskaoui,,Female,Hep,NR
5262,MAS,Hanoi,VIE,2022-05-17,Norliana Kamaruddin,1991,Female,Hep,NR
6423,MDA,Chisinau,URS,1983-08-28,Lyubov Ratsu,1961,Female,Hep,NR
5786,MEX,Toronto,CAN,2015-07-25,Jessamyn Sauceda,1989,Female,Hep,NR
4324,MGL,Ulan Bator,MGL,1988-07-31,Davaashav Ganceceg,,Female,Hep,NR
5676,MKD,Latakia,SYR,1987-09-24,Marina Damcevska,1962,Female,Hep,NR
4456,MLI,Rabat,MAR,2019-08-29,Aminata Bah,1994,Female,Hep,NR
4848,MNE,Bar,MNE,2006-10-01,Milena Milašević,1984,Female,Hep,NR
3789,MOZ,Maputo,MOZ,2011-09-14,Salome Mugabe,1989,Female,Hep,NR
5241,MRI,Val-de-Reuil,FRA,2001-06-24,Stephanie Domaingue,1980,Female,Hep,NR
4633,MYA,Yangon,MYA,1985-02-03,Khin Ohn,,Female,Hep,NR
4844,NAM,Stellenbosch,RSA,2015-04-25,Corlia Kruger,1992,Female,Hep,NR
4503,NCA,Managua,NCA,2018-04-18,Jarey Vasquez,,Female,Hep,NR
6867,NED,Eugene OR,USA,2022-07-18,Anouk Vetter,1993,Female,Hep,NR
2596,NEP,Birgunj,NEP,1990-02-02,Padma Chaudhari,,Female,Hep,NR
6153,NGR,Durban,RSA,2016-06-25,Uhunoma Osazuwa,1987,Female,Hep,NR
6226,NOR,Osaka,JPN,2007-08-26,Ida Marcussen,1987,Female,Hep,NR
6278,NZL,Auckland,NZL,1992-03-01,Joanne Henry,1971,Female,Hep,NR
3484,OMA,Muscat,OMA,2015-03-15,Heba Hamood Al-Asimi,,Female,Hep,NR
4225,PAK,Peshawar,PAK,2019-11-14,Maria Maratab,1991,Female,Hep,NR
4998,PAN,Santiago de los Caballeros,DOM,1986-07-01,Irina Ambulo,1966,Female,Hep,NR
5907,PAR,Lima,PER,2019-08-08,Camila Pirelli,1989,Female,Hep,NR
5141,PER,Santa Maria,USA,2017-11-24,Kimberley Carolina,1995,Female,Hep,NR
5381,PHI,Hanoi,VIE,2022-05-17,Sarah Dequinan,1992,Female,Hep,NR
2665,PLE,Damascus,SYR,1988-08-23,Nadima Hussein,,Female,Hep,NR
2906,PLW,Koror,PLW,2005-07-27,Maleah Tengadik,,Female,Hep,NR
5221,PNG,San Angelo TX,USA,2017-03-15,Adrine Monagi,1995,Female,Hep,NR
