result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
28.10,AIA,The Valley,USA,2009-02-21,Melissa Mussington,,Female,JT,NR,Outdoor
48.85,ALB,Bar,MNE,2008-05-01,Gerta Batusha,1991,Female,JT,NR,Outdoor
47.92,ALG,El Djezair,ALG,2005-07-20,Faïza Kadri,,Female,JT,NR,Outdoor
29.60,AND,Chorzów,POL,2023-06-22,Maria Morató,1998,Female,JT,NR,Outdoor
43.77,ANG,Elvas,POR,2003-06-14,Indira Manuel,,Female,JT,NR,Outdoor
41.11,ANT,Providenciales,TKS,2007-04-09,Amanda Edwards,1988,Female,JT,NR,Outdoor
56.18,ARG,Rosario,ARG,2004-04-14,Romina Maggi,1976,Female,JT,NR,Outdoor
59.12,ARM,Adler,RUS,2012-04-21,Kristine Harutyunyan,1991,Female,JT,NR,Outdoor
37.25,ARU,Youngstown,USA,2019-05-05,Julianne Dorothal,1997,Female,JT,NR,Outdoor
36.87,ASA,Azusa,USA,2010-04-15,Claire Morgan,1989,Female,JT,NR,Outdoor
68.92,AUS,Gold Coast,AUS,2018-04-11,Kathryn Mitchell,1982,Female,JT,NR,Outdoor
64.68,AUT,Eisenstadt,AUT,2021-04-26,Victoria Hudson,1996,Female,JT,NR,Outdoor
46.20,AZE,Baku,AZE,2017-05-04,Ragneta Zulfugarova,1992,Female,JT,NR,Outdoor
63.73,BAH,Nashville,USA,2000-04-22,Lavern Eve,1965,Female,JT,NR,Outdoor
46.06,BAN,Dhaka,BAN,2022-09-23,Jannat Begum,,Female,JT,NR,Outdoor
47.00,BAR,Basseterre,SKN,2008-03-24,Deandra Dottin,1991,Female,JT,NR,Outdoor
29.80,BDI,Ngozi,BDI,2014-07-09,Goreth Barampama,,Female,JT,NR,Outdoor
59.32,BEL,Götzis,AUT,2017-05-28,Nafissatou Thiam,1994,Female,JT,NR,Outdoor
56.75,BEN,Rovereto,ITA,2020-09-08,Pascaline Adanhouegbe,1995,Female,JT,NR,Outdoor
40.39,BER,Colomiers,FRA,2014-10-18,Shianne Furbert,1985,Female,JT,NR,Outdoor
38.92,BHU,Phuntsholing,BHU,2001-12-13,Chechay,,Female,JT,NR,Outdoor
55.69,BIH,Long Beach,USA,2022-04-16,Vanja Spaić,1995,Female,JT,NR,Outdoor
55.69,BIH,Long Beach,USA,2022-04-16,Vanja Spajic,1995,Female,JT,NR,Outdoor
39.20,BIZ,Managua,NCA,2017-12-10,Katy Sealy,1990,Female,JT,NR,Outdoor
67.47,BLR,Oslo,NOR,2018-06-07,Tatsiana Khaladovich,1991,Female,JT,NR,Outdoor
42.13,BOL,Cochabamba,BOL,2013-05-05,Natalia Chávez,1995,Female,JT,NR,Outdoor
44.61,BOT,Gaborone,BOT,2013-02-06,Kenaope Lefitile,,Female,JT,NR,Outdoor
62.89,BRA,São Paulo,BRA,2014-10-11,Jucilene de Lima,1990,Female,JT,NR,Outdoor
36.72,BRN,Doha,QAT,2013-05-22,Dolikimia Francis,,Female,JT,NR,Outdoor
30.50,BRU,Kuala Lumpur,MAS,2019-06-23,Alinawati Ali Akbar,1975,Female,JT,NR,Outdoor
63.32,BUL,Athína,GRE,2000-06-28,Hristina Georgieva,1972,Female,JT,NR,Outdoor
46.79,BUR,Ouagadougou,BUR,2001-05-20,Estelle Kagambega,1979,Female,JT,NR,Outdoor
36.96,CAF,Montbéliard,FRA,2000-05-14,Nadege Nakombo,,Female,JT,NR,Outdoor
64.83,CAN,Kawasaki,JPN,2015-05-10,Liz Gleadle,1988,Female,JT,NR,Outdoor
43.43,CAY,Gulf Shores,USA,2019-05-23,Daneliz Thomas,1999,Female,JT,NR,Outdoor
46.95,CGO,Brazzaville,CGO,2015-09-15,Stella Vieira,1991,Female,JT,NR,Outdoor
22.10,CHA,N'Djamena,CHA,2007-04-15,Fatime Djimtoloum,,Female,JT,NR,Outdoor
54.94,CHI,Santiago de Chile,CHI,2018-02-18,María Paz Ríos,1989,Female,JT,NR,Outdoor
67.98,CHN,Shenyang,CHN,2019-08-02,Lu Huihui,1989,Female,JT,NR,Outdoor
49.83,CIV,Albi,FRA,2011-07-29,Gabriela Kouassi,1979,Female,JT,NR,Outdoor
49.10,CMR,Yaoundé,CMR,2000-07-01,Monique Djikada,1979,Female,JT,NR,Outdoor
39.56,COD,Dar-es-Salaam,TAN,2022-09-06,Rosie Mulambavu,1988,Female,JT,NR,Outdoor
45.85,COK,Apia,SAM,2006-12-14,Tereapii Tapoki,1984,Female,JT,NR,Outdoor
65.47,COL,Budapest,HUN,2023-08-25,Flor Dennis Ruiz,1991,Female,JT,NR,Outdoor
39.90,CPV,Seixal,POR,2007-05-27,Ionilde Mendes,,Female,JT,NR,Outdoor
45.89,CRC,San José3,CRC,2013-03-12,Génova Arias,1991,Female,JT,NR,Outdoor
68.43,CRO,Lausanne,SUI,2017-07-06,Sara Kolak,1995,Female,JT,NR,Outdoor
71.70,CUB,Helsinki,FIN,2005-08-14,Osleidis Menéndez,1979,Female,JT,NR,Outdoor
57.20,CYP,Pátra,GRE,2006-05-17,Alexandra Tsisiou,1981,Female,JT,NR,Outdoor
72.28,CZE,Stuttgart,GER,2008-09-13,Barbora Špotáková,1981,Female,JT,NR,Outdoor
64.83,DEN,Stuttgart,GER,2006-09-09,Christina Scherwin,1976,Female,JT,NR,Outdoor
