result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
48.2,ARM,UNKNOWN,???,1966-01-01,Margo Anonyan,,Female,JTOLD,NR,Outdoor
54.06,AZE,Tbilisi,URS,1983-06-01,Yelisaveta Babyeva,,Female,JTOLD,NR,Outdoor
54.5,BEL,Bruxelles,BEL,1974-06-29,Leentje Wuyts,1950,Female,JTOLD,NR,Outdoor
52.6,BIH,Celje,YUG,1976-06-06,Sofija Šipovac,1955,Female,JTOLD,NR,Outdoor
56.82,CRO,Split,CRO,1994-07-02,Valentina Belaic,1972,Female,JTOLD,NR,Outdoor
53.56,CYP,Athína,GRE,1991-07-11,Chrysoula Georgiou,1966,Female,JTOLD,NR,Outdoor
50.64,IRL,Dublin,IRL,1994-07-24,Dara Shakespeare,1963,Female,JTOLD,NR,Outdoor
46.06,LIE,Zürich,SUI,1988-08-04,Jeanette Beck,1965,Female,JTOLD,NR,Outdoor
45.12,LUX,Diekirch,LUX,1997-07-09,Nathalie Thill,1973,Female,JTOLD,NR,Outdoor
47.4,MKD,Bijelo Polje,YUG,1979-07-22,Lidija Simovska,1958,Female,JTOLD,NR,Outdoor
30.7,MON,Puteaux,FRA,1996-04-06,Carine Cresto,1973,Female,JTOLD,NR,Outdoor
