result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
3.76,-2.9,AFG,Kirkkonummi,FIN,2017-07-18,Yalda Amini,1999.0,Female,LJ,NR,Outdoor
6.13,0.0,AHO,Santo Domingo,DOM,2010-07-04,Maruska Eduarda,1991.0,Female,LJ,NR,Outdoor
6.71,1.2,AIA,Berlin,GER,2009-08-23,Shara Proctor,1988.0,Female,LJ,NR,Outdoor
6.53,,ALB,Tirane,ALB,1989-05-20,Vera Bitanji,1969.0,Female,LJ,NR,Outdoor
6.70,-0.1,ALG,Rieti,ITA,1999-09-05,Baya Rahouli,1979.0,Female,LJ,NR,Outdoor
5.75,0.0,AND,Andorra,AND,2005-06-02,Montserrat Pujol,1979.0,Female,LJ,NR,Outdoor
5.84,-0.1,ANG,Lisboa,POR,2007-07-29,Ungudi Quiawacana,1990.0,Female,LJ,NR,Outdoor
6.22,-0.9,ANT,Basseterre,SKN,2014-07-06,Amy Harris,1987.0,Female,LJ,NR,Outdoor
6.61,1.5,ARG,Buenos Aires,ARG,1993-05-23,Andrea Ávila,1970.0,Female,LJ,NR,Outdoor
6.46,,ARM,Kyiv,URS,1976-06-22,Nadezhda Karyakina,,Female,LJ,NR,Outdoor
5.86,-0.4,ARU,Johnson City TN,USA,2007-05-12,Silvienne Krosendijk,1986.0,Female,LJ,NR,Outdoor
4.50,,ASA,Nikao,COK,2007-10-16,Lela Waetin,,Female,LJ,NR,Outdoor
7.13,1.8,AUS,Chula Vista CA,USA,2022-07-09,Brooke Buschkuehl,1993.0,Female,LJ,NR,Outdoor
7.09,1.6,AUT,Sevilla,ESP,1994-06-05,Ljudmila Ninova,1960.0,Female,LJ,NR,Outdoor
6.41,0.5,AZE,Baku,URS,1985-09-22,Galina Tumasova,1965.0,Female,LJ,NR,Outdoor
6.83,0.3,BAH,Nassau,BAH,2015-06-26,Bianca Stuart,1988.0,Female,LJ,NR,Outdoor
6.07,0.2,BAN,Islamabad,PAK,2004-04-02,Fouzia Huda Jui,1985.0,Female,LJ,NR,Outdoor
5.10,,BDI,Bujumbura,BDI,1981-01-01,Devote Barajengoye,,Female,LJ,NR,Outdoor
6.86,0.9,BEL,Birmingham,GBR,2019-08-18,Nafissatou Thiam,1994.0,Female,LJ,NR,Outdoor
6.12,,BEN,Porto Novo,BEN,2010-07-18,Anne Abossede Okafor,1991.0,Female,LJ,NR,Outdoor
6.50,2.0,BER,Austin TX,USA,2012-03-31,Arantxa King,1989.0,Female,LJ,NR,Outdoor
5.47,,BHU,Phuntsholing,BHU,2003-01-22,Tashi Dema,,Female,LJ,NR,Outdoor
6.07,,BIH,Sokolac,BIH,2015-08-08,Tanja Marković Drakulić,1991.0,Female,LJ,NR,Outdoor
5.97,-2.0,BIZ,Ciudad de Panamá,PAN,2010-04-16,Tricia Flores,1979.0,Female,LJ,NR,Outdoor
7.39,0.5,BLR,Bryansk,URS,1987-07-18,Yelena Belevskaya,1963.0,Female,LJ,NR,Outdoor
6.09,-0.3,BOL,Tarija,BOL,2017-06-04,Valeria Quispe,1997.0,Female,LJ,NR,Outdoor
6.36,,BOT,Harare,ZIM,1998-07-18,Tsoseletso Nkala,1971.0,Female,LJ,NR,Outdoor
7.26,1.8,BRA,Bogotá,COL,1999-06-26,Maurren Higa Maggi,1976.0,Female,LJ,NR,Outdoor
6.09,0.2,BRN,Oran,ALG,2023-07-04,Fatima Moubarak,1999.0,Female,LJ,NR,Outdoor
5.14,,BRU,Kuching,MAS,1962-07-14,Rose Chong,,Female,LJ,NR,Outdoor
7.00,0.6,BUL,Sofia,BUL,1986-08-03,Silvia Moneva,1965.0,Female,LJ,NR,Outdoor
6.94,1.2,BUR,Kinshasa,COD,2023-08-02,Marthe Yasmine Koala,1994.0,Female,LJ,NR,Outdoor
5.65,,CAF,Bangui,CAF,1983-05-22,Nicole Tombezogo,1962.0,Female,LJ,NR,Outdoor
5.85,,CAM,Phnom Penh,CAM,1968-07-19,Kim Mom,,Female,LJ,NR,Outdoor
5.91,-1.6,CAY,San José3,CRC,2023-07-22,Ashantae Graham,2003.0,Female,LJ,NR,Outdoor
6.31,1.2,CGO,Albi,FRA,2018-07-07,Marie Mbuya Mala,1994.0,Female,LJ,NR,Outdoor
5.20,,CHA,N'Djamena,CHA,1977-05-02,Mariam Mahamat,,Female,LJ,NR,Outdoor
6.60,0.9,CHI,Santiago de Chile,CHI,2012-06-03,Macarena Reyes,1984.0,Female,LJ,NR,Outdoor
7.01,1.4,CHN,Jinan,CHN,1993-06-04,Yao Weili,1965.0,Female,LJ,NR,Outdoor
6.65,,CMR,Bafoussam,CMR,2018-03-03,Joëlle Sandrine Mbumi,,Female,LJ,NR,Outdoor
5.88,-0.5,COD,Vénissieux,FRA,1996-07-13,Carine Kanda,1980.0,Female,LJ,NR,Outdoor
5.37,,COK,Dunedin,NZL,1988-06-23,Erin Tierney,1970.0,Female,LJ,NR,Outdoor
6.93,0.8,COL,Ostrava,CZE,2018-09-09,Caterine Ibargüen,1984.0,Female,LJ,NR,Outdoor
5.60,0.0,COM,Nice,FRA,2005-06-26,Fatouma Kari,1983.0,Female,LJ,NR,Outdoor
5.53,,CPV,Praia,CPV,2022-10-09,Michaela Rodrigues,2003.0,Female,LJ,NR,Outdoor
5.95,-1.1,CRC,Tegucigalpa,HON,2013-09-26,Ana Maria Porras,1991.0,Female,LJ,NR,Outdoor
6.68,1.0,CRO,Beograd,YUG,1990-06-24,Silvia Babic,1968.0,Female,LJ,NR,Outdoor
6.68,1.0,CRO,Beograd,YUG,1990-06-24,Silvija Mrakovcic,1968.0,Female,LJ,NR,Outdoor
6.99,0.4,CUB,Jena,GER,2000-06-03,Lissette Cuza,1975.0,Female,LJ,NR,Outdoor
6.80,1.9,CYP,Limassol,CYP,1985-03-24,Maroula Teloni,1953.0,Female,LJ,NR,Outdoor
6.89,1.8,CZE,Praha,TCH,1982-09-18,Jarmila Strejcková,1953.0,Female,LJ,NR,Outdoor
6.96,2.0,DEN,Sevilla,ESP,1994-06-05,Renata Nielsen,1966.0,Female,LJ,NR,Outdoor
4.75,,DJI,Khartoum,SUD,2006-09-05,Fatouma Abdallah Mohamed,,Female,LJ,NR,Outdoor
6.64,0.4,DMA,São Paulo,BRA,2022-05-01,Thea LaFond,1994.0,Female,LJ,NR,Outdoor
6.36,1.2,DOM,Medellín,COL,2018-04-28,Flor Alvarez,1990.0,Female,LJ,NR,Outdoor
6.67,1.8,ECU,Leverkusen,GER,2021-05-16,Yuliana Angúlo,1994.0,Female,LJ,NR,Outdoor
6.75,,EGY,El Maadi,EGY,2022-09-14,Esraa Owis,1997.0,Female,LJ,NR,Outdoor
4.59,,ERI,Asmara,ERI,2014-06-29,Salina Tukabo,,Female,LJ,NR,Outdoor
6.04,,ESA,San Salvador,ESA,2006-03-18,Maria Carrillo,1984.0,Female,LJ,NR,Outdoor
7.06,-0.1,ESP,Sevilla,ESP,1999-08-23,Niurka Montalvo,1968.0,Female,LJ,NR,Outdoor
6.23,,ETH,Durban,RSA,1993-06-24,Hiwot Sisaye,,Female,LJ,NR,Outdoor
6.12,,FIJ,Nouméa,FRA,1979-11-30,Miriama Chambault,,Female,LJ,NR,Outdoor
6.85,0.8,FIN,Lahti,FIN,1990-08-11,Ringa Ropo-Junnila,1966.0,Female,LJ,NR,Outdoor
7.05,-0.4,FRA,Monaco,MON,2003-09-14,Eunice Barber,1974.0,Female,LJ,NR,Outdoor
4.82,0.0,FSM,Kolonia,FSM,2002-07-26,Angie Nedelec,,Female,LJ,NR,Outdoor
5.88,,GAB,Ermont,FRA,1983-07-15,Anne-Lise Montoulieu,,Female,LJ,NR,Outdoor
6.15,0.7,GAM,Lubbock TX,USA,2022-05-14,Wurrie Njadoe,1997.0,Female,LJ,NR,Outdoor
7.07,0.4,GBR,Beijing,CHN,2015-08-28,Shara Proctor,1988.0,Female,LJ,NR,Outdoor
6.00,1.1,GBS,Lisboa,POR,2018-04-19,Fatumata Baldé,2000.0,Female,LJ,NR,Outdoor
6.25,,GEO,Tbilisi,URS,1954-05-16,Nadezhda Dvalischvili,1933.0,Female,LJ,NR,Outdoor
6.25,,GEO,Kharkov,URS,1960-07-26,Lyudmila Ivleva,1941.0,Female,LJ,NR,Outdoor
5.29,1.6,GEQ,Zaragoza,ESP,2008-05-07,Marlene Mevong Mba,,Female,LJ,NR,Outdoor
7.48,1.2,GER,Neubrandenburg,GER,1988-07-09,Heike Drechsler,1964.0,Female,LJ,NR,Outdoor
6.94,1.8,GHA,Birmingham,GBR,2022-08-07,Deborah Acquah,1996.0,Female,LJ,NR,Outdoor
4.53,0.6,GIB,Gibraltar,GIB,1992-06-10,Alison Cano,1974.0,Female,LJ,NR,Outdoor
7.03,0.6,GRE,Bellinzona,SUI,1997-08-18,Níki Xánthou,1973.0,Female,LJ,NR,Outdoor
6.71,0.0,GRN,Atlanta GA,USA,2008-03-29,Patricia Sylvester,1983.0,Female,LJ,NR,Outdoor
6.36,0.4,GUA,Ciudad de Guatemala,GUA,2018-07-14,Thelma Nohemí Fuentes,1992.0,Female,LJ,NR,Outdoor
5.72,,GUI,Conakry,GUI,1990-09-15,Bountouraby Soumah,,Female,LJ,NR,Outdoor
5.38,0.0,GUM,Honiara,SOL,2023-12-01,Regine Tugade,1998.0,Female,LJ,NR,Outdoor
6.82,,GUY,Nice,FRA,1982-08-14,Jennifer Inniss,1959.0,Female,LJ,NR,Outdoor
6.34,,HAI,Albuquerque NM,USA,2019-06-08,Alexis Brown,2001.0,Female,LJ,NR,Outdoor
6.50,0.1,HKG,Hangzhou,CHN,2023-10-02,Yue Nga Yan,1998.0,Female,LJ,NR,Outdoor
5.45,1.7,HON,Houston TX,USA,2019-03-23,Dennise Reyes,,Female,LJ,NR,Outdoor
6.86,1.3,HUN,Edmonton,CAN,2001-08-07,Tünde Vaszi,1972.0,Female,LJ,NR,Outdoor
6.70,0.0,INA,Singapore,SGP,2015-06-10,Maria Natalia Londa,1990.0,Female,LJ,NR,Outdoor
6.83,1.2,IND,Athína,GRE,2004-08-27,Anju B. George,1977.0,Female,LJ,NR,Outdoor
6.40,-1.3,IRI,Tehran,IRI,2021-09-15,Reyhaneh Mobini,2000.0,Female,LJ,NR,Outdoor
6.60,1.0,IRL,Bruxelles,BEL,2010-08-08,Kelly Proper,1988.0,Female,LJ,NR,Outdoor
5.67,,IRQ,Baghdad,IRQ,1977-07-13,Eman Nouri Fahti,1957.0,Female,LJ,NR,Outdoor
6.62,1.6,ISL,Hilversum,NED,2016-07-09,Hafdís Sigurðardóttir,1987.0,Female,LJ,NR,Outdoor
