result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
3:24:07,AFG,Bismarck,USA,2007-09-15,Sahar Zamir,,Female,Mar,NR,Outdoor
2:52:49,AHO,New York,USA,2013-11-03,Marlies Kort,,Female,Mar,NR,Outdoor
2:35:34,ALB,Skopje,MKD,2020-10-04,Luiza Gega,1988.0,Female,Mar,NR,Outdoor
2:25:08,ALG,Roma,ITA,2007-03-18,Souad Aït Salem,1979.0,Female,Mar,NR,Outdoor
3:09:49,AND,Valencia,ESP,2017-11-19,Dulce Casanova Martínez,1969.0,Female,Mar,NR,Outdoor
3:48:29,ANG,Porto,POR,2014-02-11,Cristina Saraiva,,Female,Mar,NR,Outdoor
2:24:18,ARG,Sevilla,ESP,2024-02-18,Florencia Borelli,1992.0,Female,Mar,NR,Outdoor
2:56:57,ARM,Edmonton,CAN,2001-08-12,Alexa Babakhanian,1966.0,Female,Mar,NR,Outdoor
2:53:24,ARU,Seoul,KOR,1988-09-23,Cornelia Melis,1960.0,Female,Mar,NR,Outdoor
3:57:15,ASA,Anchorage,USA,1999-06-19,Faye Ondelacy,,Female,Mar,NR,Outdoor
2:21:34,AUS,Valencia,ESP,2022-12-04,Sinead Diver,1977.0,Female,Mar,NR,Outdoor
2:26:43,AUT,Valencia,ESP,2023-12-03,Julia Mayer,1993.0,Female,Mar,NR,Outdoor
2:31:26,AZE,Mumbai,IND,2020-01-19,Marege Hayelom,1996.0,Female,Mar,NR,Outdoor
2:54:37,BAH,Jacksonville,USA,1995-12-16,Giselle Pyfrom,,Female,Mar,NR,Outdoor
4:37:33,BAN,Dhaka,BAN,2021-01-10,Hamida Akter-Jeba,,Female,Mar,NR,Outdoor
3:06:07,BAR,Port of Spain,TTO,1987-06-07,Caroline Moorat,,Female,Mar,NR,Outdoor
2:27:50,BDI,London,GBR,2015-04-26,Diane Nukuri,1984.0,Female,Mar,NR,Outdoor
2:23:05,BEL,Paris,FRA,2002-04-07,Marleen Renders,1968.0,Female,Mar,NR,Outdoor
2:49:19,BEN,Parakou,BDI,2019-09-02,Bentille Alassane,1984.0,Female,Mar,NR,Outdoor
2:54:18,BER,Hamilton,CAN,1990-01-14,Deborah Butterfield,,Female,Mar,NR,Outdoor
3:07:39,BHU,New York,USA,2021-07-11,Deki Yangzom,,Female,Mar,NR,Outdoor
2:34:57,BIH,Zagreb,CRO,2011-10-09,Lucia Mwihaki Kimani,1980.0,Female,Mar,NR,Outdoor
3:05:13,BIZ,Houston,USA,2006-01-15,Melissa Henderson,1974.0,Female,Mar,NR,Outdoor
2:23:54,BLR,London,GBR,2016-04-24,Volha Mazuronak,1989.0,Female,Mar,NR,Outdoor
2:32:37,BOL,Amsterdam,NED,2023-10-15,Jhoselyn Jéssica Camargo,1996.0,Female,Mar,NR,Outdoor
2:51:32,BOT,Durban,RSA,2008-02-10,Onkemetsi Solotate,1976.0,Female,Mar,NR,Outdoor
2:29:17,BRA,Tokyo,JPN,2012-02-26,Adriana da Silva,1981.0,Female,Mar,NR,Outdoor
2:20:02,BRN,Seoul,KOR,2022-04-17,Eunice Chumba,1993.0,Female,Mar,NR,Outdoor
3:56:11,BRU,Singapore,SGP,2008-12-07,Jacqueline Teo Cheng Nee,,Female,Mar,NR,Outdoor
2:29:23,BUL,København,DEN,2022-05-15,Militsa Mircheva,1994.0,Female,Mar,NR,Outdoor
4:00:37,BUR,Ouagadougou,BUR,2010-05-29,Nicole Badolo,,Female,Mar,NR,Outdoor
3:28:41,CAF,Bondoufle,FRA,1994-11-07,Virginie Gloum,1974.0,Female,Mar,NR,Outdoor
2:59:42,CAM,Valencia,ESP,2015-11-15,Nary Ly,,Female,Mar,NR,Outdoor
2:23:12,CAN,Berlin,GER,2022-09-25,Natasha Wodak,1981.0,Female,Mar,NR,Outdoor
2:37:41,CAY,Sacramento,USA,1991-12-08,Michelle Bush,1961.0,Female,Mar,NR,Outdoor
2:42:37,CGO,Douala,CMR,2021-10-31,Cleme Mambeke,,Female,Mar,NR,Outdoor
2:51:04,CHA,Milano,ITA,2022-04-03,Bibiro Ali Taher,1988.0,Female,Mar,NR,Outdoor
2:32:23,CHI,Rotterdam,NED,1999-04-18,Erika Olivera,1976.0,Female,Mar,NR,Outdoor
2:19:39,CHN,Beijing,CHN,2003-10-19,Sun Yingjie,1977.0,Female,Mar,NR,Outdoor
4:10:09,CIV,Barcelona,ESP,2010-07-03,Isabelle Konate,,Female,Mar,NR,Outdoor
2:56:11,CMR,Douala,CMR,2021-10-31,Sabine Mendouga,,Female,Mar,NR,Outdoor
3:11:14,COD,Kigali,RWA,2019-06-16,Ritha Tumaini Nzabava,2000.0,Female,Mar,NR,Outdoor
3:32:33,COK,Avarua,COK,1980-03-05,Kiki Atonia,,Female,Mar,NR,Outdoor
2:25:35,COL,Berlin,GER,2023-09-24,Angie Orjuela,1989.0,Female,Mar,NR,Outdoor
3:30:00,COM,Moroni,COM,2012-03-06,Frahati Ali,,Female,Mar,NR,Outdoor
2:58:00,CPV,Padova,ITA,2003-04-27,Sonia Lopes,1975.0,Female,Mar,NR,Outdoor
2:32:08,CRC,Valencia,ESP,2023-12-03,Diana Bogantes,1988.0,Female,Mar,NR,Outdoor
2:23:39,CRO,Valencia,ESP,2022-12-04,Bojana Bjeljac,1989.0,Female,Mar,NR,Outdoor
2:36:35,CUB,Caracas,VEN,1992-12-13,Emperatriz Wilson,1966.0,Female,Mar,NR,Outdoor
2:34:17,CYP,Gold Coast,AUS,2019-07-07,Dagmara Handzlik,1986.0,Female,Mar,NR,Outdoor
2:25:36,CZE,Valencia,ESP,2023-12-03,Moira Stewartová,1995.0,Female,Mar,NR,Outdoor
2:29:34,DEN,London,GBR,1989-04-23,Dorthe Rasmussen,1960.0,Female,Mar,NR,Outdoor
4:14:59,DMA,Paris,FRA,2015-04-12,Janelle Prevost,,Female,Mar,NR,Outdoor
2:43:26,DOM,Santiago de los Caballeros,DOM,2019-11-24,Soranyi Rodriguez,1992.0,Female,Mar,NR,Outdoor
2:24:50,ECU,Valencia,ESP,2023-12-03,Silvia Patricia Ortiz,1992.0,Female,Mar,NR,Outdoor
3:36:56,EGY,Alexandria,ITA,2004-08-10,Ali Mona Mahmoud Mohamed,1978.0,Female,Mar,NR,Outdoor
2:20:29,ERI,Eugene,USA,2022-07-18,Nazret Weldu,1990.0,Female,Mar,NR,Outdoor
